Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,44.76,44.89,44.51,44.59,575600,44.59
2014-12-05,45.12,45.22,44.97,45.12,428200,45.12
2014-12-04,45.17,45.25,45.00,45.08,574000,45.08
2014-12-03,45.16,45.27,45.05,45.24,769400,45.24
2014-12-02,45.26,45.26,45.09,45.18,858300,45.18
2014-12-01,45.17,45.26,44.99,45.15,814000,45.15
2014-11-28,45.53,45.53,45.30,45.34,119200,45.34
2014-11-26,45.78,45.88,45.70,45.88,172700,45.88
2014-11-25,45.59,45.73,45.55,45.62,398900,45.62
2014-11-24,45.55,45.66,45.48,45.57,463700,45.57
2014-11-21,45.62,45.64,45.36,45.50,477000,45.50
2014-11-20,44.74,45.02,44.74,44.94,377300,44.94
2014-11-19,45.17,45.25,44.90,45.09,432800,45.09
2014-11-18,44.99,45.29,44.99,45.19,364500,45.19
2014-11-17,44.69,44.84,44.64,44.77,288500,44.77
2014-11-14,44.71,45.00,44.68,45.00,254100,45.00
2014-11-13,44.80,45.01,44.70,44.86,329900,44.86
2014-11-12,44.70,44.87,44.66,44.75,247800,44.75
2014-11-11,44.83,45.07,44.79,45.04,467000,45.04
2014-11-10,44.93,44.93,44.74,44.83,801100,44.83
2014-11-07,44.39,44.65,44.38,44.64,318300,44.64
2014-11-06,44.77,44.83,44.49,44.54,313500,44.54
2014-11-05,44.87,44.90,44.65,44.81,208100,44.81
2014-11-04,44.83,44.83,44.54,44.78,168100,44.78
2014-11-03,45.15,45.15,44.89,45.01,568500,45.01
2014-10-31,45.22,45.38,45.12,45.38,201000,45.38
2014-10-30,44.36,44.84,44.28,44.70,104700,44.70
2014-10-29,44.87,44.89,44.24,44.40,300700,44.40
2014-10-28,44.44,44.66,44.37,44.63,398100,44.63
2014-10-27,43.81,44.07,43.69,44.02,223900,44.02
2014-10-24,44.09,44.23,43.96,44.23,299600,44.23
2014-10-23,43.88,44.17,43.88,43.99,430500,43.99
2014-10-22,43.95,44.02,43.55,43.56,264000,43.56
2014-10-21,43.59,43.97,43.59,43.96,120600,43.96
2014-10-20,43.25,43.55,43.19,43.55,574200,43.55
2014-10-17,43.11,43.44,43.07,43.32,688400,43.32
2014-10-16,41.98,42.97,41.87,42.64,480600,42.64
2014-10-15,42.93,42.99,42.11,42.93,358600,42.93
