Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,24.80,24.89,24.75,24.77,46500,24.77
2014-12-05,24.85,24.86,24.78,24.86,109400,24.86
2014-12-04,24.75,24.87,24.70,24.85,142200,24.85
2014-12-03,24.78,24.85,24.76,24.76,21200,24.76
2014-12-02,24.72,24.77,24.63,24.77,23700,24.77
2014-12-01,24.70,24.74,24.60,24.61,34500,24.61
2014-11-28,24.64,24.70,24.53,24.70,30000,24.70
2014-11-26,24.61,24.68,24.60,24.64,10800,24.64
2014-11-25,24.56,24.60,24.42,24.58,22500,24.58
2014-11-24,24.52,24.56,24.51,24.55,5900,24.55
2014-11-21,24.50,24.63,24.50,24.60,9600,24.60
2014-11-20,24.36,24.50,24.36,24.50,17400,24.50
2014-11-19,24.45,24.49,24.38,24.42,16200,24.42
2014-11-18,24.42,24.50,24.42,24.44,19800,24.44
2014-11-17,24.37,24.54,24.37,24.48,12300,24.48
2014-11-14,24.43,24.45,24.34,24.40,32800,24.40
2014-11-13,24.60,24.60,24.45,24.49,12100,24.49
2014-11-12,24.46,24.55,24.46,24.54,13000,24.54
2014-11-11,24.46,24.50,24.40,24.50,20300,24.50
2014-11-10,24.47,24.47,24.32,24.46,19100,24.46
2014-11-07,24.49,24.50,24.30,24.39,16600,24.39
2014-11-06,24.58,24.58,24.31,24.38,19300,24.38
2014-11-05,24.55,24.59,24.47,24.48,9500,24.48
2014-11-04,24.50,24.55,24.45,24.50,15000,24.50
2014-11-03,24.40,24.70,24.33,24.55,22500,24.55
2014-10-31,24.58,24.67,24.40,24.40,59500,24.40
2014-10-30,24.46,24.65,24.25,24.58,69600,24.58
2014-10-29,24.19,24.36,24.19,24.36,6300,24.36
2014-10-28,24.28,24.39,24.18,24.39,15900,24.39
2014-10-27,24.28,24.28,24.18,24.25,46900,24.25
2014-10-24,24.13,24.25,24.12,24.25,28000,24.25
2014-10-23,24.25,24.25,24.06,24.08,22700,24.08
2014-10-22,24.35,24.35,24.13,24.18,26000,24.18
2014-10-21,24.27,24.27,24.15,24.21,181000,24.21
2014-10-20,24.29,24.29,24.05,24.19,25100,24.19
2014-10-17,24.18,24.34,23.95,24.04,23400,24.04
2014-10-16,23.95,24.02,23.86,23.99,39800,23.99
2014-10-15,23.90,24.01,23.90,23.99,48800,23.99
2014-10-14,24.10,24.10,23.93,23.98,76200,23.98
2014-10-13,24.04,24.10,23.90,23.98,28000,23.98
2014-10-10,24.05,24.11,24.02,24.03,10900,24.03
2014-10-09,24.01,24.15,24.01,24.09,18400,24.09
2014-10-08,24.10,24.20,24.08,24.09,16400,24.09
2014-10-07,24.14,24.25,24.11,24.13,21100,24.13
2014-10-06,24.13,24.35,24.13,24.26,18800,24.26
2014-10-03,24.35,24.35,24.17,24.20,28400,24.20
2014-10-02,24.35,24.35,24.29,24.29,5800,24.29
2014-10-01,24.43,24.43,24.31,24.32,4100,24.32
2014-09-30,24.27,24.45,24.27,24.43,46500,24.43
2014-09-29,24.27,24.40,24.20,24.40,13500,24.40
2014-09-26,24.54,24.62,24.45,24.62,37100,24.14
2014-09-25,24.49,24.56,24.49,24.54,7300,24.06
2014-09-24,24.59,24.64,24.40,24.56,19000,24.08
2014-09-23,24.61,24.66,24.40,24.54,33900,24.06
2014-09-22,24.42,24.56,24.35,24.56,20500,24.08
2014-09-19,24.52,24.57,24.44,24.48,18000,24.00
2014-09-18,24.48,24.59,24.42,24.48,20100,24.00
2014-09-17,24.30,24.52,24.30,24.41,46600,23.93
2014-09-16,24.40,24.56,24.36,24.44,20000,23.96
2014-09-15,24.40,24.49,24.36,24.39,46200,23.91
2014-09-12,24.59,24.59,24.39,24.41,51800,23.93
2014-09-11,24.61,24.65,24.56,24.63,14600,24.15
2014-09-10,24.64,24.69,24.52,24.60,30500,24.12
2014-09-09,24.71,24.75,24.64,24.70,15200,24.21
2014-09-08,24.74,24.94,24.69,24.75,35400,24.26
2014-09-05,24.65,24.73,24.53,24.63,21800,24.15
2014-09-04,24.81,24.85,24.60,24.61,21200,24.13
2014-09-03,24.97,24.97,24.83,24.85,28600,24.36
2014-09-02,24.90,24.99,24.62,24.99,39800,24.50
2014-08-29,25.09,25.09,24.82,24.86,23500,24.37
2014-08-28,25.00,25.06,24.93,24.96,75200,24.47
2014-08-27,24.89,25.00,24.87,25.00,116600,24.51
2014-08-26,24.79,24.86,24.76,24.86,7500,24.37
2014-08-25,24.77,24.90,24.76,24.86,50400,24.37
2014-08-22,24.72,24.84,24.66,24.77,13600,24.28
2014-08-21,24.75,24.85,24.75,24.79,11500,24.30
2014-08-20,24.74,24.79,24.63,24.75,22500,24.26
2014-08-19,24.66,24.75,24.62,24.74,25300,24.25
2014-08-18,24.75,24.75,24.56,24.57,41700,24.09
2014-08-15,24.75,24.75,24.57,24.65,16700,24.17
2014-08-14,24.64,24.75,24.64,24.66,9500,24.18
2014-08-13,24.70,24.70,24.57,24.59,12400,24.11
2014-08-12,24.68,24.69,24.54,24.60,26300,24.12
2014-08-11,24.59,24.70,24.50,24.69,21200,24.20
2014-08-08,24.44,24.50,24.42,24.47,15100,23.99
2014-08-07,24.25,24.44,24.25,24.43,29200,23.95
2014-08-06,24.18,24.73,24.18,24.33,93400,23.85
2014-08-05,24.19,24.38,24.19,24.30,61600,23.82
2014-08-04,24.50,24.50,24.20,24.25,45400,23.77
2014-08-01,24.28,24.68,24.07,24.23,82000,23.75
2014-07-31,24.54,24.60,24.20,24.39,88600,23.91
2014-07-30,24.70,24.76,24.56,24.64,54100,24.16
2014-07-29,24.72,24.79,24.66,24.79,34700,24.30
2014-07-28,24.68,24.76,24.64,24.70,68100,24.21
2014-07-25,24.50,24.63,24.50,24.63,26700,24.15
2014-07-24,24.68,24.68,24.48,24.55,172600,24.07
2014-07-23,24.73,24.78,24.59,24.59,193200,24.11
2014-07-22,24.73,24.74,24.66,24.69,69400,24.20
2014-07-21,24.86,24.93,24.73,24.75,59600,24.26
2014-07-18,24.93,24.96,24.76,24.88,371900,24.39
2014-07-17,24.99,25.06,24.88,24.92,63600,24.43
2014-07-16,25.00,25.04,24.93,24.97,217500,24.48
2014-07-15,24.92,25.00,24.86,24.93,61400,24.44
2014-07-14,25.07,25.12,24.97,25.01,98800,24.52
2014-07-11,25.02,25.09,25.00,25.04,110400,24.55
2014-07-10,24.93,25.03,24.92,24.98,311000,24.49
2014-07-09,24.89,24.98,24.89,24.97,150100,24.48
2014-07-08,24.94,24.97,24.85,24.90,22900,24.41
2014-07-07,24.95,24.98,24.91,24.94,202300,24.45
2014-07-03,24.86,24.90,24.76,24.89,17800,24.40
2014-07-02,24.90,24.92,24.81,24.87,86100,24.38
2014-07-01,24.90,24.90,24.85,24.88,99200,24.39
2014-06-30,24.79,24.91,24.79,24.88,81600,24.39
2014-06-27,24.74,24.90,24.73,24.79,115800,24.30
2014-06-26,24.96,25.00,24.90,24.99,114800,24.14
2014-06-25,24.85,24.98,24.82,24.97,131800,24.13
2014-06-24,24.80,24.89,24.80,24.89,34000,24.05
2014-06-23,24.85,24.88,24.79,24.84,49100,24.00
2014-06-20,24.72,24.88,24.70,24.84,47900,24.00
2014-06-19,24.70,24.82,24.70,24.80,56400,23.96
2014-06-18,24.72,24.79,24.70,24.77,31300,23.93
2014-06-17,24.69,24.72,24.65,24.69,56500,23.85
2014-06-16,24.60,24.69,24.60,24.68,101700,23.85
2014-06-13,24.59,24.67,24.54,24.66,37100,23.83
2014-06-12,24.65,24.70,24.63,24.68,16600,23.85
2014-06-11,24.66,24.75,24.66,24.67,22400,23.84
2014-06-10,24.75,24.79,24.65,24.72,49500,23.88
2014-06-09,24.70,24.78,24.66,24.73,68700,23.89
2014-06-06,24.55,24.75,24.55,24.72,33900,23.88
2014-06-05,24.66,24.69,24.58,24.69,54400,23.85
2014-06-04,24.67,24.69,24.50,24.65,156400,23.82
2014-06-03,24.82,24.82,24.67,24.68,83700,23.85
