Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,45.77,45.78,45.74,45.78,1000,45.78
2014-12-05,45.85,45.92,45.85,45.86,1200,45.86
2014-12-04,45.95,45.95,45.91,45.91,600,45.91
2014-12-03,45.92,45.92,45.91,45.91,1200,45.91
2014-12-02,45.94,46.06,45.94,46.06,900,46.06
2014-12-01,45.75,45.75,45.75,45.75,300,45.75
2014-11-28,47.50,47.50,45.71,45.87,1300,45.87
2014-11-26,45.97,45.97,45.83,45.87,1200,45.87
2014-11-25,45.94,45.94,45.93,45.94,6400,45.94
2014-11-24,46.05,46.17,46.04,46.04,1800,46.04
2014-11-21,46.06,46.17,45.97,46.01,10900,46.01
2014-11-20,46.15,46.35,46.15,46.18,3600,46.12
2014-11-19,46.20,46.31,46.19,46.31,1000,46.25
2014-11-18,46.30,46.32,46.17,46.17,2600,46.12
2014-11-17,46.31,46.32,46.18,46.25,2800,46.19
2014-11-14,46.22,46.22,46.22,46.22,500,46.16
2014-11-13,46.38,46.39,46.20,46.20,3500,46.14
2014-11-12,46.28,46.35,46.28,46.35,4400,46.29
2014-11-11,46.30,46.44,46.30,46.42,2600,46.36
2014-11-10,46.30,46.35,46.28,46.30,1700,46.24
2014-11-07,46.25,46.31,46.25,46.25,2600,46.19
2014-11-06,46.49,46.49,46.34,46.34,2900,46.28
2014-11-05,46.55,46.55,46.26,46.32,5500,46.26
2014-11-04,46.40,46.40,46.23,46.30,5000,46.24
2014-11-03,46.30,46.34,46.20,46.34,6700,46.28
2014-10-31,46.10,46.40,46.00,46.00,3200,45.95
2014-10-30,46.23,46.37,46.18,46.31,19800,46.25
2014-10-29,46.44,46.44,46.26,46.34,19400,46.28
2014-10-28,46.31,46.33,46.21,46.33,2900,46.27
2014-10-27,46.06,46.13,46.06,46.13,5800,46.08
2014-10-24,46.14,46.29,46.01,46.29,13500,46.19
2014-10-23,46.25,46.35,46.16,46.16,6700,46.06
2014-10-22,46.08,46.23,46.08,46.08,2100,45.98
2014-10-21,46.11,46.11,45.96,46.11,4300,46.01
2014-10-20,46.09,46.09,46.03,46.03,2200,45.93
2014-10-17,45.90,46.09,45.89,45.99,45300,45.89
2014-10-16,46.19,46.19,45.64,46.10,7000,46.00
2014-10-15,45.63,46.10,45.36,46.01,51300,45.91
2014-10-14,46.23,46.28,46.12,46.21,4300,46.11
2014-10-13,46.43,46.43,46.43,46.43,000,46.33
2014-10-10,46.52,46.52,46.42,46.43,7900,46.33
2014-10-09,46.36,46.54,46.36,46.51,79200,46.41
2014-10-08,46.48,46.56,46.48,46.56,46100,46.46
2014-10-07,46.55,46.55,46.39,46.44,6800,46.34
2014-10-06,46.71,46.71,46.66,46.70,2100,46.60
2014-10-03,46.70,46.70,46.59,46.67,900,46.57
2014-10-02,46.55,46.55,46.55,46.55,000,46.45
2014-10-01,46.70,46.70,46.49,46.55,2500,46.45
2014-09-30,46.86,46.96,46.86,46.96,2700,46.86
2014-09-29,46.95,46.95,46.90,46.90,700,46.80
2014-09-26,47.04,47.08,46.93,47.08,1500,46.98
2014-09-25,47.05,47.05,46.94,46.99,4700,46.89
2014-09-24,47.16,47.21,47.16,47.17,1600,47.07
2014-09-23,47.25,47.25,47.12,47.12,2700,47.02
2014-09-22,47.11,47.14,47.09,47.09,1200,46.99
2014-09-19,47.52,47.60,47.12,47.30,25800,47.15
2014-09-18,47.46,47.46,47.44,47.46,3900,47.31
2014-09-17,47.27,47.36,47.11,47.35,11500,47.20
2014-09-16,46.73,47.30,46.73,47.30,61600,47.15
2014-09-15,47.28,47.38,47.20,47.36,25500,47.21
2014-09-12,47.46,47.54,47.40,47.52,2100,47.37
2014-09-11,47.05,47.25,47.05,47.25,14000,47.10
2014-09-10,47.22,47.23,47.12,47.17,6000,47.02
2014-09-09,47.00,47.14,46.98,47.14,2300,46.99
2014-09-08,46.99,47.06,46.99,47.06,16600,46.91
2014-09-05,46.67,47.34,46.67,47.34,61400,47.19
2014-09-04,46.75,47.11,46.75,46.99,259500,46.84
2014-09-03,46.75,46.97,46.62,46.75,27000,46.60
2014-09-02,47.50,47.66,46.48,46.58,26200,46.43
2014-08-29,46.60,46.80,46.29,46.49,23600,46.34
2014-08-28,46.42,46.68,46.31,46.60,74400,46.45
2014-08-27,46.66,46.80,46.54,46.68,57700,46.53
2014-08-26,46.63,46.90,46.63,46.85,65800,46.70
2014-08-25,46.75,46.95,46.73,46.83,15200,46.68
2014-08-22,46.94,47.05,46.67,46.88,19800,46.66
2014-08-21,46.93,47.45,46.85,46.91,25200,46.69
2014-08-20,46.98,47.07,46.87,46.95,11600,46.73
2014-08-19,46.84,47.13,46.82,46.88,19300,46.66
2014-08-18,46.71,46.88,46.65,46.65,17400,46.43
2014-08-15,46.59,46.92,46.48,46.70,20800,46.48
2014-08-14,47.00,47.12,46.80,46.92,20500,46.70
2014-08-13,47.51,47.51,46.83,46.92,10800,46.70
2014-08-12,47.12,47.20,46.97,47.10,11400,46.88
2014-08-11,46.95,47.05,46.85,46.92,24100,46.70
2014-08-08,47.03,47.04,46.91,46.93,2000,46.71
2014-08-07,47.32,47.33,46.96,47.02,17800,46.80
