Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,106.53,106.53,106.53,106.53,000,106.53
2014-12-05,106.53,106.53,106.53,106.53,100,106.53
2014-12-04,107.04,107.04,107.04,107.04,000,107.04
2014-12-03,107.04,107.04,107.04,107.04,100,107.04
2014-12-02,107.88,107.88,107.88,107.88,1000,107.88
2014-12-01,109.09,109.09,107.50,107.50,2400,107.50
2014-11-28,108.66,108.93,108.66,108.93,200,108.93
2014-11-26,108.49,108.49,108.49,108.49,000,108.49
2014-11-25,108.49,108.49,108.49,108.49,9500,108.49
2014-11-24,108.83,108.83,108.83,108.83,32400,108.83
2014-11-21,107.36,107.45,107.31,107.39,1600,107.39
2014-11-20,106.88,106.88,106.88,106.88,100,106.88
2014-11-19,107.28,107.28,106.18,106.18,15100,106.18
2014-11-18,106.66,106.66,106.66,106.66,000,106.66
2014-11-17,106.66,106.66,106.66,106.66,1800,106.66
2014-11-14,105.77,105.82,105.77,105.82,200,105.82
2014-11-13,107.00,107.00,107.00,107.00,000,107.00
2014-11-12,107.00,107.00,107.00,107.00,000,107.00
2014-11-11,105.66,107.16,105.66,107.00,3300,107.00
2014-11-10,108.71,109.19,108.71,109.19,700,109.19
2014-11-07,108.00,108.00,107.96,107.96,300,107.96
2014-11-06,108.20,108.20,108.20,108.20,000,108.20
2014-11-05,108.77,108.77,106.10,108.20,800,108.20
2014-11-04,109.01,109.99,108.82,109.86,600,109.86
2014-11-03,110.95,112.90,109.92,109.96,20600,109.96
2014-10-31,109.30,109.30,109.30,109.30,000,109.30
2014-10-30,108.93,109.30,108.93,109.30,15200,109.30
2014-10-29,108.34,108.50,108.27,108.50,208600,108.50
2014-10-28,107.40,107.66,107.40,107.66,30200,107.66
2014-10-27,107.50,107.50,107.50,107.50,000,107.50
2014-10-24,107.50,107.50,107.50,107.50,000,107.50
2014-10-23,107.50,107.50,107.50,107.50,000,107.50
2014-10-22,107.49,107.50,107.49,107.50,3800,107.50
2014-10-21,106.41,106.43,105.00,106.43,2900,106.43
2014-10-20,104.71,105.70,104.65,105.17,2200,105.17
2014-10-17,104.62,104.62,104.62,104.62,000,104.62
2014-10-16,104.62,104.62,104.62,104.62,2200,104.62
2014-10-15,103.27,104.21,103.27,104.21,300,104.21
2014-10-14,105.03,105.03,105.03,105.03,100,105.03
2014-10-13,106.56,106.56,106.44,106.44,200,106.44
2014-10-10,106.40,106.50,106.40,106.50,14300,106.50
2014-10-09,106.06,106.06,106.06,106.06,40500,106.06
2014-10-08,105.19,105.19,105.19,105.19,000,105.19
2014-10-07,103.97,105.19,103.92,105.19,700,105.19
2014-10-06,106.43,106.43,106.43,106.43,000,106.43
2014-10-03,105.50,106.43,105.50,106.43,11600,106.43
2014-10-02,103.80,105.29,103.75,105.25,3500,105.25
2014-10-01,104.62,105.76,104.42,104.49,4200,104.49
2014-09-30,106.01,106.43,106.01,106.42,300,106.42
2014-09-29,106.21,106.21,105.21,105.21,500,105.21
2014-09-26,105.75,105.75,105.00,105.00,300,105.00
2014-09-25,106.70,106.70,105.03,105.07,1100,105.07
2014-09-24,106.25,106.25,106.25,106.25,100,106.25
2014-09-23,106.14,106.50,106.11,106.25,500,106.25
2014-09-22,107.53,107.53,106.63,106.81,10600,106.81
2014-09-19,108.39,108.39,108.10,108.10,10000,108.10
2014-09-18,108.98,108.98,108.98,108.98,10100,108.98
2014-09-17,109.93,110.25,109.44,110.25,300,110.25
2014-09-16,110.00,110.00,109.50,109.50,400,109.50
2014-09-15,110.77,110.77,109.94,110.62,500,110.62
2014-09-12,110.10,110.10,110.10,110.10,13600,110.10
2014-09-11,110.01,110.17,110.01,110.17,200,110.17
2014-09-10,110.17,111.00,110.17,110.40,700,109.10
2014-09-09,110.91,111.26,110.79,111.26,500,109.95
2014-09-08,112.03,112.03,112.03,112.03,000,110.71
2014-09-05,112.03,112.03,112.03,112.03,000,110.71
2014-09-04,113.45,113.45,112.03,112.03,700,110.71
2014-09-03,110.00,114.23,110.00,113.91,700,112.57
2014-09-02,113.50,114.01,113.50,114.01,600,112.67
2014-08-29,102.01,114.00,102.01,113.50,1200,112.17
2014-08-28,112.00,112.00,111.90,111.90,400,110.58
2014-08-27,111.25,112.55,111.25,112.55,700,111.23
2014-08-26,107.51,110.69,107.51,110.66,400,109.36
2014-08-25,104.06,110.75,104.06,110.75,3700,109.45
2014-08-22,110.16,110.16,110.16,110.16,000,108.86
2014-08-21,110.16,110.16,110.16,110.16,000,108.86
2014-08-20,109.25,110.16,109.25,110.16,500,108.86
2014-08-19,107.63,109.50,107.61,108.75,1000,107.47
2014-08-18,107.99,107.99,107.99,107.99,100,106.72
2014-08-15,106.50,106.50,106.50,106.50,000,105.25
2014-08-14,106.50,106.50,106.50,106.50,000,105.25
2014-08-13,107.11,107.11,106.50,106.50,500,105.25
2014-08-12,108.25,108.57,108.25,108.57,200,107.29
2014-08-11,108.00,108.48,108.00,108.48,600,107.20
2014-08-08,107.34,107.34,106.44,106.88,1500,105.62
2014-08-07,106.90,107.79,106.90,107.79,300,106.52
2014-08-06,106.55,106.55,106.16,106.18,4800,104.93
2014-08-05,106.89,108.28,106.89,108.16,2900,106.89
2014-08-04,106.31,106.61,106.31,106.61,15600,105.36
2014-08-01,103.35,104.00,100.82,104.00,4200,102.78
2014-07-31,106.01,106.01,106.01,106.01,000,104.76
2014-07-30,106.00,106.01,105.83,106.01,60400,104.76
2014-07-29,103.51,104.85,103.51,104.35,800,103.12
2014-07-28,105.18,105.18,105.18,105.18,000,103.94
2014-07-25,105.18,105.18,105.18,105.18,000,103.94
2014-07-24,105.18,105.18,105.18,105.18,000,103.94
2014-07-23,104.64,105.49,104.64,105.18,30900,103.94
2014-07-22,104.60,104.67,104.18,104.67,900,103.44
2014-07-21,105.00,105.00,104.75,104.75,20900,103.52
2014-07-18,104.10,104.10,103.86,103.86,600,102.64
2014-07-17,104.78,105.52,103.94,104.00,46000,102.78
2014-07-16,103.50,104.12,103.50,104.12,600,102.90
2014-07-15,103.16,103.50,103.16,103.50,20400,102.28
2014-07-14,103.71,103.71,103.71,103.71,10100,102.49
2014-07-11,103.00,103.00,102.50,102.50,2300,101.29
2014-07-10,104.34,104.34,103.00,103.70,12700,102.48
2014-07-09,104.96,104.96,104.00,104.00,9300,102.78
2014-07-08,104.50,105.00,104.50,104.60,93400,103.37
2014-07-07,105.00,105.00,101.00,104.10,11900,102.88
2014-07-03,104.40,105.20,103.00,105.06,18100,103.83
2014-07-02,103.45,105.00,103.00,104.65,55900,103.42
2014-07-01,100.25,104.00,100.25,102.38,271300,101.17
2014-06-30,100.25,101.08,100.00,100.70,171900,99.52
