Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.92,26.41,25.86,26.00,32500,26.00
2014-12-05,25.71,26.18,25.71,26.12,30600,26.12
2014-12-04,25.94,25.94,25.57,25.75,27100,25.75
2014-12-03,25.62,26.05,25.51,25.81,23600,25.81
2014-12-02,25.94,25.98,25.48,25.77,16100,25.77
2014-12-01,25.67,25.76,25.40,25.46,48200,25.46
2014-11-28,26.08,26.35,25.86,25.87,16700,25.62
2014-11-26,26.09,26.48,26.09,26.28,21800,26.03
2014-11-25,26.25,26.49,25.89,26.23,24100,25.98
2014-11-24,26.00,26.29,26.00,26.29,12300,26.04
2014-11-21,26.09,26.34,25.85,26.06,41900,25.81
2014-11-20,25.68,25.95,25.46,25.93,73200,25.68
2014-11-19,26.09,26.20,25.72,25.90,28300,25.65
2014-11-18,26.49,26.50,26.23,26.25,27500,26.00
2014-11-17,26.48,26.59,26.10,26.40,36800,26.14
2014-11-14,26.95,27.18,26.48,26.65,71400,26.39
2014-11-13,27.17,27.40,27.08,27.18,47300,26.92
2014-11-12,27.36,27.47,27.03,27.44,35200,27.17
2014-11-11,27.23,27.68,27.05,27.35,25300,27.09
2014-11-10,26.84,27.43,26.59,27.43,59100,27.16
2014-11-07,27.36,27.44,27.24,27.37,7600,27.11
2014-11-06,27.07,27.62,27.03,27.61,16600,27.34
2014-11-05,27.26,27.38,26.85,27.18,23900,26.92
2014-11-04,26.98,27.31,26.94,27.14,14200,26.88
2014-11-03,27.15,27.35,26.85,27.20,22300,26.94
2014-10-31,27.93,27.93,26.51,27.39,44300,27.13
2014-10-30,26.95,27.55,26.84,27.42,36200,27.16
2014-10-29,26.91,27.21,26.50,27.14,22600,26.88
2014-10-28,26.25,27.01,26.23,27.01,38200,26.75
2014-10-27,25.93,26.29,25.88,26.23,21300,25.98
2014-10-24,26.14,26.18,25.96,26.13,15000,25.88
2014-10-23,25.90,26.20,25.85,26.05,51200,25.80
2014-10-22,25.95,26.04,25.55,25.74,18800,25.49
2014-10-21,25.68,25.90,25.68,25.79,14000,25.54
2014-10-20,25.50,25.77,25.50,25.66,21700,25.41
2014-10-17,26.06,26.10,25.51,25.58,30600,25.33
2014-10-16,25.95,26.20,25.43,25.70,109400,25.45
2014-10-15,25.60,26.32,25.54,26.22,27500,25.97
2014-10-14,25.96,26.25,25.75,25.87,37000,25.62
2014-10-13,25.48,26.03,25.40,25.95,22300,25.70
2014-10-10,25.28,25.55,25.28,25.31,29900,25.07
2014-10-09,25.37,25.59,25.28,25.34,14500,25.10
2014-10-08,25.30,25.99,25.28,25.88,27900,25.63
2014-10-07,25.58,25.73,25.22,25.40,12300,25.15
2014-10-06,25.80,25.80,25.55,25.68,12200,25.43
2014-10-03,25.80,25.80,25.56,25.69,13900,25.44
2014-10-02,25.44,25.74,25.31,25.60,24800,25.35
2014-10-01,25.12,25.60,25.10,25.39,26700,25.14
2014-09-30,25.43,25.73,25.05,25.07,26900,24.83
2014-09-29,25.41,25.59,25.38,25.43,13000,25.18
2014-09-26,25.51,25.66,25.45,25.56,8600,25.31
2014-09-25,25.57,25.61,25.22,25.49,33500,25.24
2014-09-24,25.59,25.87,25.57,25.57,8500,25.32
2014-09-23,25.53,25.77,25.51,25.52,20000,25.27
2014-09-22,25.92,26.00,25.53,25.54,16800,25.29
2014-09-19,26.06,26.17,25.96,26.01,25300,25.76
2014-09-18,26.00,26.25,25.99,26.01,13600,25.76
2014-09-17,26.05,26.24,25.90,25.98,21400,25.73
2014-09-16,26.40,26.83,26.35,26.39,33900,25.62
2014-09-15,26.51,26.51,26.05,26.36,21500,25.59
2014-09-12,26.56,26.56,26.15,26.39,21000,25.62
2014-09-11,26.36,26.66,26.16,26.56,16300,25.79
2014-09-10,26.16,26.57,26.16,26.54,18100,25.77
2014-09-09,26.56,26.56,26.01,26.10,18200,25.34
2014-09-08,26.70,26.74,26.36,26.58,17600,25.81
2014-09-05,26.45,26.73,26.42,26.61,21900,25.84
2014-09-04,26.74,26.74,26.44,26.48,11900,25.71
2014-09-03,26.85,26.85,26.50,26.56,13300,25.79
2014-09-02,26.78,26.83,26.62,26.81,17700,26.03
2014-08-29,26.58,26.77,26.51,26.62,18300,25.85
2014-08-28,26.44,26.81,26.44,26.58,26100,25.81
2014-08-27,26.77,26.85,26.56,26.73,21300,25.71
2014-08-26,26.81,26.85,26.59,26.60,24300,25.58
2014-08-25,26.71,26.99,26.67,26.80,25900,25.78
2014-08-22,26.50,26.66,26.38,26.54,22600,25.53
2014-08-21,26.39,26.52,26.29,26.42,13100,25.41
2014-08-20,26.53,26.53,26.30,26.35,16300,25.34
2014-08-19,26.66,26.71,26.27,26.49,26400,25.48
2014-08-18,26.46,26.70,26.14,26.65,37400,25.63
2014-08-15,26.37,26.37,25.84,26.19,27100,25.19
2014-08-14,26.13,26.28,26.06,26.15,16900,25.15
2014-08-13,25.97,26.16,25.88,26.05,17900,25.06
2014-08-12,25.84,26.00,25.75,25.97,21500,24.98
2014-08-11,25.61,25.97,25.55,25.82,23000,24.83
2014-08-08,25.49,25.78,25.38,25.62,14500,24.64
2014-08-07,25.68,25.68,25.49,25.52,11500,24.55
2014-08-06,25.33,25.83,25.33,25.69,18700,24.71
2014-08-05,25.36,25.69,25.36,25.58,16900,24.60
2014-08-04,25.35,25.57,25.35,25.46,28400,24.49
2014-08-01,25.50,25.54,25.32,25.35,23200,24.38
2014-07-31,25.34,25.59,25.34,25.40,26000,24.43
2014-07-30,25.53,25.58,25.38,25.46,12000,24.49
2014-07-29,25.39,25.57,25.36,25.36,14100,24.39
2014-07-28,25.36,25.55,25.35,25.35,49400,24.38
2014-07-25,25.49,25.54,25.36,25.40,23900,24.43
2014-07-24,25.61,25.70,25.40,25.43,16900,24.46
2014-07-23,25.70,25.70,25.41,25.48,13300,24.51
2014-07-22,25.45,25.70,25.36,25.69,31600,24.71
2014-07-21,25.36,25.70,25.34,25.39,53300,24.42
2014-07-18,25.34,25.66,25.34,25.50,22500,24.53
2014-07-17,25.42,25.68,25.35,25.50,28800,24.53
2014-07-16,25.69,25.69,25.41,25.46,17400,24.49
2014-07-15,25.65,25.67,25.45,25.55,16900,24.57
2014-07-14,25.80,25.88,25.63,25.63,14200,24.65
2014-07-11,25.76,25.88,25.59,25.67,14500,24.69
2014-07-10,25.80,25.92,25.75,25.77,14600,24.79
2014-07-09,26.14,26.46,26.05,26.11,8600,25.11
2014-07-08,26.06,26.14,25.85,26.02,13500,25.03
2014-07-07,26.31,26.44,25.98,26.13,38400,25.13
2014-07-03,26.62,26.82,26.16,26.51,12300,25.50
2014-07-02,26.30,26.67,26.25,26.67,26900,25.65
2014-07-01,25.95,26.47,25.95,26.29,42300,25.29
2014-06-30,25.91,25.95,25.72,25.94,15700,24.95
2014-06-27,25.46,25.90,25.46,25.85,59500,24.86
2014-06-26,25.57,25.74,25.51,25.64,12200,24.66
2014-06-25,25.52,25.87,25.52,25.78,8600,24.80
2014-06-24,25.71,26.06,25.64,25.65,22500,24.67
2014-06-23,25.53,25.86,25.52,25.75,13400,24.77
2014-06-20,25.83,25.83,25.57,25.74,47900,24.76
2014-06-19,25.79,25.80,25.41,25.73,8900,24.75
2014-06-18,25.50,25.82,25.50,25.77,12900,24.79
2014-06-17,25.67,25.87,25.41,25.55,33000,24.57
2014-06-16,26.02,26.34,25.50,25.54,25400,24.57
2014-06-13,26.00,26.21,25.67,26.11,36000,25.11
2014-06-12,25.83,26.17,25.75,25.83,20200,24.84
2014-06-11,26.15,26.18,25.81,25.91,15800,24.92
2014-06-10,26.24,26.35,26.04,26.33,22400,25.33
2014-06-09,26.05,26.25,26.00,26.25,18300,25.25
2014-06-06,26.03,26.15,25.88,26.10,27900,25.10
2014-06-05,25.70,26.11,25.64,26.09,25900,25.09
2014-06-04,25.48,25.58,25.45,25.56,19700,24.58
2014-06-03,25.50,25.64,25.46,25.46,19800,24.49
2014-06-02,25.80,25.80,25.50,25.51,28500,24.54
2014-05-30,26.14,26.16,25.84,25.88,14900,24.89
2014-05-29,26.19,26.21,25.90,26.04,23900,25.05
2014-05-28,25.94,26.34,25.77,26.23,30600,24.99
2014-05-27,25.71,26.09,25.71,26.06,35200,24.83
2014-05-23,25.35,25.62,25.17,25.62,22500,24.41
2014-05-22,25.16,25.50,25.16,25.32,16500,24.12
2014-05-21,25.21,25.64,25.07,25.15,29000,23.96
2014-05-20,25.30,25.37,25.05,25.16,46900,23.97
2014-05-19,25.36,25.71,25.15,25.53,32100,24.32
2014-05-16,25.02,25.27,24.90,25.27,22800,24.07
2014-05-15,25.21,25.59,25.00,25.04,25400,23.85
2014-05-14,25.62,25.62,25.21,25.22,31200,24.03
2014-05-13,25.87,26.00,25.47,25.60,31200,24.39
2014-05-12,25.74,26.14,25.70,25.95,34700,24.72
2014-05-09,24.86,25.64,24.86,25.54,22600,24.33
2014-05-08,25.01,25.11,24.86,24.86,15100,23.68
2014-05-07,24.85,25.28,24.80,25.10,22700,23.91
2014-05-06,25.07,25.26,24.85,24.87,27900,23.69
2014-05-05,24.93,25.15,24.90,25.08,25400,23.89
2014-05-02,25.13,25.40,24.95,25.06,17600,23.87
2014-05-01,25.00,25.29,24.94,25.14,46100,23.95
2014-04-30,25.10,25.50,25.01,25.03,38000,23.85
2014-04-29,25.58,25.75,25.08,25.10,13500,23.91
2014-04-28,25.45,25.59,25.03,25.40,23800,24.20
2014-04-25,25.70,25.84,25.20,25.27,47000,24.07
2014-04-24,26.05,26.17,25.64,25.71,29300,24.49
2014-04-23,26.01,26.09,25.90,25.90,21300,24.67
2014-04-22,26.14,26.14,25.97,26.12,15300,24.88
2014-04-21,26.20,26.24,25.96,26.15,13700,24.91
2014-04-17,26.05,26.38,25.89,26.14,11700,24.90
2014-04-16,26.38,26.43,25.93,25.98,15500,24.75
2014-04-15,26.42,26.45,25.81,26.18,22400,24.94
2014-04-14,26.20,26.50,25.79,26.13,28300,24.89
2014-04-11,25.78,26.32,25.67,25.97,31500,24.74
2014-04-10,26.50,26.50,25.85,25.94,26600,24.71
2014-04-09,26.26,26.58,25.91,26.41,23200,25.16
2014-04-08,26.19,26.53,25.83,26.02,22800,24.79
2014-04-07,26.36,26.68,25.81,26.08,19800,24.85
2014-04-04,26.95,26.95,26.20,26.40,25700,25.15
2014-04-03,26.90,26.95,26.50,26.81,24200,25.54
2014-04-02,26.90,26.95,26.50,26.82,18400,25.55
2014-04-01,26.55,26.99,26.13,26.95,23600,25.67
2014-03-31,26.49,27.19,26.37,26.44,52400,25.19
2014-03-28,26.45,26.60,26.24,26.43,10100,25.18
2014-03-27,26.60,26.77,26.38,26.48,17000,25.23
2014-03-26,27.48,27.48,26.63,26.66,24900,25.40
2014-03-25,27.12,27.32,26.98,27.30,16600,26.01
2014-03-24,26.99,27.25,26.65,27.06,18800,25.78
2014-03-21,27.00,27.12,26.76,26.90,94000,25.63
2014-03-20,26.93,27.08,26.77,26.97,17100,25.69
2014-03-19,26.78,27.10,26.78,27.01,15000,25.73
2014-03-18,26.97,27.12,26.73,27.11,16000,25.83
2014-03-17,26.80,27.32,26.57,26.99,44000,25.71
2014-03-14,26.17,26.99,26.17,26.81,49300,25.54
2014-03-13,26.07,26.30,25.87,26.17,19800,24.93
2014-03-12,25.80,25.98,25.61,25.97,11800,24.74
2014-03-11,26.15,26.15,25.75,25.87,17200,24.65
2014-03-10,26.07,26.20,25.90,26.12,23600,24.88
2014-03-07,26.25,26.26,26.04,26.21,10700,24.97
2014-03-06,26.45,26.45,25.97,26.18,16900,24.94
2014-03-05,26.50,26.50,26.21,26.30,13400,25.06
2014-03-04,26.30,26.91,26.30,26.54,62400,25.28
2014-03-03,26.06,26.10,25.83,26.10,23600,24.86
2014-02-28,26.00,26.23,25.60,26.11,36100,24.87
2014-02-27,25.74,26.22,25.74,26.05,35900,24.82
2014-02-26,25.92,26.30,25.91,25.94,19500,24.47
2014-02-25,25.89,26.17,25.85,25.89,36300,24.43
2014-02-24,25.79,25.99,25.78,25.97,36700,24.50
2014-02-21,25.47,25.79,25.37,25.67,25400,24.22
2014-02-20,25.00,25.52,25.00,25.31,14100,23.88
2014-02-19,25.46,25.77,24.98,24.99,24500,23.58
2014-02-18,25.09,25.75,24.93,25.53,18800,24.09
2014-02-14,25.20,25.28,24.76,25.17,13200,23.75
2014-02-13,24.50,25.26,24.50,25.15,17200,23.73
2014-02-12,25.00,25.00,24.53,24.64,12500,23.25
2014-02-11,24.62,25.00,24.59,24.81,14800,23.41
2014-02-10,24.70,24.86,24.50,24.67,31800,23.28
2014-02-07,24.87,24.95,24.50,24.81,25100,23.41
2014-02-06,24.79,24.98,24.63,24.87,24200,23.46
2014-02-05,24.80,25.14,24.69,24.80,26900,23.40
2014-02-04,24.81,25.09,24.74,24.85,28400,23.45
