Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,325.00,326.14,325.00,326.14,900,326.14
2014-12-05,326.15,332.47,325.01,328.95,12200,328.95
2014-12-04,325.02,329.99,325.00,328.70,2900,328.70
2014-12-03,329.99,330.00,329.99,330.00,1800,330.00
2014-12-02,322.34,328.88,322.34,328.88,1500,328.88
2014-12-01,322.73,322.73,322.34,322.34,1000,322.34
2014-11-28,318.15,325.01,318.15,325.01,2600,325.01
2014-11-26,325.02,326.40,325.02,326.40,800,326.40
2014-11-25,329.13,329.13,329.13,329.13,1900,328.38
2014-11-24,322.72,328.59,322.72,328.59,700,327.84
2014-11-21,328.88,328.88,326.20,326.20,900,325.46
2014-11-20,325.00,325.00,325.00,325.00,1700,324.26
2014-11-19,325.00,325.01,325.00,325.01,1100,324.27
2014-11-18,324.88,327.47,324.79,327.47,2400,326.72
2014-11-17,315.06,325.01,315.06,325.00,6200,324.26
2014-11-14,329.22,329.22,325.41,325.41,900,324.67
2014-11-13,325.01,328.01,325.01,328.01,900,327.26
2014-11-12,325.00,328.98,325.00,328.98,2500,328.23
2014-11-11,319.99,329.89,319.99,329.89,2000,329.14
2014-11-10,333.00,334.00,327.31,334.00,1400,333.24
2014-11-07,332.96,335.00,330.11,334.99,3000,334.23
2014-11-06,325.32,333.00,325.32,333.00,1500,332.24
2014-11-05,333.99,334.20,329.65,330.64,5800,329.89
2014-11-04,331.00,332.36,329.50,332.36,2500,331.60
2014-11-03,325.50,329.25,325.50,329.25,2100,328.50
2014-10-31,328.00,330.01,328.00,330.01,5100,329.26
2014-10-30,328.00,329.98,325.50,329.98,2500,329.23
2014-10-29,322.01,329.00,322.00,325.01,3300,324.27
2014-10-28,319.96,323.00,315.00,322.00,4000,321.27
2014-10-27,314.12,314.12,314.12,314.12,1100,313.40
2014-10-24,315.00,315.00,315.00,315.00,800,314.28
2014-10-23,308.01,310.55,308.01,309.72,1300,309.01
2014-10-22,313.02,313.80,307.98,307.98,4900,307.28
2014-10-21,302.00,315.77,301.88,308.40,2200,307.70
2014-10-20,319.08,319.08,313.87,317.93,1500,317.21
2014-10-17,328.07,328.07,311.55,311.55,1800,310.84
2014-10-16,323.37,323.37,315.17,323.29,1500,322.55
2014-10-15,315.10,323.50,313.00,323.04,2100,322.30
2014-10-14,305.79,316.58,305.79,315.99,3300,315.27
2014-10-13,307.40,307.40,303.66,303.66,1100,302.97
2014-10-10,290.50,295.96,290.50,294.25,1700,293.58
2014-10-09,288.50,288.50,288.50,288.50,900,287.84
2014-10-08,307.31,307.31,307.31,307.31,900,306.61
2014-10-07,291.42,308.25,291.42,295.00,1800,294.33
2014-10-06,304.13,304.13,302.21,302.21,700,301.52
2014-10-03,313.91,313.91,311.94,311.94,1100,311.23
2014-10-02,297.00,315.00,296.00,314.69,1900,313.97
2014-10-01,305.00,305.00,295.01,295.01,1700,294.34
2014-09-30,305.00,314.49,305.00,305.01,3600,304.31
2014-09-29,306.97,306.97,306.97,306.97,1000,306.27
2014-09-26,305.00,318.64,305.00,318.64,2200,317.91
2014-09-25,305.00,313.83,305.00,305.01,1700,304.31
2014-09-24,305.00,311.12,305.00,310.00,1500,309.29
2014-09-23,306.00,311.53,305.00,305.21,2800,304.51
2014-09-22,316.02,316.02,313.25,313.25,2000,312.54
2014-09-19,312.41,317.98,312.41,316.02,6000,315.30
2014-09-18,305.01,311.00,305.01,311.00,1000,310.29
2014-09-17,308.35,308.35,305.01,305.01,700,304.31
2014-09-16,307.50,309.45,307.50,309.45,1100,308.74
2014-09-15,307.50,307.50,304.99,305.01,4200,304.31
2014-09-12,310.20,310.50,305.00,307.15,2200,306.45
2014-09-11,316.20,318.00,292.55,308.99,11200,308.29
2014-09-10,310.69,319.76,310.69,319.76,3400,318.28
2014-09-09,315.31,315.31,315.31,315.31,600,313.85
2014-09-08,319.35,319.92,316.82,319.92,1000,318.44
2014-09-05,328.12,328.12,321.20,323.00,2200,321.51
2014-09-04,323.64,323.64,323.64,323.64,300,322.15
2014-09-03,328.97,329.99,324.74,328.00,2700,326.49
2014-09-02,326.21,328.70,326.21,328.70,2500,327.18
2014-08-29,320.00,320.00,320.00,320.00,800,318.52
2014-08-28,319.00,322.93,319.00,322.20,1500,320.71
2014-08-27,322.00,323.31,322.00,323.29,1000,321.80
2014-08-26,323.89,323.89,323.89,323.89,1700,322.39
2014-08-25,324.00,324.00,320.62,320.81,1200,319.33
2014-08-22,323.00,324.99,320.50,324.99,2700,323.49
2014-08-21,315.99,318.00,315.99,318.00,700,316.53
2014-08-20,313.96,314.52,313.40,313.40,500,311.95
2014-08-19,313.63,320.00,313.63,318.00,1900,316.53
2014-08-18,310.97,322.99,310.97,322.99,2400,321.50
2014-08-15,312.69,316.84,308.00,316.71,2800,315.25
2014-08-14,308.05,308.05,308.00,308.00,1300,306.58
2014-08-13,305.00,307.69,305.00,307.69,2500,306.27
2014-08-12,303.74,303.74,300.10,300.10,1100,298.71
2014-08-11,304.61,310.95,300.72,307.00,2100,305.58
2014-08-08,309.69,309.98,307.00,307.00,1600,305.58
2014-08-07,304.00,304.00,304.00,304.00,600,302.60
2014-08-06,296.92,296.92,296.92,296.92,500,295.55
2014-08-05,301.22,301.22,292.01,296.16,2000,294.79
2014-08-04,285.00,292.32,283.05,288.00,2400,286.67
2014-08-01,280.00,283.17,280.00,282.95,7100,281.64
2014-07-31,287.90,290.98,281.00,281.00,5200,279.70
2014-07-30,289.80,298.39,288.92,290.60,3500,289.26
2014-07-29,284.99,287.95,284.15,286.41,3300,285.09
2014-07-28,284.00,284.00,278.01,283.50,2300,282.19
2014-07-25,287.80,288.00,283.10,283.10,3000,281.79
2014-07-24,298.60,299.92,295.63,295.63,1200,294.26
2014-07-23,301.01,301.01,300.10,300.25,1300,298.86
2014-07-22,298.38,303.98,298.38,300.00,2000,298.61
2014-07-21,298.16,301.76,298.01,300.04,2500,298.65
2014-07-18,293.33,303.05,293.33,301.00,5200,299.61
2014-07-17,301.13,301.13,294.17,294.48,4300,293.12
2014-07-16,313.43,324.96,306.00,307.35,4400,305.93
2014-07-15,314.00,317.00,310.57,311.74,2800,310.30
2014-07-14,314.90,315.70,312.00,313.00,3200,311.55
2014-07-11,316.35,318.00,312.15,312.15,1600,310.71
2014-07-10,319.00,319.87,317.00,319.01,2600,317.54
2014-07-09,318.00,329.21,318.00,321.01,1600,319.53
2014-07-08,321.01,328.07,319.00,320.00,4900,318.52
2014-07-07,324.80,329.32,323.00,323.17,2900,321.68
2014-07-03,324.00,325.45,324.00,325.00,1300,323.50
2014-07-02,325.91,325.91,321.00,322.82,2600,321.33
2014-07-01,327.75,328.00,325.80,326.97,3800,325.46
2014-06-30,329.95,337.25,325.83,326.00,13200,324.49
2014-06-27,323.21,331.75,322.30,329.99,13500,328.47
2014-06-26,320.32,324.96,320.00,324.18,5300,322.68
2014-06-25,323.74,325.50,323.30,324.01,1900,322.51
2014-06-24,318.99,322.48,315.00,322.00,5800,320.51
2014-06-23,317.44,320.46,316.51,316.51,4700,315.05
2014-06-20,317.48,322.33,310.06,320.00,6600,318.52
2014-06-19,315.13,318.93,313.51,313.51,1400,312.06
2014-06-18,317.56,317.56,310.77,315.97,2600,314.51
2014-06-17,310.26,315.58,307.00,310.59,4500,309.16
2014-06-16,308.30,318.57,308.30,312.79,2800,311.35
2014-06-13,313.00,318.01,312.00,315.26,1700,313.80
2014-06-12,317.00,317.30,312.00,313.61,2900,312.16
2014-06-11,320.00,322.44,319.50,320.36,2100,318.24
2014-06-10,322.00,323.99,321.00,322.53,2500,320.40
2014-06-09,323.69,324.00,320.76,322.49,4500,320.36
2014-06-06,312.71,321.67,311.30,321.60,4300,319.48
2014-06-05,310.00,314.00,310.00,313.89,2300,311.82
2014-06-04,312.50,312.50,307.50,310.29,4700,308.24
2014-06-03,313.50,313.50,308.46,312.29,1900,310.23
2014-06-02,318.00,318.00,310.00,314.32,3200,312.24
2014-05-30,315.00,319.00,314.06,315.40,3400,313.32
