Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,29.13,29.13,29.13,29.13,200,29.13
2014-12-05,27.76,27.76,27.76,27.76,000,27.76
2014-12-04,27.76,27.76,27.76,27.76,400,27.76
2014-12-03,29.20,29.20,29.20,29.20,000,29.20
2014-12-02,29.20,29.20,29.20,29.20,000,29.20
2014-12-01,29.20,29.20,29.20,29.20,300,29.20
2014-11-28,27.75,27.75,27.75,27.75,000,27.75
2014-11-26,27.80,27.94,27.75,27.75,900,27.75
2014-11-25,27.75,27.75,27.75,27.75,800,27.75
2014-11-24,27.79,27.79,27.79,27.79,000,27.79
2014-11-21,27.80,28.03,27.75,27.79,12400,27.79
2014-11-20,27.75,27.75,27.75,27.75,000,27.75
2014-11-19,27.97,27.97,27.75,27.75,900,27.75
2014-11-18,28.01,28.01,27.98,27.98,400,27.98
2014-11-17,27.91,27.91,27.91,27.91,000,27.91
2014-11-14,27.91,27.91,27.91,27.91,000,27.91
2014-11-13,27.91,27.91,27.91,27.91,000,27.91
2014-11-12,28.02,28.02,27.91,27.91,500,27.91
2014-11-11,27.75,27.75,27.75,27.75,000,27.75
2014-11-10,27.75,27.75,27.75,27.75,000,27.75
2014-11-07,27.87,28.07,27.75,27.75,2200,27.75
2014-11-06,27.77,27.77,27.77,27.77,000,27.77
2014-11-05,27.77,27.77,27.77,27.77,000,27.77
2014-11-04,27.77,27.77,27.77,27.77,100,27.77
2014-11-03,27.99,28.50,27.80,28.06,2100,28.06
2014-10-31,27.76,27.76,27.76,27.76,000,27.76
2014-10-30,27.76,27.76,27.76,27.76,300,27.76
2014-10-29,28.75,28.75,27.77,27.77,400,27.77
2014-10-28,27.76,27.76,27.75,27.75,3100,27.75
2014-10-27,28.16,28.16,28.16,28.16,000,28.16
2014-10-24,28.16,28.16,28.16,28.16,300,28.16
2014-10-23,27.70,27.70,27.70,27.70,000,27.70
2014-10-22,27.70,27.70,27.70,27.70,000,27.70
2014-10-21,28.15,28.15,27.70,27.70,1300,27.70
2014-10-20,27.62,27.62,27.62,27.62,000,27.62
2014-10-17,27.62,27.62,27.62,27.62,000,27.62
2014-10-16,27.50,27.62,27.50,27.62,900,27.62
2014-10-15,27.50,27.50,27.50,27.50,700,27.50
2014-10-14,27.21,27.70,27.21,27.38,1500,27.38
2014-10-13,27.35,27.35,27.35,27.35,3700,27.35
2014-10-10,27.31,27.31,27.30,27.30,200,27.30
2014-10-09,27.34,27.55,27.26,27.26,4100,27.26
2014-10-08,27.60,27.60,27.41,27.50,1500,27.50
2014-10-07,27.35,27.73,27.26,27.53,6400,27.53
2014-10-06,27.24,27.66,27.24,27.31,1500,27.31
2014-10-03,27.32,27.79,27.32,27.50,3300,27.50
2014-10-02,27.32,27.78,27.30,27.46,2700,27.46
2014-10-01,27.40,27.78,27.28,27.33,2300,27.33
2014-09-30,27.67,27.75,27.67,27.70,1600,27.70
2014-09-29,28.00,28.03,27.52,27.52,19200,27.52
2014-09-26,28.15,28.65,27.76,27.88,42900,27.88
2014-09-25,28.32,28.60,28.04,28.20,12200,27.75
2014-09-24,28.30,28.58,28.10,28.10,10900,27.65
2014-09-23,28.66,28.66,28.13,28.45,3100,28.00
2014-09-22,28.30,28.60,28.26,28.52,10500,28.06
2014-09-19,28.41,28.41,28.41,28.41,000,27.96
2014-09-18,28.29,28.41,28.29,28.41,3600,27.96
2014-09-17,28.59,28.94,28.57,28.94,17900,28.48
2014-09-16,28.00,29.36,28.00,28.75,19600,28.29
2014-09-15,27.99,28.40,27.88,28.10,33500,27.65
2014-09-12,28.05,28.27,27.66,27.66,6200,27.22
2014-09-11,28.16,28.40,28.16,28.40,1400,27.95
2014-09-10,28.16,28.16,28.16,28.16,100,27.71
2014-09-09,28.20,28.35,27.80,28.11,6300,27.66
2014-09-08,28.08,28.14,27.93,27.93,3100,27.48
2014-09-05,28.30,28.68,27.60,27.80,32700,27.36
2014-09-04,28.32,29.50,28.30,28.86,25700,28.40
2014-09-03,29.50,29.56,28.02,28.28,35400,27.83
2014-09-02,29.03,31.26,29.02,29.30,84200,28.83
2014-08-29,29.20,29.87,28.73,28.98,56000,28.52
2014-08-28,28.45,31.50,28.40,29.54,65600,29.07
2014-08-27,28.15,28.99,28.01,28.60,44700,28.14
2014-08-26,27.87,28.38,27.87,28.38,43400,27.93
2014-08-25,28.08,28.30,27.99,27.99,42400,27.54
2014-08-22,27.88,28.25,27.71,28.03,68800,27.58
2014-08-21,28.00,28.08,27.80,27.95,26000,27.50
2014-08-20,28.10,28.17,27.88,27.91,6600,27.46
2014-08-19,27.88,28.07,27.76,28.05,21300,27.60
2014-08-18,27.85,28.10,27.50,28.05,61500,27.60
2014-08-15,27.84,28.50,27.81,28.03,37000,27.58
2014-08-14,27.88,28.08,27.82,27.82,25800,27.38
2014-08-13,27.85,28.15,27.83,28.08,22900,27.63
2014-08-12,27.83,28.09,27.79,28.03,36200,27.58
2014-08-11,27.70,28.10,27.55,28.04,33600,27.59
2014-08-08,27.50,27.50,27.50,27.50,000,27.06
2014-08-07,27.51,27.51,27.50,27.50,1000,27.06
2014-08-06,27.50,27.50,27.50,27.50,000,27.06
2014-08-05,27.50,27.50,27.50,27.50,000,27.06
2014-08-04,27.50,27.50,27.50,27.50,000,27.06
2014-08-01,27.50,27.50,27.50,27.50,000,27.06
2014-07-31,27.50,27.50,27.50,27.50,000,27.06
2014-07-30,27.50,27.50,27.50,27.50,000,27.06
2014-07-29,27.50,27.50,27.50,27.50,000,27.06
