Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,2.92,3.07,2.90,3.07,30700,3.07
2014-12-05,3.06,3.06,2.90,2.99,36500,2.99
2014-12-04,2.89,3.06,2.85,3.03,60300,3.03
2014-12-03,2.88,3.00,2.88,2.95,33200,2.95
2014-12-02,2.97,3.07,2.85,2.91,67000,2.91
2014-12-01,3.05,3.05,2.85,2.85,122200,2.85
2014-11-28,3.19,3.20,3.00,3.09,71500,3.09
2014-11-26,3.29,3.29,3.15,3.17,32000,3.17
2014-11-25,3.29,3.30,3.15,3.25,32400,3.25
2014-11-24,3.16,3.29,3.14,3.29,29600,3.29
2014-11-21,3.15,3.19,3.06,3.17,20900,3.17
2014-11-20,3.23,3.23,3.11,3.15,51500,3.15
2014-11-19,3.32,3.38,3.19,3.20,82900,3.20
2014-11-18,3.35,3.51,3.35,3.37,26900,3.37
2014-11-17,3.47,3.47,3.34,3.38,43600,3.38
2014-11-14,3.51,3.64,3.46,3.47,32500,3.47
2014-11-13,3.75,3.75,3.52,3.58,40900,3.58
2014-11-12,3.46,3.62,3.37,3.58,165400,3.58
2014-11-11,3.48,3.48,3.33,3.38,56300,3.38
2014-11-10,3.65,3.65,3.43,3.52,385800,3.52
2014-11-07,3.63,3.75,3.52,3.63,175400,3.63
2014-11-06,3.43,3.64,3.33,3.60,67100,3.60
2014-11-05,3.44,3.45,3.31,3.41,152700,3.41
2014-11-04,3.41,3.47,3.35,3.44,102000,3.44
2014-11-03,3.59,3.63,3.40,3.42,109300,3.42
2014-10-31,3.70,3.71,3.55,3.63,33800,3.63
2014-10-30,3.62,3.70,3.61,3.64,28900,3.64
2014-10-29,3.72,3.73,3.63,3.66,16100,3.66
2014-10-28,3.79,3.82,3.72,3.72,44300,3.72
2014-10-27,3.85,3.85,3.76,3.79,29500,3.79
2014-10-24,3.64,3.83,3.64,3.83,69200,3.83
2014-10-23,3.69,3.71,3.52,3.59,33500,3.59
2014-10-22,3.79,3.79,3.60,3.61,23700,3.61
2014-10-21,3.60,3.75,3.57,3.71,92000,3.71
2014-10-20,3.90,3.92,3.59,3.62,238400,3.62
2014-10-17,3.86,4.00,3.85,3.94,127600,3.94
2014-10-16,3.63,3.93,3.63,3.82,154900,3.82
2014-10-15,3.64,3.64,3.40,3.45,91800,3.45
2014-10-14,3.77,3.85,3.60,3.64,105400,3.64
2014-10-13,4.09,4.09,3.80,3.80,109200,3.80
2014-10-10,3.90,4.09,3.82,4.00,93600,4.00
2014-10-09,4.04,4.04,3.82,3.85,57900,3.85
2014-10-08,3.99,4.05,3.85,4.00,80100,4.00
2014-10-07,4.34,4.35,3.70,3.98,515400,3.98
2014-10-06,3.96,4.07,3.67,3.87,71000,3.87
2014-10-03,4.05,4.07,3.98,4.07,33300,4.07
2014-10-02,4.00,4.16,3.90,4.05,28900,4.05
2014-10-01,4.17,4.17,3.98,4.00,44300,4.00
2014-09-30,4.32,4.35,4.11,4.11,26300,4.11
2014-09-29,4.10,4.19,4.05,4.19,56200,4.19
2014-09-26,4.08,4.12,4.06,4.10,13000,4.10
2014-09-25,4.10,4.15,4.06,4.09,14600,4.09
2014-09-24,4.23,4.23,4.08,4.08,15300,4.08
2014-09-23,4.30,4.30,4.08,4.16,24500,4.16
2014-09-22,4.10,4.30,4.09,4.28,75900,4.28
2014-09-19,3.83,4.04,3.83,4.04,38700,4.04
2014-09-18,4.01,4.02,3.35,3.84,105200,3.84
2014-09-17,4.20,4.20,4.00,4.01,23500,4.01
2014-09-16,4.13,4.35,4.12,4.17,11300,4.17
2014-09-15,0.29,0.29,0.28,0.28,36000,4.20
2014-09-12,0.27,0.29,0.27,0.28,57400,4.20
2014-09-11,0.28,0.29,0.28,0.28,70000,4.20
2014-09-10,0.29,0.30,0.28,0.28,109600,4.20
2014-09-09,0.28,0.29,0.28,0.29,73700,4.35
2014-09-08,0.29,0.29,0.28,0.29,28300,4.35
2014-09-05,0.30,0.30,0.28,0.29,41400,4.35
2014-09-04,0.31,0.31,0.29,0.30,51000,4.50
2014-09-03,0.31,0.32,0.31,0.31,44300,4.65
2014-09-02,0.31,0.32,0.31,0.31,71400,4.65
2014-08-29,0.31,0.32,0.31,0.31,17000,4.65
2014-08-28,0.31,0.32,0.30,0.31,46600,4.65
2014-08-27,0.30,0.32,0.29,0.31,87600,4.65
2014-08-26,0.30,0.30,0.29,0.30,87100,4.50
2014-08-25,0.28,0.30,0.28,0.29,75100,4.35
2014-08-22,0.29,0.29,0.28,0.29,23700,4.35
2014-08-21,0.29,0.29,0.28,0.29,27200,4.35
2014-08-20,0.30,0.30,0.29,0.29,25000,4.35
2014-08-19,0.30,0.30,0.30,0.30,24600,4.50
2014-08-18,0.29,0.31,0.28,0.30,75800,4.50
2014-08-15,0.29,0.30,0.29,0.30,52200,4.50
2014-08-14,0.29,0.30,0.29,0.29,20000,4.35
2014-08-13,0.29,0.30,0.29,0.30,85200,4.50
2014-08-12,0.29,0.30,0.29,0.29,16000,4.35
2014-08-11,0.30,0.30,0.29,0.29,44300,4.35
2014-08-08,0.31,0.31,0.29,0.30,52300,4.50
2014-08-07,0.32,0.32,0.31,0.31,29500,4.65
2014-08-06,0.32,0.32,0.31,0.32,33200,4.80
2014-08-05,0.32,0.32,0.30,0.31,12700,4.65
2014-08-04,0.32,0.33,0.30,0.32,84000,4.80
2014-08-01,0.32,0.33,0.31,0.32,131900,4.80
2014-07-31,0.32,0.33,0.31,0.32,156900,4.80
2014-07-30,0.29,0.32,0.29,0.31,215500,4.65
2014-07-29,0.31,0.31,0.29,0.29,132400,4.35
2014-07-28,0.31,0.33,0.30,0.31,71100,4.65
2014-07-25,0.34,0.35,0.32,0.32,136500,4.80
2014-07-24,0.35,0.36,0.34,0.34,32200,5.10
2014-07-23,0.36,0.36,0.35,0.35,29000,5.25
2014-07-22,0.36,0.37,0.35,0.35,15400,5.25
2014-07-21,0.35,0.37,0.35,0.36,38500,5.40
2014-07-18,0.36,0.36,0.35,0.35,16100,5.25
2014-07-17,0.36,0.37,0.36,0.36,27000,5.40
2014-07-16,0.37,0.37,0.36,0.36,16200,5.40
2014-07-15,0.37,0.37,0.36,0.37,102500,5.55
2014-07-14,0.37,0.37,0.35,0.37,19500,5.55
2014-07-11,0.37,0.37,0.35,0.35,49800,5.25
2014-07-10,0.38,0.38,0.34,0.36,41000,5.40
2014-07-09,0.37,0.38,0.36,0.38,43700,5.70
2014-07-08,0.37,0.38,0.36,0.37,71400,5.55
2014-07-07,0.36,0.38,0.36,0.38,64300,5.70
2014-07-03,0.36,0.37,0.35,0.36,55300,5.40
2014-07-02,0.37,0.37,0.36,0.36,49700,5.40
2014-07-01,0.37,0.37,0.36,0.37,54200,5.55
2014-06-30,0.37,0.37,0.35,0.36,78900,5.40
2014-06-27,0.37,0.38,0.36,0.37,104400,5.55
2014-06-26,0.37,0.37,0.34,0.37,218000,5.55
2014-06-25,0.34,0.38,0.33,0.36,319400,5.40
2014-06-24,0.32,0.35,0.31,0.33,220200,4.95
2014-06-23,0.34,0.34,0.31,0.32,108100,4.80
2014-06-20,0.32,0.34,0.32,0.34,112100,5.10
2014-06-19,0.30,0.32,0.30,0.32,71700,4.80
2014-06-18,0.29,0.31,0.29,0.30,93400,4.50
2014-06-17,0.28,0.29,0.27,0.29,63500,4.35
2014-06-16,0.30,0.30,0.28,0.28,70300,4.20
2014-06-13,0.35,0.35,0.28,0.30,455300,4.50
2014-06-12,0.31,0.36,0.31,0.35,269300,5.25
2014-06-11,0.31,0.31,0.30,0.31,55200,4.65
2014-06-10,0.30,0.31,0.30,0.31,75800,4.65
2014-06-09,0.29,0.30,0.29,0.30,60000,4.50
2014-06-06,0.29,0.30,0.28,0.29,31900,4.35
2014-06-05,0.29,0.29,0.27,0.29,47500,4.35
2014-06-04,0.29,0.31,0.27,0.30,100200,4.50
2014-06-03,0.30,0.31,0.29,0.31,118000,4.65
2014-06-02,0.29,0.31,0.28,0.28,130100,4.20
2014-05-30,0.27,0.29,0.27,0.27,48300,4.05
2014-05-29,0.26,0.27,0.26,0.27,40400,4.05
2014-05-28,0.25,0.25,0.25,0.25,17500,3.75
2014-05-27,0.24,0.26,0.24,0.25,33100,3.75
2014-05-23,0.25,0.25,0.24,0.24,18000,3.60
2014-05-22,0.24,0.25,0.23,0.25,14100,3.75
2014-05-21,0.24,0.24,0.23,0.24,26900,3.60
2014-05-20,0.24,0.25,0.24,0.25,38300,3.75
2014-05-19,0.24,0.26,0.24,0.24,15000,3.60
2014-05-16,0.26,0.26,0.25,0.25,7900,3.75
2014-05-15,0.26,0.27,0.25,0.26,12800,3.90
2014-05-14,0.25,0.27,0.25,0.26,10500,3.90
2014-05-13,0.27,0.27,0.25,0.25,12900,3.75
2014-05-12,0.26,0.27,0.26,0.26,36000,3.90
2014-05-09,0.26,0.27,0.25,0.27,12300,4.05
2014-05-08,0.28,0.28,0.26,0.27,12700,4.05
2014-05-07,0.26,0.28,0.25,0.27,33600,4.05
2014-05-06,0.28,0.28,0.27,0.27,26800,4.05
2014-05-05,0.28,0.29,0.28,0.28,25200,4.20
2014-05-02,0.28,0.28,0.28,0.28,34600,4.20
2014-05-01,0.28,0.28,0.28,0.28,39300,4.20
2014-04-30,0.28,0.29,0.28,0.29,30400,4.35
2014-04-29,0.30,0.30,0.28,0.29,52900,4.35
2014-04-28,0.28,0.31,0.28,0.30,247600,4.50
2014-04-25,0.28,0.28,0.27,0.28,30200,4.20
2014-04-24,0.28,0.28,0.28,0.28,6100,4.20
2014-04-23,0.28,0.28,0.27,0.28,34900,4.20
2014-04-22,0.27,0.28,0.27,0.28,58100,4.20
2014-04-21,0.25,0.27,0.24,0.27,43400,4.05
2014-04-17,0.25,0.26,0.25,0.26,16300,3.90
2014-04-16,0.26,0.26,0.25,0.25,8900,3.75
2014-04-15,0.25,0.27,0.25,0.25,20400,3.75
2014-04-14,0.26,0.28,0.24,0.25,25200,3.75
2014-04-11,0.28,0.28,0.26,0.27,42400,4.05
2014-04-10,0.27,0.28,0.26,0.28,32700,4.20
2014-04-09,0.26,0.27,0.25,0.26,21300,3.90
2014-04-08,0.27,0.28,0.25,0.26,34200,3.90
2014-04-07,0.28,0.28,0.27,0.27,21600,4.05
2014-04-04,0.28,0.28,0.27,0.28,20200,4.20
2014-04-03,0.28,0.29,0.28,0.28,9000,4.20
2014-04-02,0.29,0.29,0.28,0.29,19200,4.35
2014-04-01,0.28,0.29,0.28,0.29,11400,4.35
2014-03-31,0.27,0.29,0.27,0.28,18800,4.20
2014-03-28,0.30,0.30,0.27,0.27,78100,4.05
2014-03-27,0.32,0.33,0.28,0.29,71000,4.35
2014-03-26,0.32,0.32,0.30,0.30,41300,4.50
2014-03-25,0.31,0.33,0.29,0.30,122500,4.50
2014-03-24,0.33,0.33,0.29,0.30,177800,4.50
2014-03-21,0.31,0.34,0.30,0.30,238400,4.50
2014-03-20,0.30,0.37,0.29,0.31,381000,4.65
2014-03-19,0.30,0.31,0.29,0.30,53600,4.50
2014-03-18,0.28,0.30,0.28,0.30,43500,4.50
2014-03-17,0.30,0.30,0.28,0.28,48900,4.20
2014-03-14,0.28,0.30,0.28,0.30,45000,4.50
2014-03-13,0.29,0.29,0.27,0.28,73000,4.20
2014-03-12,0.29,0.29,0.28,0.28,57000,4.20
2014-03-11,0.28,0.29,0.27,0.28,95700,4.20
2014-03-10,0.26,0.28,0.26,0.28,61500,4.20
2014-03-07,0.26,0.27,0.26,0.27,18100,4.05
2014-03-06,0.26,0.27,0.26,0.26,3700,3.90
2014-03-05,0.26,0.28,0.25,0.26,42400,3.90
2014-03-04,0.26,0.27,0.25,0.26,8700,3.90
2014-03-03,0.27,0.28,0.26,0.27,24900,4.05
2014-02-28,0.27,0.28,0.27,0.28,16300,4.20
2014-02-27,0.28,0.28,0.27,0.27,9100,4.05
2014-02-26,0.28,0.29,0.27,0.28,19000,4.20
2014-02-25,0.29,0.29,0.27,0.28,54200,4.20
2014-02-24,0.28,0.29,0.27,0.28,37300,4.20
2014-02-21,0.26,0.28,0.26,0.28,23100,4.20
2014-02-20,0.27,0.27,0.25,0.26,7200,3.90
2014-02-19,0.26,0.27,0.25,0.27,14200,4.05
2014-02-18,0.25,0.26,0.25,0.26,31600,3.90
2014-02-14,0.25,0.27,0.25,0.27,21600,4.05
2014-02-13,0.24,0.26,0.24,0.25,11500,3.75
2014-02-12,0.23,0.24,0.23,0.24,4700,3.60
2014-02-11,0.24,0.24,0.23,0.24,11900,3.60
2014-02-10,0.24,0.25,0.23,0.24,12500,3.60
2014-02-07,0.24,0.25,0.23,0.24,10300,3.60
2014-02-06,0.23,0.24,0.23,0.24,23800,3.60
2014-02-05,0.24,0.25,0.23,0.23,16300,3.45
2014-02-04,0.24,0.25,0.24,0.24,20200,3.60
2014-02-03,0.25,0.28,0.24,0.25,65800,3.75
2014-01-31,0.26,0.27,0.25,0.26,49900,3.90
2014-01-30,0.29,0.29,0.26,0.27,61800,4.05
2014-01-29,0.27,0.29,0.26,0.28,37900,4.20
2014-01-28,0.28,0.28,0.26,0.28,26900,4.20
2014-01-27,0.29,0.30,0.26,0.28,64200,4.20
2014-01-24,0.31,0.31,0.27,0.29,81400,4.35
2014-01-23,0.31,0.31,0.29,0.31,109700,4.65
2014-01-22,0.28,0.32,0.28,0.30,234100,4.50
2014-01-21,0.24,0.30,0.23,0.27,151700,4.05
2014-01-17,0.24,0.25,0.23,0.24,93300,3.60
2014-01-16,0.22,0.24,0.21,0.23,49300,3.45
2014-01-15,0.22,0.23,0.21,0.22,19000,3.30
2014-01-14,0.21,0.22,0.21,0.22,21600,3.30
2014-01-13,0.23,0.23,0.21,0.22,81900,3.30
2014-01-10,0.23,0.23,0.21,0.21,26400,3.15
2014-01-09,0.22,0.23,0.22,0.23,38700,3.45
2014-01-08,0.22,0.23,0.21,0.22,65500,3.30
2014-01-07,0.22,0.24,0.20,0.21,61600,3.15
2014-01-06,0.19,0.23,0.19,0.22,122300,3.30
2014-01-03,0.19,0.19,0.17,0.18,14100,2.70
2014-01-02,0.19,0.19,0.17,0.19,24600,2.85
2013-12-31,0.14,0.18,0.14,0.18,70300,2.70
2013-12-30,0.14,0.16,0.14,0.15,69100,2.25
2013-12-27,0.14,0.14,0.14,0.14,25300,2.10
2013-12-26,0.14,0.14,0.14,0.14,16800,2.10
2013-12-24,0.14,0.14,0.14,0.14,12800,2.10
2013-12-23,0.15,0.15,0.14,0.14,22200,2.10
2013-12-20,0.15,0.15,0.14,0.15,7500,2.25
2013-12-19,0.15,0.15,0.14,0.15,36300,2.25
2013-12-18,0.15,0.16,0.15,0.16,21900,2.40
2013-12-17,0.15,0.16,0.14,0.16,13900,2.40
2013-12-16,0.16,0.16,0.15,0.16,6300,2.40
2013-12-13,0.16,0.16,0.15,0.16,11300,2.40
2013-12-12,0.15,0.16,0.15,0.16,12400,2.40
2013-12-11,0.16,0.16,0.15,0.15,51700,2.25
2013-12-10,0.17,0.18,0.15,0.15,39700,2.25
2013-12-09,0.18,0.18,0.10,0.15,219500,2.25
2013-12-06,0.17,0.18,0.17,0.18,10400,2.70
2013-12-05,0.18,0.18,0.17,0.17,27800,2.55
2013-12-04,0.18,0.18,0.17,0.18,8700,2.70
2013-12-03,0.18,0.18,0.17,0.17,9300,2.55
2013-12-02,0.17,0.18,0.17,0.18,10500,2.70
2013-11-29,0.18,0.18,0.17,0.17,2000,2.55
2013-11-27,0.18,0.18,0.17,0.17,7200,2.55
2013-11-26,0.17,0.18,0.17,0.18,19900,2.70
2013-11-25,0.18,0.18,0.17,0.18,26600,2.70
2013-11-22,0.19,0.19,0.17,0.17,35800,2.55
2013-11-21,0.19,0.19,0.18,0.18,9900,2.70
2013-11-20,0.19,0.19,0.19,0.19,11800,2.85
2013-11-19,0.18,0.19,0.18,0.19,8300,2.85
2013-11-18,0.19,0.19,0.18,0.18,7100,2.70
2013-11-15,0.17,0.19,0.17,0.19,34700,2.85
2013-11-14,0.18,0.18,0.17,0.18,3400,2.70
2013-11-13,0.18,0.18,0.17,0.18,19700,2.70
2013-11-12,0.17,0.19,0.17,0.18,16300,2.70
