Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,10.95,11.10,10.95,11.00,28700,11.00
2014-12-05,11.00,11.48,10.98,11.00,22100,11.00
2014-12-04,10.98,11.05,10.95,10.99,14300,10.99
2014-12-03,11.30,11.30,10.80,11.07,6000,11.07
2014-12-02,10.54,11.30,10.16,10.88,33800,10.88
2014-12-01,10.50,10.65,10.35,10.65,15000,10.65
2014-11-28,10.40,10.51,10.39,10.47,3600,10.47
2014-11-26,10.19,10.55,10.16,10.50,39800,10.50
2014-11-25,10.47,11.00,10.47,11.00,20100,9.91
2014-11-24,10.19,10.50,10.19,10.50,22900,9.46
2014-11-21,10.00,10.32,9.86,10.15,17500,9.14
2014-11-20,10.00,10.00,9.77,10.00,14100,9.01
2014-11-19,9.98,11.39,9.73,9.95,24900,8.96
2014-11-18,9.45,10.00,9.31,9.95,29200,8.96
2014-11-17,9.31,9.45,9.31,9.44,20800,8.50
2014-11-14,9.17,9.45,9.10,9.37,40800,8.44
2014-11-13,9.18,9.20,8.89,9.03,24600,8.14
2014-11-12,9.20,9.20,9.13,9.14,9100,8.23
2014-11-11,8.84,9.20,8.84,9.20,4400,8.29
2014-11-10,9.00,9.09,9.00,9.09,1800,8.19
2014-11-07,9.20,9.20,9.05,9.05,4200,8.15
2014-11-06,9.02,9.18,9.02,9.10,11100,8.20
2014-11-05,9.14,9.19,9.00,9.13,3100,8.23
2014-11-04,9.00,9.24,8.98,9.01,7900,8.12
2014-11-03,8.80,8.95,8.80,8.95,1100,8.06
2014-10-31,8.96,9.01,8.80,8.80,5800,7.93
2014-10-30,8.82,8.82,8.82,8.82,600,7.95
2014-10-29,8.98,9.06,8.81,8.82,12000,7.95
2014-10-28,8.83,8.91,8.80,8.91,1300,8.03
2014-10-27,8.82,8.89,8.82,8.89,600,8.01
2014-10-24,8.92,8.92,8.92,8.92,200,8.04
2014-10-23,8.61,8.89,8.61,8.89,1700,8.01
2014-10-22,8.83,9.00,8.77,8.77,900,7.90
2014-10-21,8.92,9.04,8.81,8.90,10100,8.02
2014-10-20,8.99,9.08,8.81,9.08,3400,8.18
2014-10-17,8.94,8.99,8.74,8.99,2900,8.10
2014-10-16,8.82,8.86,8.70,8.77,7700,7.90
2014-10-15,8.91,8.91,8.68,8.85,23900,7.97
2014-10-14,8.98,8.98,8.55,8.67,16400,7.81
2014-10-13,9.00,9.06,8.76,8.96,7100,8.07
2014-10-10,9.01,9.11,8.85,9.00,3700,8.11
2014-10-09,8.97,9.42,8.97,9.01,5000,8.12
2014-10-08,8.86,9.10,8.76,8.97,5800,8.08
2014-10-07,8.75,9.10,8.74,9.02,6800,8.13
2014-10-06,8.91,9.09,8.91,8.99,800,8.10
2014-10-03,8.76,9.06,8.72,8.90,6800,8.02
2014-10-02,9.08,9.10,8.99,9.10,12300,8.20
2014-10-01,8.97,8.97,8.69,8.74,1800,7.87
2014-09-30,8.85,9.03,8.85,9.00,1800,8.11
2014-09-29,8.91,8.92,8.81,8.89,5400,8.01
2014-09-26,9.12,9.12,8.84,8.84,1300,7.96
2014-09-25,8.88,8.97,8.88,8.97,2900,8.08
2014-09-24,8.68,8.94,8.68,8.77,4300,7.90
2014-09-23,9.18,9.18,8.64,8.64,13000,7.78
2014-09-22,9.09,9.28,9.05,9.06,6000,8.16
2014-09-19,9.40,9.43,8.92,8.92,35400,8.04
2014-09-18,9.40,9.45,8.94,9.22,9500,8.31
2014-09-17,9.45,9.45,8.96,9.05,11200,8.15
2014-09-16,9.50,9.50,9.02,9.42,8000,8.49
2014-09-15,8.52,9.49,8.50,9.37,17900,8.44
2014-09-12,8.99,9.14,8.65,9.00,9300,8.11
2014-09-11,8.74,9.00,8.57,9.00,16400,8.11
2014-09-10,8.90,8.90,8.57,8.74,18500,7.87
2014-09-09,8.68,8.95,8.54,8.89,15400,8.01
2014-09-08,8.39,8.95,8.39,8.92,15000,8.04
2014-09-05,8.25,8.31,8.25,8.26,2600,7.44
2014-09-04,8.49,8.49,8.25,8.33,10100,7.50
2014-09-03,8.41,8.41,8.26,8.37,4100,7.54
2014-09-02,8.29,8.48,8.29,8.41,1600,7.58
2014-08-29,8.27,8.42,8.27,8.30,1600,7.48
2014-08-28,8.50,8.50,8.25,8.26,9400,7.44
2014-08-27,8.43,8.48,8.27,8.28,3400,7.46
2014-08-26,8.50,8.50,8.28,8.28,400,7.46
2014-08-25,8.33,8.47,8.27,8.27,8900,7.45
2014-08-22,8.33,8.67,8.30,8.62,6900,7.77
2014-08-21,8.25,8.32,8.25,8.32,800,7.50
2014-08-20,8.25,8.40,8.25,8.27,6700,7.45
2014-08-19,8.39,8.40,8.20,8.25,13800,7.43
2014-08-18,8.16,8.42,8.16,8.33,3200,7.50
2014-08-15,8.25,8.40,8.25,8.29,5100,7.47
2014-08-14,8.52,8.53,8.02,8.08,21100,7.28
2014-08-13,8.73,8.75,8.51,8.53,5900,7.68
2014-08-12,8.75,8.75,8.73,8.73,1200,7.86
2014-08-11,8.72,8.72,8.51,8.58,3800,7.73
2014-08-08,8.72,8.73,8.72,8.73,400,7.86
2014-08-07,8.49,8.74,8.49,8.58,6400,7.73
2014-08-06,8.35,8.35,8.35,8.35,100,7.52
2014-08-05,8.35,8.47,8.35,8.45,2900,7.61
2014-08-04,8.49,8.66,8.35,8.59,6100,7.74
2014-08-01,8.35,8.70,8.35,8.50,5900,7.66
2014-07-31,8.35,8.67,8.35,8.67,2700,7.81
2014-07-30,8.62,8.62,8.21,8.35,10900,7.52
2014-07-29,8.20,8.24,8.00,8.24,9100,7.42
2014-07-28,8.59,8.59,8.10,8.20,8300,7.39
2014-07-25,8.41,8.64,8.25,8.31,9500,7.49
2014-07-24,8.29,8.70,8.25,8.40,10400,7.57
2014-07-23,8.39,8.49,8.39,8.45,6200,7.61
