Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.72,26.40,25.72,26.23,15500,26.23
2014-12-05,25.57,26.00,25.52,25.83,9200,25.83
2014-12-04,25.64,25.76,25.46,25.58,10300,25.58
2014-12-03,25.35,25.83,25.35,25.50,13500,25.50
2014-12-02,25.14,25.64,25.14,25.64,21400,25.64
2014-12-01,25.63,25.76,25.16,25.19,15200,25.19
2014-11-28,25.98,25.99,25.53,25.55,7600,25.55
2014-11-26,25.91,25.91,25.61,25.90,11700,25.90
2014-11-25,25.62,25.88,25.51,25.88,8400,25.88
2014-11-24,25.31,25.66,25.31,25.66,7600,25.66
2014-11-21,25.70,25.70,25.25,25.37,11400,25.37
2014-11-20,25.43,25.63,25.32,25.53,7400,25.28
2014-11-19,25.77,25.77,25.20,25.43,13600,25.18
2014-11-18,25.80,26.40,25.70,25.89,17200,25.64
2014-11-17,25.72,26.04,25.65,25.77,6800,25.52
2014-11-14,26.26,26.26,25.71,25.79,11400,25.54
2014-11-13,26.56,26.80,26.24,26.26,13900,26.00
2014-11-12,26.30,26.64,26.30,26.63,21700,26.37
2014-11-11,26.84,26.84,26.18,26.49,25000,26.23
2014-11-10,26.19,26.57,25.91,26.47,13900,26.21
2014-11-07,26.43,26.43,25.99,26.19,8400,25.93
2014-11-06,26.41,26.82,25.93,26.30,19600,26.04
2014-11-05,27.06,27.10,25.85,25.97,21700,25.72
2014-11-04,26.79,27.11,26.79,26.80,10600,26.54
2014-11-03,26.88,27.44,26.65,26.86,15000,26.60
2014-10-31,26.94,27.09,26.61,26.92,25600,26.66
2014-10-30,26.53,26.86,26.22,26.75,22300,26.49
2014-10-29,26.47,26.60,26.10,26.54,11900,26.28
2014-10-28,26.02,26.60,25.90,26.31,24100,26.05
2014-10-27,25.67,26.26,25.67,25.82,12300,25.57
2014-10-24,25.98,25.98,25.62,25.69,9100,25.44
2014-10-23,25.56,26.37,25.50,25.98,12200,25.73
2014-10-22,26.16,26.57,25.52,25.61,10700,25.36
2014-10-21,25.90,26.48,25.66,26.17,14900,25.91
2014-10-20,25.55,25.91,25.51,25.91,18700,25.66
2014-10-17,26.48,26.48,25.51,25.94,14500,25.69
2014-10-16,26.01,26.47,25.51,26.09,18700,25.83
2014-10-15,25.65,26.35,25.29,26.29,32200,26.03
2014-10-14,25.76,26.00,25.31,25.99,18600,25.74
