Date,Open,High,Low,Close,Volume,Adj Close
2014-12-8,30.83,30.92,30.43,30.62,2364000,30.62
2014-12-5,30.95,31.1,30.69,30.82,2707300,30.82
2014-12-4,31.36,31.4,30.87,30.88,4525800,30.88
2014-12-3,30.98,31.41,30.78,31.37,3528700,31.37
2014-12-2,30.85,31.12,30.84,31.01,2913500,31.01
2014-12-1,30.97,31.24,30.87,30.89,3057900,30.89
2014-11-28,30.99,31.24,30.9,31.15,1215400,31.15
2014-11-26,30.86,31.01,30.75,30.86,2538200,30.86
2014-11-25,31.14,31.19,30.74,30.86,3764700,30.86
2014-11-24,30.6,30.99,30.6,30.99,2935400,30.99
2014-11-21,30.58,30.85,30.28,30.63,3331200,30.63
2014-11-20,29.85,30.19,29.82,30.1,1817300,30.1
2014-11-19,29.88,30.11,29.75,30.02,2667600,30.02
2014-11-18,29.87,30.16,29.83,30.01,3428100,30.01
2014-11-17,29.82,30.12,29.76,30.07,2004500,29.82
2014-11-14,29.88,30,29.67,29.95,1947700,29.7
2014-11-13,29.66,30.11,29.66,29.81,2599300,29.56
2014-11-12,29.46,29.67,29.29,29.63,2640500,29.38
2014-11-11,29.87,29.98,29.45,29.58,2486600,29.33
2014-11-10,30.05,30.22,29.85,29.93,1910400,29.68
2014-11-7,29.75,30.07,29.66,30.05,2706600,29.8
2014-11-6,29.51,29.75,29.41,29.68,1758800,29.43
2014-11-5,29.48,29.61,29.33,29.47,1956100,29.22
2014-11-4,29.06,29.46,29.03,29.38,2233800,29.14
2014-11-3,29.05,29.38,29.05,29.17,2413800,28.93
2014-10-31,29.29,29.29,28.94,29.06,2597800,28.82
2014-10-30,28.28,28.69,28.28,28.63,2619900,28.39
2014-10-29,28.71,28.83,28.28,28.49,2189800,28.25
2014-10-28,28.14,28.63,28.06,28.63,2952400,28.39
2014-10-27,28.42,28.65,28.05,28.09,3880000,27.86
2014-10-24,27.85,28.45,27.74,28.43,3795400,28.19
2014-10-23,27.55,28.09,26.96,27.75,7994800,27.52
2014-10-22,27.55,27.72,27.33,27.41,6123000,27.18
2014-10-21,26.57,27.62,26.57,27.56,4721700,27.33
2014-10-20,26.19,26.66,26.07,26.61,3272100,26.39
2014-10-17,26.26,26.61,26,26.35,6254300,26.13
2014-10-16,25.25,25.94,25.25,25.82,3218400,25.61
2014-10-15,25.3,25.87,25.26,25.74,5481100,25.53
2014-10-14,25.64,25.9,25.57,25.73,3610500,25.52
2014-10-13,25.99,26.03,25.48,25.52,3599700,25.31
2014-10-10,26.49,26.69,25.9,25.9,3711500,25.68
2014-10-9,26.98,27.19,26.48,26.58,2541000,26.36
2014-10-8,26.77,27.09,26.46,27.05,4115100,26.83
2014-10-7,27.26,27.34,26.8,26.81,1923700,26.59
2014-10-6,27.52,27.73,27.4,27.43,1499900,27.2
2014-10-3,27.32,27.6,27.21,27.46,1681400,27.23
2014-10-2,27.04,27.26,26.82,27.18,2346000,26.95
2014-10-1,27.87,27.87,27.11,27.13,3315900,26.9
2014-9-30,27.62,28,27.53,27.94,2473000,27.71
2014-9-29,27.7,27.82,27.54,27.64,2268700,27.41
2014-9-26,27.89,27.97,27.66,27.89,1718900,27.66
2014-9-25,28.36,28.41,27.89,27.93,2444700,27.7
2014-9-24,28.28,28.45,28.09,28.42,2092200,28.18
2014-9-23,28.21,28.48,28.16,28.35,3232200,28.11
2014-9-22,28.45,28.45,28.09,28.21,1859900,27.98
2014-9-19,28.82,28.82,28.31,28.48,3035800,28.24
2014-9-18,28.86,28.86,28.63,28.78,976300,28.54
2014-9-17,28.55,28.77,28.46,28.58,1485100,28.34
2014-9-16,28.22,28.65,28.1,28.56,1691600,28.32
2014-9-15,28.49,28.58,28.21,28.29,1623100,28.05
2014-9-12,28.77,28.77,28.37,28.5,1627200,28.26
2014-9-11,28.63,28.85,28.61,28.84,1613300,28.6
2014-9-10,29.01,29.04,28.75,28.83,1872900,28.59
2014-9-9,28.94,29.26,28.87,28.88,1982300,28.64
2014-9-8,29.12,29.36,29.08,29.27,2257000,29.03
2014-9-5,29.36,29.47,29.07,29.22,2398900,28.98
2014-9-4,28.88,29.34,28.8,29.34,6868500,29.1
2014-9-3,28.76,29,28.64,28.78,3799200,28.54
2014-9-2,28.24,28.69,28.11,28.65,2982500,28.41
2014-8-29,28.26,28.27,28.01,28.24,1525600,28.01
2014-8-28,28.14,28.19,27.87,28.12,1032700,27.89
2014-8-27,28.46,28.46,28.09,28.18,1711600,27.95
2014-8-26,28.28,28.44,28.19,28.31,1108000,28.07
2014-8-25,28.36,28.44,28.08,28.21,1266400,27.98
2014-8-22,28.15,28.31,28.15,28.24,1379000,28.01
2014-8-21,28.24,28.31,28.13,28.19,1799500,27.96
2014-8-20,28.3,28.38,28.17,28.27,1064500,28.03
2014-8-19,28.14,28.35,28.13,28.3,1258800,28.06
2014-8-18,28.46,28.53,28.16,28.42,2322100,27.94
2014-8-15,28.61,28.61,28.14,28.36,1648100,27.88
2014-8-14,28.7,28.7,28.15,28.4,1930300,27.92
2014-8-13,28.44,28.44,28.25,28.42,1244400,27.94
2014-8-12,28.36,28.55,28.16,28.31,1477400,27.83
2014-8-11,28.87,28.87,28.46,28.5,1365800,28.01
2014-8-8,28.21,28.57,28.16,28.55,1766700,28.06
2014-8-7,28.49,28.54,28.06,28.15,1698800,27.67
2014-8-6,28.33,28.55,28.23,28.36,1999800,27.88
2014-8-5,28.65,28.81,28.38,28.47,1529200,27.98
2014-8-4,28.34,28.86,28.34,28.81,1972200,28.32
2014-8-1,28.79,28.88,28.42,28.47,2425800,27.98
2014-7-31,29.41,29.48,28.83,28.88,2795700,28.39
2014-7-30,29.56,29.63,29.41,29.58,1478000,29.08
2014-7-29,29.53,29.71,29.46,29.48,2534000,28.98
2014-7-28,29.5,29.68,29.4,29.51,2644000,29.01
2014-7-25,29.78,29.78,29.41,29.53,3231900,29.03
