Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,0.12,0.12,0.12,0.12,000,0.12
2014-12-05,0.12,0.12,0.12,0.12,000,0.12
2014-12-04,0.12,0.12,0.12,0.12,000,0.12
2014-12-03,0.12,0.12,0.12,0.12,5100,0.12
2014-12-02,0.12,0.12,0.12,0.12,000,0.12
2014-12-01,0.12,0.12,0.12,0.12,000,0.12
2014-11-28,0.12,0.12,0.12,0.12,000,0.12
2014-11-26,0.12,0.12,0.12,0.12,000,0.12
2014-11-25,0.12,0.12,0.12,0.12,000,0.12
2014-11-24,0.12,0.12,0.12,0.12,000,0.12
2014-11-21,0.14,0.14,0.12,0.12,162900,0.12
2014-11-20,0.13,0.13,0.13,0.13,000,0.13
2014-11-19,0.13,0.14,0.13,0.13,51000,0.13
2014-11-18,0.12,0.12,0.12,0.12,000,0.12
2014-11-17,0.12,0.12,0.12,0.12,000,0.12
2014-11-14,0.12,0.12,0.12,0.12,000,0.12
2014-11-13,0.12,0.12,0.12,0.12,35000,0.12
