Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,42.89,43.45,41.91,42.69,416400,42.69
2014-12-05,41.84,43.36,41.84,43.13,423600,43.13
2014-12-04,43.00,43.10,41.67,41.84,319700,41.84
2014-12-03,42.81,43.14,42.25,42.90,818600,42.90
2014-12-02,42.09,42.64,41.51,42.60,453300,42.60
2014-12-01,42.00,42.67,41.62,41.91,399900,41.91
2014-11-28,41.76,42.54,41.70,41.88,164100,41.88
2014-11-26,40.85,41.86,40.38,41.84,402300,41.84
2014-11-25,41.42,41.49,40.70,40.82,402400,40.82
2014-11-24,42.69,42.69,41.11,41.40,638600,41.40
2014-11-21,42.98,43.07,42.00,42.46,299600,42.46
2014-11-20,42.29,42.89,42.23,42.39,268600,42.39
2014-11-19,42.60,42.88,41.81,42.71,400500,42.71
2014-11-18,42.40,42.77,42.10,42.58,315600,42.58
2014-11-17,41.78,42.44,41.77,42.17,328900,42.17
2014-11-14,41.00,41.80,39.83,41.68,591100,41.68
2014-11-13,41.63,42.19,40.75,40.98,393200,40.98
2014-11-12,42.52,42.68,41.59,41.74,366900,41.74
2014-11-11,42.48,43.03,42.26,42.69,314600,42.69
2014-11-10,43.34,43.70,42.01,42.44,491500,42.44
2014-11-07,43.50,44.03,42.88,43.03,564700,43.03
2014-11-06,41.90,43.42,41.55,43.12,361000,43.12
2014-11-05,43.56,43.95,41.81,41.91,752400,41.91
2014-11-04,43.34,43.78,43.08,43.15,514300,43.15
2014-11-03,44.19,44.55,43.10,43.32,423100,43.32
2014-10-31,89.19,89.66,87.37,87.79,562400,43.90
2014-10-30,85.55,87.24,85.54,86.95,369600,43.47
2014-10-29,85.25,86.25,84.76,85.58,422800,42.79
2014-10-28,83.11,85.23,83.11,85.23,457600,42.62
2014-10-27,83.97,85.30,83.06,83.42,460400,41.71
2014-10-24,85.00,85.65,83.32,85.05,549400,42.33
2014-10-23,82.71,85.58,82.21,84.77,1013000,42.20
2014-10-22,83.69,84.49,81.53,81.58,458200,40.61
2014-10-21,81.78,84.22,81.70,83.75,439600,41.69
2014-10-20,79.11,81.99,79.00,81.36,565600,40.50
2014-10-17,80.91,81.50,79.68,79.75,854600,39.70
2014-10-16,82.60,83.76,79.43,79.72,770600,39.68
2014-10-15,84.23,84.64,80.57,83.92,767000,41.77
2014-10-14,86.75,86.75,84.32,85.46,729800,42.54
2014-10-13,92.94,93.25,86.00,86.37,885000,42.99
2014-10-10,94.33,96.04,93.83,93.94,381200,46.76
2014-10-09,96.00,96.62,94.44,94.54,391200,47.06
2014-10-08,94.67,96.00,94.04,95.96,432200,47.77
2014-10-07,94.90,96.59,93.56,94.76,799400,47.17
2014-10-06,93.40,96.55,93.35,95.46,920600,47.52
2014-10-03,89.71,92.66,89.70,92.31,608400,45.95
