Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,43.28,43.76,43.00,43.34,280200,43.34
2014-12-05,42.94,43.71,42.94,43.27,271800,43.27
2014-12-04,42.46,43.05,42.39,42.72,336800,42.72
2014-12-03,42.29,42.93,42.10,42.63,333100,42.63
2014-12-02,42.06,42.77,41.85,42.41,247100,42.41
2014-12-01,42.62,42.80,41.93,41.99,350100,41.99
2014-11-28,43.34,43.82,42.75,42.82,161900,42.82
2014-11-26,43.20,43.45,43.10,43.28,207600,43.28
2014-11-25,44.15,44.30,43.15,43.32,363200,43.32
2014-11-24,45.18,45.70,43.84,45.67,388800,43.28
2014-11-21,45.94,46.24,45.03,45.10,265800,42.74
2014-11-20,45.13,45.55,45.11,45.52,280000,43.14
2014-11-19,45.61,45.72,45.13,45.42,225600,43.04
2014-11-18,45.86,46.28,45.64,45.68,330300,43.29
2014-11-17,45.67,45.99,45.61,45.87,394100,43.47
2014-11-14,46.05,46.13,45.49,45.62,250100,43.23
2014-11-13,46.40,46.49,45.86,46.00,267400,43.59
2014-11-12,45.79,46.48,45.76,46.35,265200,43.93
2014-11-11,46.12,46.30,45.93,45.99,165500,43.58
2014-11-10,45.74,46.28,45.53,46.03,246000,43.62
2014-11-07,45.62,45.96,45.52,45.67,288100,43.28
2014-11-06,45.40,45.85,45.28,45.68,266400,43.29
2014-11-05,45.76,45.80,45.22,45.38,266500,43.01
2014-11-04,45.31,45.49,45.03,45.37,332300,43.00
2014-11-03,45.37,45.56,44.99,45.30,301800,42.93
2014-10-31,45.32,45.45,45.07,45.26,384900,42.89
2014-10-30,44.79,45.07,44.53,44.83,244500,42.49
2014-10-29,44.40,44.90,43.94,44.82,466300,42.48
2014-10-28,43.76,44.37,43.53,44.30,368100,41.98
2014-10-27,43.12,43.51,43.03,43.43,370400,41.16
2014-10-24,42.88,43.34,42.69,43.13,217800,40.87
2014-10-23,42.92,43.38,42.52,42.93,281300,40.68
2014-10-22,43.08,43.25,42.60,42.62,353300,40.39
2014-10-21,42.25,43.24,42.25,42.90,401000,40.66
2014-10-20,41.72,42.15,41.36,41.99,491400,39.79
2014-10-17,42.26,42.29,41.54,41.74,863600,39.56
2014-10-16,40.54,41.83,40.39,41.65,928600,39.47
2014-10-15,40.01,42.99,40.00,41.30,1086900,39.14
2014-10-14,43.62,44.10,43.29,43.35,599800,41.08
2014-10-13,43.50,43.82,43.33,43.36,444600,41.09
2014-10-10,43.38,43.94,43.28,43.49,398900,41.22
2014-10-09,44.09,44.32,43.36,43.44,453000,41.17
2014-10-08,43.75,44.32,43.50,44.22,488000,41.91
2014-10-07,43.89,44.15,43.61,43.74,583700,41.45
2014-10-06,45.01,45.20,44.51,44.58,295300,42.25
2014-10-03,44.90,45.26,44.29,44.91,265000,42.56
2014-10-02,44.26,44.74,43.81,44.49,286200,42.16
2014-10-01,44.51,44.85,44.09,44.23,618100,41.92
2014-09-30,44.90,45.04,44.55,44.65,332700,42.31
2014-09-29,44.81,45.14,44.52,44.96,256500,42.61
2014-09-26,45.21,45.46,44.82,45.15,246300,42.79
2014-09-25,45.69,45.70,45.01,45.06,372600,42.70
2014-09-24,45.38,45.77,45.20,45.71,287000,43.32
2014-09-23,45.83,46.09,45.39,45.42,383300,43.04
2014-09-22,46.30,46.58,45.94,46.01,270800,43.60
2014-09-19,47.12,47.48,46.44,46.47,959400,44.04
2014-09-18,46.47,47.35,46.45,46.86,322700,44.41
2014-09-17,46.11,46.75,45.98,46.27,256600,43.85
2014-09-16,46.44,46.85,46.09,46.15,377500,43.74
2014-09-15,46.52,46.68,46.25,46.45,262600,44.02
2014-09-12,46.34,46.92,46.15,46.63,378100,44.19
2014-09-11,45.99,46.52,45.76,46.42,291100,43.99
2014-09-10,45.77,46.36,45.77,46.26,203500,43.84
2014-09-09,45.99,46.29,45.56,45.71,304200,43.32
2014-09-08,45.99,46.32,45.78,46.23,330900,43.81
2014-09-05,45.84,46.22,45.61,46.12,198000,43.71
2014-09-04,46.17,46.58,45.92,46.00,226900,43.59
2014-09-03,46.40,46.55,45.95,46.15,314900,43.74
2014-09-02,46.25,46.83,46.22,46.50,409700,43.85
2014-08-29,45.95,46.19,45.77,46.13,318800,43.51
2014-08-28,45.96,46.14,45.73,45.86,264300,43.25
2014-08-27,46.23,46.42,45.96,46.14,401100,43.52
2014-08-26,46.05,46.37,45.91,46.25,310600,43.62
2014-08-25,46.45,46.46,45.95,46.14,255700,43.52
2014-08-22,46.11,46.42,45.84,46.14,212100,43.52
2014-08-21,45.67,46.27,45.61,46.08,242900,43.46
2014-08-20,45.68,45.89,45.34,45.69,225100,43.09
2014-08-19,45.88,45.99,45.45,45.82,251100,43.21
2014-08-18,45.58,45.83,45.07,45.70,313200,43.10
2014-08-15,45.55,45.70,44.82,45.16,234300,42.59
2014-08-14,45.49,45.73,45.34,45.44,222600,42.85
2014-08-13,45.28,45.77,45.22,45.50,190900,42.91
2014-08-12,45.03,45.43,44.84,45.05,218900,42.49
2014-08-11,45.20,45.33,44.65,45.08,191000,42.52
2014-08-08,44.86,45.07,44.65,44.96,229300,42.40
2014-08-07,45.13,45.24,44.44,44.69,227400,42.15
2014-08-06,44.55,45.15,44.55,45.06,188700,42.50
2014-08-05,44.65,45.30,44.65,44.84,274400,42.29
2014-08-04,45.00,45.08,44.34,44.92,314000,42.36
2014-08-01,44.98,45.20,44.36,44.77,552100,42.22
2014-07-31,45.26,45.52,44.78,45.06,605300,42.50
2014-07-30,45.37,46.00,45.21,45.59,354000,43.00
2014-07-29,45.25,45.78,45.14,45.17,432300,42.60
2014-07-28,45.69,45.77,45.06,45.29,391400,42.71
2014-07-25,45.49,45.93,45.16,45.84,330600,43.23
2014-07-24,45.24,45.84,45.03,45.66,265500,43.06
2014-07-23,45.25,45.48,44.96,45.29,292300,42.71
2014-07-22,45.55,45.65,45.11,45.13,351600,42.56
2014-07-21,45.23,45.42,44.89,45.22,286200,42.65
2014-07-18,45.42,45.66,45.04,45.40,506000,42.82
2014-07-17,45.42,45.63,44.79,44.93,524600,42.37
2014-07-16,47.04,47.06,45.52,45.75,836300,43.15
2014-07-15,46.07,46.77,45.48,46.18,833600,43.55
2014-07-14,46.59,46.84,46.28,46.49,711400,43.85
2014-07-11,46.18,46.59,45.87,46.45,484600,43.81
2014-07-10,46.12,46.68,45.82,46.34,430700,43.70
2014-07-09,46.84,47.09,46.54,46.71,399900,44.05
2014-07-08,47.21,47.21,46.40,46.47,500600,43.83
2014-07-07,47.17,47.64,46.90,47.26,277500,44.57
2014-07-03,46.87,47.55,46.87,47.36,200200,44.67
2014-07-02,47.19,47.32,46.61,46.66,263000,44.01
2014-07-01,46.66,47.65,46.59,47.10,647900,44.42
2014-06-30,46.30,46.65,46.08,46.50,350200,43.85
2014-06-27,46.36,46.64,46.23,46.47,469800,43.83
