Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,39.25,39.97,38.91,39.65,22400,39.65
2014-12-05,38.85,39.50,38.85,39.48,9900,39.48
2014-12-04,38.50,39.50,38.45,39.50,56900,39.50
2014-12-03,38.83,39.38,38.60,38.81,8300,38.81
2014-12-02,39.20,39.40,38.79,39.22,9000,39.22
2014-12-01,39.45,39.45,38.82,39.07,40700,39.07
2014-11-28,39.09,39.43,38.81,39.43,21700,39.43
2014-11-26,39.39,39.40,38.87,39.34,29400,39.34
2014-11-25,39.17,39.49,38.54,39.24,34000,39.24
2014-11-24,38.25,39.50,38.10,39.17,38200,39.17
2014-11-21,38.25,38.25,37.95,37.95,2500,37.95
2014-11-20,37.40,38.20,37.40,37.90,23400,37.90
2014-11-19,37.75,38.00,37.44,37.59,9000,37.59
2014-11-18,37.37,37.84,37.30,37.79,8700,37.79
2014-11-17,37.16,37.97,36.36,37.56,122100,37.56
2014-11-14,37.03,37.67,37.00,37.32,11700,37.32
2014-11-13,37.25,37.45,37.00,37.00,50700,37.00
2014-11-12,37.31,37.57,37.31,37.33,900,37.33
2014-11-11,37.31,37.73,35.71,37.30,23500,37.30
2014-11-10,36.45,37.09,36.40,36.95,10800,36.95
2014-11-07,35.85,36.35,35.00,36.30,21000,36.30
2014-11-06,35.54,35.94,35.13,35.41,12100,35.41
2014-11-05,36.07,36.07,35.44,35.50,18900,35.50
2014-11-04,35.54,36.12,35.54,36.00,9200,36.00
2014-11-03,34.74,35.72,34.74,35.67,34400,35.67
2014-10-31,35.11,35.32,34.34,34.34,5900,34.34
2014-10-30,34.44,34.78,34.16,34.78,9000,34.78
2014-10-29,34.58,34.75,33.66,34.42,16600,34.42
2014-10-28,34.00,34.80,33.82,34.80,7600,34.80
2014-10-27,33.94,34.60,33.70,34.35,8800,34.35
2014-10-24,33.21,34.23,33.06,34.23,9600,34.23
2014-10-23,33.60,33.60,33.30,33.32,6100,33.32
2014-10-22,33.30,33.47,33.30,33.32,1700,33.32
2014-10-21,33.43,34.24,33.21,33.34,16400,33.34
2014-10-20,33.18,33.59,32.87,33.51,11200,33.51
2014-10-17,34.23,34.23,33.10,33.37,8800,33.37
2014-10-16,33.20,33.46,32.40,33.38,30600,33.38
2014-10-15,33.23,33.59,33.23,33.56,9800,33.56
2014-10-14,33.60,34.40,33.23,33.40,31700,33.40
2014-10-13,33.56,33.93,33.33,33.48,9700,33.48
2014-10-10,33.38,33.89,33.38,33.86,8400,33.86
2014-10-09,33.30,33.55,33.30,33.40,3400,33.40
2014-10-08,33.41,33.56,33.01,33.56,3400,33.56
2014-10-07,33.03,33.82,32.99,33.24,11200,33.24
2014-10-06,33.45,33.66,33.17,33.36,9200,33.36
2014-10-03,33.42,33.68,33.09,33.17,4500,33.17
2014-10-02,32.96,33.52,32.96,33.07,5300,33.07
2014-10-01,33.38,33.72,32.99,33.01,10300,33.01
2014-09-30,33.42,33.64,33.27,33.27,7100,33.27
2014-09-29,33.36,33.75,33.36,33.62,8900,33.62
2014-09-26,34.15,34.35,33.80,33.84,10600,33.84
2014-09-25,33.83,34.52,33.76,33.98,11700,33.98
2014-09-24,34.30,34.45,33.89,34.12,5100,34.12
2014-09-23,34.30,34.58,34.25,34.26,7100,34.26
2014-09-22,34.88,34.89,34.12,34.22,18600,34.22
2014-09-19,33.85,35.00,33.77,35.00,21400,35.00
2014-09-18,33.70,34.79,33.51,34.52,7200,34.52
2014-09-17,33.72,34.10,33.60,34.05,19100,34.05
2014-09-16,33.92,34.20,33.71,33.98,17200,33.98
2014-09-15,33.99,34.50,33.70,33.80,13200,33.80
2014-09-12,34.51,35.15,33.87,34.35,15100,34.35
2014-09-11,34.39,34.75,34.20,34.72,12500,34.72
2014-09-10,34.55,34.91,34.50,34.54,7500,34.24
2014-09-09,34.82,35.03,34.51,34.69,4900,34.39
2014-09-08,34.81,35.20,33.87,35.08,11100,34.78
2014-09-05,34.92,35.44,34.48,35.09,9700,34.79
2014-09-04,34.94,35.49,34.66,34.79,12900,34.49
2014-09-03,35.49,35.49,34.41,34.75,3600,34.45
2014-09-02,34.79,35.31,34.19,34.82,7800,34.52
2014-08-29,33.92,35.08,33.60,34.45,17600,34.15
2014-08-28,33.61,33.86,33.52,33.72,5400,33.43
2014-08-27,33.63,33.92,33.57,33.57,9600,33.28
2014-08-26,33.65,33.92,33.56,33.91,8100,33.62
2014-08-25,33.50,33.92,33.38,33.91,10400,33.62
2014-08-22,33.67,33.94,33.43,33.94,9400,33.65
2014-08-21,33.08,33.69,33.01,33.45,12200,33.16
2014-08-20,33.26,33.55,33.13,33.13,5700,32.84
2014-08-19,33.25,33.95,33.25,33.25,9600,32.96
2014-08-18,33.35,33.75,33.35,33.35,4700,33.06
2014-08-15,33.80,33.94,33.35,33.35,4000,33.06
2014-08-14,33.73,35.12,33.65,33.98,8700,33.68
2014-08-13,33.57,34.81,33.18,33.76,14100,33.47
2014-08-12,33.79,33.79,33.18,33.69,18100,33.40
2014-08-11,33.34,33.65,33.08,33.26,7600,32.97
2014-08-08,33.21,33.75,33.08,33.47,11600,33.18
2014-08-07,33.25,33.98,32.82,33.44,10500,33.15
2014-08-06,33.55,34.75,32.61,33.09,28800,32.80
2014-08-05,33.60,34.78,33.51,33.80,18900,33.51
2014-08-04,34.56,34.56,33.65,33.65,4200,33.36
2014-08-01,34.18,35.08,33.51,34.01,11100,33.71
2014-07-31,34.50,34.50,34.00,34.27,16900,33.97
2014-07-30,34.85,34.98,34.30,34.50,3800,34.20
2014-07-29,34.50,35.42,34.50,35.10,2200,34.80
2014-07-28,34.65,34.90,33.99,34.60,6300,34.30
2014-07-25,34.83,35.50,33.98,34.40,41700,34.10
2014-07-24,34.75,35.20,34.48,34.50,4900,34.20
2014-07-23,34.29,34.86,33.00,34.26,12400,33.96
2014-07-22,35.54,35.74,34.18,34.29,12500,33.99
2014-07-21,35.40,35.95,35.01,35.04,4400,34.74
2014-07-18,35.33,35.80,35.33,35.53,1700,35.22
2014-07-17,35.81,36.49,35.04,35.37,18200,35.06
2014-07-16,35.50,36.73,35.36,35.75,16500,35.44
2014-07-15,35.76,35.96,35.11,35.33,4000,35.02
2014-07-14,35.17,36.00,35.01,35.67,16100,35.36
2014-07-11,35.21,35.21,34.64,34.97,2900,34.67
2014-07-10,34.84,35.52,34.43,35.05,14400,34.75
2014-07-09,35.39,36.06,35.05,35.29,6300,34.98
2014-07-08,36.23,36.23,34.79,34.99,12900,34.69
2014-07-07,35.81,36.60,35.47,36.48,19100,36.16
2014-07-03,36.07,36.58,35.35,36.10,12000,35.79
2014-07-02,36.45,36.45,35.54,35.94,7500,35.63
2014-07-01,36.08,36.99,35.42,36.32,28100,36.00
2014-06-30,33.81,35.99,33.81,35.99,18700,35.68
2014-06-27,33.20,34.42,33.13,34.10,463700,33.80
2014-06-26,34.21,34.49,33.00,33.39,17100,33.10
2014-06-25,34.97,34.97,33.96,34.15,20800,33.85
2014-06-24,35.55,35.55,34.59,34.79,36400,34.49
2014-06-23,35.65,35.70,35.01,35.10,27600,34.80
2014-06-20,35.08,35.90,34.40,35.42,75400,35.11
2014-06-19,35.38,35.45,34.05,34.85,20800,34.55
2014-06-18,35.75,36.08,35.07,35.20,15200,34.89
2014-06-17,35.52,36.13,35.40,35.65,13500,35.34
2014-06-16,36.30,36.30,35.40,35.63,16000,35.32
2014-06-13,36.15,36.94,35.68,36.02,17200,35.71
2014-06-12,36.43,37.04,35.25,35.88,28900,35.57
2014-06-11,35.40,36.83,35.06,36.33,25500,36.01
2014-06-10,35.90,36.44,35.55,35.99,8700,35.38
2014-06-09,35.03,36.65,34.43,35.89,21800,35.28
2014-06-06,34.72,36.10,32.99,35.60,15700,35.00
2014-06-05,34.15,34.82,34.15,34.80,10600,34.21
2014-06-04,34.67,34.82,34.28,34.43,8100,33.85
2014-06-03,35.06,35.68,34.41,34.70,19300,34.11
2014-06-02,35.24,35.56,34.25,35.21,19300,34.61
2014-05-30,34.52,35.27,33.83,34.86,18900,34.27
2014-05-29,34.62,35.55,33.95,34.54,24300,33.95
