Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,0.56,0.56,0.56,0.56,000,0.56
2014-12-05,0.56,0.56,0.56,0.56,000,0.56
2014-12-04,0.56,0.56,0.56,0.56,000,0.56
2014-12-03,0.56,0.56,0.56,0.56,000,0.56
2014-12-02,0.56,0.56,0.56,0.56,4000,0.56
2014-12-01,0.56,0.56,0.56,0.56,000,0.56
2014-11-28,0.56,0.56,0.56,0.56,000,0.56
2014-11-26,0.56,0.56,0.56,0.56,000,0.56
2014-11-25,0.58,0.58,0.56,0.56,1600,0.56
2014-11-24,0.47,0.55,0.45,0.55,5900,0.55
2014-11-21,0.56,0.64,0.56,0.59,2000,0.59
2014-11-20,0.56,0.56,0.56,0.56,000,0.56
2014-11-19,0.45,0.56,0.45,0.56,4300,0.56
2014-11-18,0.50,0.50,0.45,0.48,7300,0.48
2014-11-17,0.53,0.53,0.53,0.53,000,0.53
2014-11-14,0.48,0.53,0.48,0.53,2600,0.53
2014-11-13,0.61,0.61,0.61,0.61,5500,0.61
