Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,0.20,0.20,0.20,0.20,8000,0.20
2014-12-05,0.19,0.19,0.19,0.19,000,0.19
2014-12-04,0.19,0.19,0.19,0.19,000,0.19
2014-12-03,0.19,0.19,0.19,0.19,000,0.19
2014-12-02,0.19,0.19,0.18,0.19,14000,0.19
2014-12-01,0.19,0.19,0.19,0.19,000,0.19
2014-11-28,0.19,0.19,0.19,0.19,000,0.19
2014-11-26,0.19,0.19,0.19,0.19,400,0.19
2014-11-25,0.20,0.20,0.20,0.20,200,0.20
2014-11-24,0.18,0.19,0.18,0.18,5000,0.18
2014-11-21,0.19,0.19,0.19,0.19,000,0.19
2014-11-20,0.19,0.19,0.19,0.19,000,0.19
2014-11-19,0.18,0.19,0.18,0.19,1400,0.19
