Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,14.77,15.00,14.12,14.34,122300,14.34
2014-12-05,13.96,14.63,13.96,14.37,77800,14.37
2014-12-04,14.43,14.59,14.00,14.18,113500,14.18
2014-12-03,14.34,14.89,13.82,14.25,112500,14.25
2014-12-02,13.75,14.48,13.30,14.14,327400,14.14
2014-12-01,13.62,13.69,13.10,13.37,73300,13.37
2014-11-28,13.75,13.82,13.21,13.73,26200,13.73
2014-11-26,13.77,14.12,13.25,13.59,55400,13.59
2014-11-25,13.71,14.49,13.63,13.75,104100,13.75
2014-11-24,13.22,13.54,13.09,13.41,186100,13.41
2014-11-21,12.75,13.38,12.75,13.05,65900,13.05
2014-11-20,13.14,13.56,12.70,13.00,67300,13.00
