Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.62,25.71,25.43,25.58,156300,25.58
2014-12-05,25.48,25.49,25.41,25.47,56000,25.47
2014-12-04,25.50,25.51,25.35,25.38,110800,25.38
2014-12-03,25.66,25.66,25.50,25.54,106700,25.54
2014-12-02,25.59,25.65,25.50,25.60,306900,25.60
2014-12-01,25.63,25.68,25.42,25.45,103900,25.45
2014-11-28,25.60,25.62,25.50,25.60,11600,25.60
2014-11-26,25.54,25.63,25.46,25.62,38700,25.62
2014-11-25,25.59,25.63,25.43,25.44,79300,25.44
2014-11-24,25.54,25.54,25.42,25.51,43100,25.51
2014-11-21,25.59,25.59,25.39,25.50,54300,25.50
2014-11-20,25.65,25.65,25.45,25.50,164700,25.50
2014-11-19,25.58,25.59,25.36,25.49,87900,25.49
2014-11-18,25.65,25.65,25.52,25.60,39300,25.60
2014-11-17,25.52,25.65,25.52,25.59,23900,25.59
2014-11-14,25.57,25.60,25.57,25.60,19200,25.60
2014-11-13,25.52,25.65,25.52,25.60,70900,25.60
2014-11-12,25.50,25.68,25.50,25.64,84200,25.64
2014-11-11,25.58,25.72,25.51,25.54,33500,25.54
2014-11-10,25.64,25.74,25.48,25.69,52500,25.69
2014-11-07,25.38,25.67,25.38,25.65,38000,25.65
2014-11-06,25.41,25.50,25.40,25.49,47400,25.49
2014-11-05,25.43,25.50,25.36,25.45,81700,25.45
2014-11-04,25.26,25.53,25.26,25.43,122400,25.43
2014-11-03,25.22,25.32,25.17,25.30,68300,25.30
2014-10-31,25.02,25.23,25.02,25.18,170800,25.18
2014-10-30,25.24,25.25,24.80,25.03,411600,25.03
2014-10-29,25.30,25.34,25.16,25.17,214800,25.17
2014-10-28,25.26,25.33,25.20,25.30,67500,25.30
2014-10-27,25.15,25.27,25.11,25.23,150300,25.23
2014-10-24,25.28,25.28,25.17,25.24,177700,25.24
2014-10-23,25.25,25.29,25.18,25.24,163300,25.24
2014-10-22,25.23,25.27,25.18,25.20,205700,25.20
2014-10-21,25.12,25.23,25.12,25.18,188200,25.18
2014-10-20,25.18,25.19,24.93,25.09,460900,25.09
2014-10-17,25.44,25.54,25.03,25.05,2805700,25.05
2014-10-16,25.22,25.40,25.22,25.36,136000,25.36
2014-10-15,25.35,25.55,25.20,25.30,87700,25.30
2014-10-14,25.60,25.73,25.43,25.59,222600,25.59
2014-10-13,25.40,25.74,25.40,25.64,71100,25.64
2014-10-10,25.51,25.51,25.10,25.34,134600,25.34
2014-10-09,25.62,25.67,25.45,25.49,285200,25.49
2014-10-08,25.59,25.63,25.50,25.62,197000,25.62
2014-10-07,25.53,25.64,25.53,25.57,68100,25.57
2014-10-06,25.65,25.69,25.56,25.61,228800,25.61
2014-10-03,25.60,25.63,25.52,25.63,131000,25.63
2014-10-02,25.59,25.59,25.43,25.51,46200,25.51
2014-10-01,25.49,25.70,25.38,25.50,81400,25.50
2014-09-30,25.37,25.49,25.30,25.49,247100,25.49
2014-09-29,25.34,25.40,25.30,25.36,189000,25.36
2014-09-26,25.39,25.39,25.18,25.34,229900,25.34
2014-09-25,25.38,25.47,25.28,25.35,198500,25.35
2014-09-24,25.38,25.39,25.30,25.38,78900,25.38
2014-09-23,25.35,25.40,25.26,25.37,195500,25.37
2014-09-22,25.49,25.50,25.34,25.37,154100,25.37
2014-09-19,25.40,25.50,25.40,25.47,100300,25.47
2014-09-18,25.30,25.48,25.26,25.40,1217200,25.40
2014-09-17,25.26,25.35,25.18,25.30,268500,25.30
2014-09-16,25.05,25.81,25.04,25.20,321200,25.20
2014-09-15,25.12,25.15,24.10,25.10,744600,25.10
