Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,34.94,35.24,34.91,34.91,6500,34.91
2014-12-05,35.12,35.23,35.08,35.13,7000,35.13
2014-12-04,35.10,35.10,35.10,35.10,500,35.10
2014-12-03,35.18,35.19,35.18,35.19,400,35.19
2014-12-02,35.15,35.21,35.15,35.21,700,35.21
2014-12-01,35.15,35.20,35.13,35.16,1400,35.16
2014-11-28,35.57,35.57,35.57,35.57,000,35.57
2014-11-26,35.57,35.57,35.57,35.57,100,35.57
2014-11-25,35.57,35.57,35.45,35.49,1000,35.49
2014-11-24,35.30,35.30,35.30,35.30,100,35.30
2014-11-21,35.19,35.20,35.13,35.13,1100,35.13
2014-11-20,34.91,35.02,34.91,35.01,1800,35.01
2014-11-19,35.07,35.08,35.07,35.08,1000,35.08
2014-11-18,35.20,35.20,35.17,35.17,1500,35.17
2014-11-17,34.89,34.91,34.83,34.91,14700,34.91
2014-11-14,34.99,35.07,34.97,35.07,10100,35.07
2014-11-13,35.38,35.38,34.83,34.90,13300,34.90
2014-11-12,34.80,34.82,34.80,34.82,1800,34.82
2014-11-11,35.04,35.04,34.96,34.96,800,34.96
2014-11-10,34.84,34.84,34.84,34.84,1600,34.84
2014-11-07,34.59,34.59,34.59,34.59,000,34.59
2014-11-06,34.67,34.70,34.59,34.59,3400,34.59
2014-11-05,34.71,34.78,34.71,34.76,35100,34.76
2014-11-04,34.46,34.67,34.46,34.65,15700,34.65
2014-11-03,34.52,34.89,34.52,34.89,800,34.89
2014-10-31,35.05,35.13,35.00,35.13,1400,35.13
2014-10-30,34.50,34.70,34.50,34.62,3300,34.62
2014-10-29,34.76,34.76,34.44,34.45,3400,34.45
2014-10-28,35.79,35.79,34.45,34.48,900,34.48
2014-10-27,34.07,34.15,34.07,34.13,2700,34.13
2014-10-24,35.03,35.03,34.34,34.34,800,34.34
2014-10-23,34.16,34.22,34.10,34.10,1300,34.10
2014-10-22,33.96,34.22,33.76,33.76,5600,33.76
2014-10-21,33.61,33.61,33.61,33.61,000,33.61
2014-10-20,33.44,33.61,33.16,33.61,3000,33.61
2014-10-17,32.94,32.94,32.94,32.94,000,32.94
2014-10-16,32.66,32.94,32.64,32.94,1900,32.94
2014-10-15,32.75,33.05,32.51,33.05,2300,33.05
2014-10-14,33.34,33.39,33.34,33.39,1900,33.39
2014-10-13,33.14,34.32,33.14,34.32,5900,34.32
2014-10-10,33.63,33.63,33.59,33.59,400,33.59
2014-10-09,34.48,34.48,34.06,34.06,2500,34.06
2014-10-08,33.95,34.46,33.95,34.46,700,34.46
2014-10-07,34.46,34.92,34.39,34.40,3100,34.40
2014-10-06,34.66,34.66,34.66,34.66,000,34.66
2014-10-03,34.66,34.66,34.66,34.66,000,34.66
2014-10-02,34.66,34.66,34.66,34.66,000,34.66
2014-10-01,34.86,34.86,34.66,34.66,2000,34.66
