Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,0.70,0.70,0.70,0.70,1700,0.70
2014-12-05,0.70,0.70,0.70,0.70,500,0.70
2014-12-04,0.70,0.70,0.69,0.69,600,0.69
2014-12-03,0.65,0.65,0.65,0.65,000,0.65
2014-12-02,0.65,0.65,0.65,0.65,000,0.65
2014-12-01,0.65,0.65,0.65,0.65,000,0.65
2014-11-28,0.65,0.65,0.65,0.65,000,0.65
2014-11-26,0.65,0.65,0.65,0.65,000,0.65
2014-11-25,0.65,0.65,0.65,0.65,000,0.65
2014-11-24,0.65,0.65,0.65,0.65,200,0.65
2014-11-21,0.68,0.68,0.58,0.58,600,0.58
2014-11-20,0.69,0.69,0.69,0.69,200,0.69
2014-11-19,0.70,0.70,0.66,0.67,4600,0.67
2014-11-18,0.80,0.80,0.80,0.80,200,0.80
2014-11-17,0.72,0.72,0.72,0.72,000,0.72
2014-11-14,0.70,0.72,0.70,0.72,6400,0.72
2014-11-13,0.80,0.80,0.80,0.80,000,0.80
