Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,6.85,7.41,6.82,7.06,361000,7.06
2014-12-05,6.98,7.08,6.76,7.00,262400,7.00
2014-12-04,7.10,7.20,6.98,7.01,975900,7.01
2014-12-03,7.00,7.31,6.90,7.04,307200,7.04
2014-12-02,7.10,7.30,7.10,7.21,630000,7.21
2014-12-01,7.48,7.48,7.10,7.21,665500,7.21
2014-11-28,7.49,7.52,7.25,7.34,96600,7.34
2014-11-26,7.60,7.60,7.15,7.22,585300,7.22
2014-11-25,7.54,7.63,7.25,7.38,1111500,7.38
2014-11-24,7.80,8.06,7.60,7.60,912900,7.60
2014-11-21,7.26,7.89,7.25,7.61,2532500,7.61
2014-11-20,7.63,7.88,7.05,7.15,14049100,7.15
