Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,46.30,46.30,44.70,44.91,2100,44.91
2014-12-05,46.06,46.06,45.90,45.90,600,45.90
2014-12-04,46.29,46.29,46.09,46.10,1200,46.10
2014-12-03,46.56,46.59,46.36,46.59,1400,46.59
2014-12-02,46.70,46.70,46.39,46.39,1300,46.39
2014-12-01,45.83,46.63,45.83,46.63,1700,46.63
2014-11-28,47.46,47.52,46.47,46.47,6300,46.47
2014-11-26,49.25,49.25,49.25,49.25,500,49.25
2014-11-25,49.84,49.92,49.43,49.43,1900,49.43
2014-11-24,49.84,49.84,49.72,49.72,200,49.72
2014-11-21,50.21,50.21,49.90,49.90,700,49.90
2014-11-20,49.59,49.59,49.59,49.59,400,49.59
2014-11-19,49.59,49.59,49.26,49.26,500,49.26
2014-11-18,49.47,49.47,49.31,49.36,1300,49.36
2014-11-17,49.35,49.56,49.23,49.56,2500,49.56
2014-11-14,49.38,49.45,49.38,49.45,2900,49.45
2014-11-13,49.50,49.50,48.84,48.85,4200,48.85
2014-11-12,50.20,50.20,49.73,49.81,6500,49.81
2014-11-11,49.90,50.03,49.80,50.03,2100,50.03
2014-11-10,50.70,50.70,49.91,49.93,4700,49.93
2014-11-07,50.42,50.56,50.32,50.35,4300,50.35
2014-11-06,49.80,50.00,49.60,49.99,4800,49.99
2014-11-05,49.55,49.92,49.55,49.92,400,49.92
2014-11-04,49.88,49.88,49.53,49.55,1600,49.55
2014-11-03,50.84,50.84,50.19,50.19,1200,50.19
2014-10-31,50.42,50.73,50.21,50.71,2800,50.71
2014-10-30,50.52,50.88,50.52,50.85,3500,50.85
2014-10-29,51.33,51.33,51.25,51.25,1400,51.25
2014-10-28,50.53,50.97,50.49,50.97,2400,50.97
2014-10-27,50.11,50.11,49.95,49.95,1100,49.95
2014-10-24,50.61,50.73,50.61,50.73,900,50.73
2014-10-23,50.56,50.98,50.56,50.96,4500,50.96
2014-10-22,51.03,51.03,51.03,51.03,000,51.03
2014-10-21,50.84,51.03,50.84,51.03,300,51.03
2014-10-20,50.55,50.55,50.41,50.55,2100,50.55
2014-10-17,50.68,50.77,50.68,50.77,9000,50.77
2014-10-16,49.93,50.41,49.93,50.41,200,50.41
