Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,61.83,62.38,60.71,60.93,91600,60.93
2014-12-05,61.96,62.74,61.65,61.87,121100,61.87
2014-12-04,61.06,62.70,61.06,61.94,144800,61.94
2014-12-03,60.56,61.73,60.56,61.24,145500,61.24
2014-12-02,58.63,60.65,58.51,60.23,662300,60.23
2014-12-01,59.08,59.96,58.55,58.64,143400,58.64
2014-11-28,59.88,61.36,59.88,60.11,64200,60.11
2014-11-26,59.09,59.76,58.77,59.62,78300,59.62
2014-11-25,58.95,59.39,58.60,58.92,91700,58.92
2014-11-24,57.05,59.23,57.05,59.07,110700,58.94
2014-11-21,58.72,58.72,57.01,57.05,103000,56.92
2014-11-20,57.42,58.28,57.15,58.00,111200,57.87
2014-11-19,58.50,58.50,56.96,57.43,77400,57.30
2014-11-18,58.24,59.51,58.14,58.36,177300,58.23
2014-11-17,58.36,59.15,57.94,58.02,111500,57.89
2014-11-14,60.07,60.40,58.62,58.80,139300,58.67
2014-11-13,61.91,62.02,60.14,60.22,100300,60.09
2014-11-12,59.64,62.09,59.25,61.65,236500,61.51
2014-11-11,58.72,59.74,58.38,59.65,135400,59.52
2014-11-10,58.22,58.91,58.11,58.90,147500,58.77
2014-11-07,56.59,58.46,56.31,58.04,155000,57.91
2014-11-06,57.00,57.31,55.91,56.45,255200,56.33
2014-11-05,57.17,57.49,56.17,56.52,175600,56.40
2014-11-04,57.05,57.44,56.45,56.90,161900,56.77
2014-11-03,58.27,58.66,57.02,57.05,107000,56.92
2014-10-31,58.61,59.24,57.89,58.03,121600,57.90
2014-10-30,56.67,57.55,56.49,57.42,110900,57.29
2014-10-29,57.28,57.82,56.26,57.03,102700,56.90
2014-10-28,55.31,57.33,55.05,56.98,230200,56.85
2014-10-27,55.08,55.17,54.70,55.07,112500,54.95
2014-10-24,55.64,56.90,54.87,55.24,102500,55.12
2014-10-23,56.38,56.96,55.16,55.44,116000,55.32
2014-10-22,54.84,56.06,54.64,55.67,120000,55.55
2014-10-21,53.86,54.84,53.86,54.61,88400,54.49
2014-10-20,53.85,54.49,53.48,53.74,139900,53.62
2014-10-17,54.86,54.89,53.22,53.96,262300,53.84
2014-10-16,52.88,54.86,52.88,54.13,133700,54.01
2014-10-15,52.15,53.86,51.92,53.61,163400,53.49
2014-10-14,52.74,53.12,52.36,52.58,166700,52.46
2014-10-13,51.75,52.77,51.39,52.36,115000,52.24
2014-10-10,51.65,52.96,51.62,51.81,139900,51.70
2014-10-09,51.68,52.40,51.04,51.90,147100,51.79
2014-10-08,50.67,51.92,50.31,51.86,144200,51.75
2014-10-07,51.04,51.32,50.46,50.67,76000,50.56
2014-10-06,52.24,52.24,51.22,51.24,65700,51.13
2014-10-03,53.05,53.06,52.15,52.20,74400,52.09
2014-10-02,51.75,52.86,51.62,52.43,83100,52.31
2014-10-01,53.12,53.32,51.50,51.69,94300,51.58
2014-09-30,53.40,53.59,52.92,53.04,176300,52.92
2014-09-29,51.87,53.46,51.18,53.38,92200,53.26
2014-09-26,51.98,52.36,51.63,52.28,138400,52.16
2014-09-25,52.48,52.87,51.65,51.97,133000,51.86
2014-09-24,52.14,52.80,51.83,52.43,103500,52.31
2014-09-23,53.43,53.53,51.51,51.90,123800,51.79
2014-09-22,54.47,54.87,53.64,53.72,88500,53.60
2014-09-19,54.00,54.87,53.80,54.57,208000,54.45
2014-09-18,52.81,54.06,52.77,54.00,141600,53.88
2014-09-17,52.52,53.29,52.23,53.10,95200,52.98
2014-09-16,52.04,52.92,51.72,52.65,125500,52.53
2014-09-15,52.56,52.99,51.85,52.00,82900,51.89
2014-09-12,52.82,52.86,52.31,52.45,167500,52.33
2014-09-11,51.62,53.40,51.62,52.69,193500,52.57
2014-09-10,51.77,52.09,51.32,51.95,106700,51.84
2014-09-09,51.77,51.87,51.27,51.59,97400,51.48
2014-09-08,51.67,51.85,51.30,51.70,110400,51.59
2014-09-05,50.51,51.71,50.35,51.65,108200,51.54
2014-09-04,51.29,51.74,50.66,50.77,90100,50.66
2014-09-03,50.74,51.47,50.52,51.06,756700,50.95
2014-09-02,49.10,50.61,48.64,50.38,314300,50.27
2014-08-29,48.23,48.38,47.93,48.16,69300,48.05
2014-08-28,48.50,48.70,48.10,48.21,91700,48.10
2014-08-27,49.06,49.06,48.29,48.57,61200,48.46
2014-08-26,49.00,49.05,48.78,48.82,81000,48.71
2014-08-25,49.63,49.63,48.57,48.92,99100,48.81
2014-08-22,49.14,49.52,48.82,49.31,121100,49.20
2014-08-21,49.17,49.50,48.64,49.04,96800,48.93
2014-08-20,50.05,50.25,48.77,49.11,97500,49.00
2014-08-19,50.33,50.47,50.00,50.28,77300,50.06
2014-08-18,49.60,50.55,49.46,50.21,97000,49.99
2014-08-15,49.60,49.60,48.56,49.09,116700,48.87
2014-08-14,48.98,49.50,48.66,49.43,66600,49.21
2014-08-13,48.50,49.12,47.99,48.94,82000,48.73
2014-08-12,48.12,48.48,48.01,48.36,81800,48.15
2014-08-11,49.60,49.60,48.21,48.37,136300,48.16
2014-08-08,47.18,49.87,47.18,49.61,104000,49.39
2014-08-07,47.16,47.42,45.74,47.37,148800,47.16
2014-08-06,48.01,48.70,48.01,48.18,51900,47.97
2014-08-05,47.43,48.17,47.43,48.06,76700,47.85
2014-08-04,47.10,47.63,47.00,47.58,105300,47.37
2014-08-01,47.41,47.77,46.45,46.94,72900,46.73
2014-07-31,46.82,47.37,46.71,47.20,129800,46.99
2014-07-30,47.33,47.33,46.81,47.25,42300,47.04
2014-07-29,47.15,47.33,46.98,47.13,61600,46.92
2014-07-28,46.52,47.17,46.43,47.00,98400,46.79
2014-07-25,46.14,46.86,46.14,46.57,75100,46.37
2014-07-24,46.15,46.95,46.15,46.51,103200,46.31
2014-07-23,46.58,47.08,46.10,46.50,54100,46.30
2014-07-22,45.98,46.85,45.80,46.60,75600,46.40
2014-07-21,45.91,46.09,45.07,45.64,118600,45.44
2014-07-18,44.78,46.75,44.78,46.46,199000,46.26
2014-07-17,43.11,45.01,43.07,44.90,147300,44.70
