Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,10.35,10.38,10.30,10.30,19162200,10.30
2014-12-05,10.34,10.37,10.34,10.36,903400,10.36
2014-12-04,10.35,10.37,10.34,10.35,1012100,10.35
2014-12-03,10.35,10.37,10.35,10.35,990300,10.35
2014-12-02,10.34,10.38,10.32,10.34,2233400,10.34
2014-12-01,10.32,10.36,10.32,10.35,1072000,10.35
2014-11-28,10.32,10.35,10.31,10.32,588600,10.32
2014-11-26,10.28,10.35,10.28,10.29,1665700,10.29
2014-11-25,10.32,10.34,10.28,10.29,3889500,10.29
2014-11-24,10.27,10.34,10.26,10.33,770500,10.33
2014-11-21,10.30,10.31,10.26,10.26,1683100,10.26
2014-11-20,10.20,10.29,10.18,10.27,5186600,10.27
2014-11-19,10.16,10.18,10.13,10.16,4683800,10.16
2014-11-18,10.19,10.20,10.16,10.16,4984200,10.16
2014-11-17,10.17,10.20,10.16,10.16,8777000,10.16
2014-11-14,10.18,10.19,10.17,10.17,1940800,10.17
2014-11-13,10.18,10.19,10.16,10.16,1927600,10.16
2014-11-12,10.18,10.19,10.18,10.19,1177500,10.19
2014-11-11,10.17,10.19,10.17,10.19,1026700,10.19
2014-11-10,10.18,10.19,10.16,10.17,1236100,10.17
2014-11-07,10.18,10.19,10.17,10.18,831200,10.18
2014-11-06,10.25,10.25,10.17,10.19,1116500,10.19
2014-11-05,10.19,10.28,10.16,10.18,2088300,10.18
2014-11-04,10.14,10.16,10.10,10.14,1004200,10.14
2014-11-03,10.14,10.15,10.09,10.15,1270800,10.15
2014-10-31,10.20,10.20,10.10,10.15,1793000,10.15
2014-10-30,10.10,10.12,10.06,10.10,1541400,10.10
2014-10-29,10.12,10.15,10.08,10.13,1270700,10.13
2014-10-28,10.10,10.12,10.09,10.11,2123300,10.11
2014-10-27,10.03,10.11,10.02,10.09,1315500,10.09
2014-10-24,10.10,10.19,9.99,10.04,944600,10.04
2014-10-23,9.95,10.01,9.92,9.97,2619900,9.97
2014-10-22,9.96,10.03,9.93,9.93,2703400,9.93
2014-10-21,9.89,10.00,9.87,9.95,2165600,9.95
2014-10-20,9.88,9.91,9.84,9.87,2054100,9.87
2014-10-17,9.99,9.99,9.85,9.86,3541600,9.86
2014-10-16,9.96,10.02,9.74,9.99,4181800,9.99
2014-10-15,10.24,10.24,9.95,10.10,5057300,9.70
2014-10-14,10.32,10.36,10.20,10.31,3128700,9.90
2014-10-13,10.41,10.42,10.16,10.27,6072000,9.87
2014-10-10,10.46,10.56,10.38,10.39,3198400,9.98
2014-10-09,10.60,10.63,10.47,10.51,3349300,10.10
2014-10-08,10.58,10.63,10.57,10.62,2084800,10.20
2014-10-07,10.60,10.64,10.57,10.57,4963800,10.15
2014-10-06,10.65,10.68,10.60,10.62,1499000,10.20
2014-10-03,10.65,10.69,10.63,10.67,2292400,10.25
2014-10-02,10.59,10.63,10.59,10.62,1876200,10.20
2014-10-01,10.62,10.62,10.56,10.60,3224900,10.18
2014-09-30,10.63,10.65,10.61,10.61,2686200,10.19
2014-09-29,10.63,10.68,10.63,10.64,2311100,10.22
2014-09-26,10.66,10.67,10.63,10.66,3530200,10.24
2014-09-25,10.63,10.70,10.60,10.62,13485200,10.20
2014-09-24,10.58,10.66,10.58,10.64,5037800,10.22
2014-09-23,10.67,10.68,10.55,10.55,5625800,10.13
2014-09-22,10.67,10.69,10.66,10.66,5365000,10.24
2014-09-19,10.68,10.71,10.65,10.70,4011300,10.28
2014-09-18,10.66,10.72,10.66,10.68,2742900,10.26
2014-09-17,10.65,10.72,10.64,10.66,5240800,10.24
2014-09-16,10.65,10.67,10.63,10.65,5897400,10.23
2014-09-15,10.68,10.68,10.64,10.65,5148500,10.23
2014-09-12,10.69,10.69,10.64,10.65,6230800,10.23
2014-09-11,10.64,10.70,10.64,10.69,3039100,10.27
2014-09-10,10.63,10.68,10.63,10.65,9896600,10.23
2014-09-09,10.65,10.67,10.61,10.63,7782500,10.21
2014-09-08,10.65,10.72,10.63,10.64,9178400,10.22
2014-09-05,10.62,10.65,10.60,10.63,7798300,10.21
2014-09-04,10.60,10.66,10.59,10.63,10939200,10.21
2014-09-03,10.59,10.65,10.52,10.60,34003400,10.18
2014-09-02,10.51,10.62,10.42,10.59,64827000,10.17
2014-08-29,9.26,9.36,9.22,9.35,795200,8.98
2014-08-28,9.24,9.29,9.20,9.22,572600,8.86
2014-08-27,9.30,9.33,9.26,9.29,527100,8.92
2014-08-26,9.33,9.38,9.27,9.31,1498200,8.94
2014-08-25,9.33,9.37,9.26,9.33,1407700,8.96
2014-08-22,9.03,9.31,9.02,9.27,1385800,8.90
2014-08-21,9.10,9.22,9.07,9.18,1086800,8.82
2014-08-20,9.15,9.18,9.08,9.12,671400,8.76
2014-08-19,9.12,9.19,9.10,9.16,792600,8.80
2014-08-18,9.09,9.13,9.02,9.10,1065200,8.74
2014-08-15,9.17,9.17,8.94,9.01,1241900,8.66
2014-08-14,9.18,9.18,9.07,9.09,691200,8.73
2014-08-13,9.12,9.20,9.05,9.15,1047100,8.79
2014-08-12,9.10,9.17,9.05,9.10,785500,8.74
2014-08-11,9.16,9.24,9.08,9.15,630600,8.79
2014-08-08,9.06,9.15,9.05,9.11,626600,8.75
2014-08-07,9.20,9.22,9.07,9.07,1370500,8.71
2014-08-06,9.12,9.23,9.11,9.17,759500,8.81
2014-08-05,9.07,9.20,9.05,9.14,1840200,8.78
2014-08-04,9.10,9.12,8.97,9.07,2058700,8.71
2014-08-01,9.11,9.14,8.99,9.05,2026700,8.69
2014-07-31,9.28,9.31,9.09,9.10,1661700,8.74
2014-07-30,9.29,9.45,9.15,9.34,2626700,8.97
2014-07-29,9.42,9.52,9.20,9.21,3584500,8.85
2014-07-28,9.43,9.48,9.38,9.43,1810200,9.06
2014-07-25,9.47,9.51,9.38,9.41,1643200,9.04
2014-07-24,9.58,9.64,9.51,9.52,1662200,9.15
2014-07-23,9.60,9.62,9.52,9.54,937100,9.16
2014-07-22,9.61,9.70,9.54,9.57,1592500,9.19
2014-07-21,9.53,9.62,9.48,9.56,1180800,9.18
2014-07-18,9.46,9.61,9.46,9.57,1350000,9.19
2014-07-17,9.53,9.59,9.47,9.49,1648100,9.12
2014-07-16,9.66,9.69,9.53,9.55,3138700,9.17
2014-07-15,9.69,9.77,9.57,9.63,1314200,9.25
2014-07-14,9.69,9.78,9.60,9.69,1182400,9.31
2014-07-11,9.56,9.68,9.53,9.61,2024700,9.23
2014-07-10,9.53,9.64,9.50,9.56,4480300,9.18
2014-07-09,9.74,9.78,9.64,9.65,3665800,9.27
2014-07-08,9.82,9.82,9.68,9.74,2155500,9.36
2014-07-07,10.00,10.01,9.80,9.84,2596900,9.45
2014-07-03,9.97,10.06,9.95,10.05,951100,9.65
2014-07-02,9.92,10.07,9.86,9.92,2713200,9.53
2014-07-01,10.05,10.10,9.85,9.99,2724700,9.60
2014-06-30,9.98,10.03,9.87,9.99,3116300,9.60
2014-06-27,9.91,10.09,9.88,9.97,22390200,9.58
2014-06-26,9.91,9.97,9.78,9.96,1743600,9.57
2014-06-25,9.91,9.98,9.87,9.93,2144300,9.54
2014-06-24,10.11,10.18,9.91,9.95,2789400,9.56
2014-06-23,10.02,10.16,10.02,10.15,1517300,9.75
2014-06-20,10.03,10.07,9.95,10.03,2641600,9.63
2014-06-19,10.02,10.07,9.94,9.99,884700,9.60
2014-06-18,10.00,10.05,9.93,9.98,989300,9.59
2014-06-17,10.00,10.00,9.91,9.98,1570000,9.59
2014-06-16,9.96,10.02,9.94,9.99,1685600,9.60
2014-06-13,9.84,9.99,9.82,9.96,2586200,9.57
2014-06-12,9.78,9.86,9.75,9.80,1624900,9.41
2014-06-11,9.77,9.84,9.75,9.82,911800,9.43
2014-06-10,9.78,9.84,9.71,9.83,1061600,9.44
2014-06-09,9.79,9.86,9.74,9.83,1774600,9.44
2014-06-06,9.73,9.81,9.71,9.79,1345300,9.40
2014-06-05,9.77,9.79,9.70,9.73,1122300,9.35
2014-06-04,9.65,9.75,9.64,9.75,1140100,9.37
2014-06-03,9.68,9.74,9.66,9.69,1248500,9.31
2014-06-02,9.78,9.84,9.68,9.72,1819300,9.34
2014-05-30,9.83,9.95,9.83,9.90,1429900,9.39
2014-05-29,10.09,10.09,9.83,9.85,1347500,9.34
2014-05-28,10.00,10.05,9.88,10.03,2845100,9.51
2014-05-27,9.91,10.00,9.75,9.99,6778400,9.48
2014-05-23,10.34,10.34,9.87,9.92,5620900,9.41
2014-05-22,10.45,10.45,10.25,10.39,1562000,9.85
2014-05-21,10.30,10.48,10.28,10.42,1050000,9.88
2014-05-20,10.34,10.43,10.23,10.31,927000,9.78
2014-05-19,10.35,10.43,10.32,10.39,652900,9.85
2014-05-16,10.27,10.36,10.20,10.35,791200,9.82
2014-05-15,10.29,10.38,10.16,10.29,628700,9.76
2014-05-14,10.36,10.39,10.30,10.33,420000,9.80
2014-05-13,10.45,10.50,10.36,10.40,822600,9.86
2014-05-12,10.33,10.45,10.30,10.44,960700,9.90
2014-05-09,10.27,10.33,10.18,10.27,1457100,9.74
2014-05-08,10.43,10.50,10.28,10.29,714200,9.76
2014-05-07,10.45,10.48,10.29,10.45,1346400,9.91
2014-05-06,10.48,10.51,10.39,10.45,923500,9.91
2014-05-05,10.39,10.50,10.34,10.48,889800,9.94
2014-05-02,10.43,10.50,10.39,10.48,802400,9.94
2014-05-01,10.38,10.45,10.29,10.44,1203100,9.90
2014-04-30,10.28,10.38,10.25,10.36,1110600,9.83
2014-04-29,10.35,10.37,10.24,10.32,993100,9.79
2014-04-28,10.38,10.43,10.21,10.29,1147100,9.76
2014-04-25,10.38,10.39,10.26,10.34,2020800,9.81
2014-04-24,10.40,10.44,10.29,10.39,1755200,9.85
2014-04-23,10.23,10.36,10.18,10.35,912600,9.82
2014-04-22,10.22,10.33,10.19,10.26,1694900,9.73
2014-04-21,10.20,10.31,10.10,10.20,952300,9.67
2014-04-17,10.13,10.21,10.05,10.16,723200,9.64
2014-04-16,10.15,10.29,10.09,10.17,1816400,9.65
2014-04-15,10.09,10.17,10.00,10.13,2107300,9.61
2014-04-14,10.06,10.16,10.02,10.06,1044700,9.54
2014-04-11,10.08,10.15,9.99,10.01,1789300,9.49
2014-04-10,10.18,10.22,10.03,10.13,2215600,9.61
2014-04-09,10.13,10.26,10.12,10.21,934700,9.68
2014-04-08,10.16,10.21,10.07,10.13,1201900,9.61
2014-04-07,10.26,10.35,10.15,10.17,1269600,9.65
2014-04-04,10.60,10.61,10.30,10.30,1085700,9.77
2014-04-03,10.67,10.75,10.51,10.52,1073600,9.98
2014-04-02,10.67,10.72,10.59,10.69,921700,10.14
2014-04-01,10.53,10.67,10.50,10.65,1420900,10.10
2014-03-31,10.35,10.57,10.31,10.50,1509200,9.96
2014-03-28,10.34,10.46,10.27,10.32,1146200,9.79
2014-03-27,10.27,10.36,10.19,10.33,1650400,9.80
2014-03-26,10.43,10.47,10.26,10.27,1907400,9.74
2014-03-25,10.49,10.57,10.36,10.41,1141800,9.87
2014-03-24,10.50,10.55,10.35,10.45,2011100,9.91
2014-03-21,10.69,10.72,10.47,10.52,3223400,9.98
2014-03-20,10.45,10.58,10.41,10.56,809900,10.02
2014-03-19,10.56,10.58,10.42,10.45,1356400,9.91
2014-03-18,10.45,10.61,10.45,10.56,1157300,10.02
2014-03-17,10.38,10.45,10.30,10.43,1012700,9.89
2014-03-14,10.42,10.57,10.28,10.35,2253600,9.82
