Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,19.87,19.94,19.87,19.91,1700,19.91
2014-12-05,19.92,19.92,19.92,19.92,800,19.92
2014-12-04,19.62,19.96,19.57,19.91,2200,19.91
2014-12-03,19.50,19.96,19.50,19.96,1800,19.96
2014-12-02,19.85,19.85,19.85,19.85,800,19.85
2014-12-01,19.80,19.80,19.80,19.80,000,19.80
2014-11-28,19.80,19.80,19.80,19.80,100,19.80
2014-11-26,19.35,19.95,19.35,19.95,2800,19.95
2014-11-25,19.87,19.91,19.51,19.51,5400,19.51
2014-11-24,20.26,20.26,19.96,20.09,500,20.09
2014-11-21,20.25,20.25,20.25,20.25,400,20.25
2014-11-20,20.27,21.29,19.95,19.95,1400,19.95
2014-11-19,21.58,21.58,19.96,20.86,2000,20.86
2014-11-18,22.05,22.05,21.57,21.57,500,21.57
2014-11-17,22.00,22.00,20.49,21.91,2600,21.91
2014-11-14,22.44,22.45,21.00,21.85,5500,21.85
2014-11-13,23.20,23.20,22.40,22.40,700,22.40
2014-11-12,22.87,23.90,22.87,23.45,2000,23.45
2014-11-11,22.89,23.02,22.79,22.79,800,22.79
2014-11-10,22.50,23.25,22.50,22.50,7500,22.50
2014-11-07,21.44,24.00,21.00,22.99,18800,22.99
2014-11-06,20.87,20.87,20.87,20.87,800,20.87
2014-11-05,19.92,19.92,19.92,19.92,500,19.92
2014-11-04,20.75,20.75,20.25,20.25,1000,20.25
2014-11-03,19.73,19.73,19.73,19.73,800,19.73
2014-10-31,20.43,21.20,19.50,19.50,500,19.50
2014-10-30,21.36,21.36,21.00,21.07,1100,21.07
2014-10-29,20.99,21.72,20.70,21.33,3000,21.33
2014-10-28,20.76,20.92,20.76,20.92,600,20.92
2014-10-27,21.10,21.10,21.10,21.10,1200,21.10
2014-10-24,20.51,21.81,20.51,21.69,1300,21.69
2014-10-23,21.18,21.18,20.78,21.07,1100,19.95
2014-10-22,20.56,20.90,20.56,20.90,1900,19.79
2014-10-21,20.46,21.75,20.37,20.99,6000,19.87
2014-10-20,20.65,20.65,20.65,20.65,000,19.55
2014-10-17,20.23,21.49,20.23,20.65,5500,19.55
2014-10-16,19.80,19.80,19.80,19.80,000,18.75
2014-10-15,19.00,19.80,17.10,19.80,2300,18.75
2014-10-14,20.17,20.39,20.13,20.18,2800,19.11
2014-10-13,20.50,20.50,19.96,20.02,2300,18.95
2014-10-10,20.69,20.69,20.64,20.64,500,19.54
2014-10-09,20.74,20.74,20.74,20.74,100,19.64
2014-10-08,20.75,20.75,20.75,20.75,000,19.64
2014-10-07,20.75,20.75,20.75,20.75,500,19.64
2014-10-06,20.87,20.90,20.55,20.55,1700,19.46
2014-10-03,20.45,20.50,20.22,20.50,1200,19.41
2014-10-02,20.21,20.21,20.21,20.21,000,19.13
2014-10-01,20.39,20.64,20.21,20.21,1500,19.13
2014-09-30,20.57,20.63,20.19,20.45,1100,19.36
2014-09-29,20.65,20.65,20.20,20.21,2800,19.13
2014-09-26,20.30,20.50,20.30,20.34,3900,19.26
2014-09-25,20.64,20.64,20.64,20.64,000,19.54
2014-09-24,20.54,20.72,20.53,20.64,1700,19.54
2014-09-23,20.45,20.50,20.45,20.50,2700,19.41
2014-09-22,21.02,21.02,21.02,21.02,000,19.90
2014-09-19,20.49,21.02,20.49,21.02,1500,19.90
2014-09-18,20.81,21.09,20.81,20.99,4900,19.87
