Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,15.36,15.64,15.25,15.34,94200,15.34
2014-12-05,15.30,15.69,15.26,15.39,177500,15.39
2014-12-04,15.16,15.47,15.06,15.28,145000,15.28
2014-12-03,15.17,15.36,15.00,15.20,115100,15.20
2014-12-02,14.98,15.28,14.98,15.10,113800,15.10
2014-12-01,15.21,15.21,14.95,14.98,117800,14.98
2014-11-28,15.44,15.45,15.12,15.15,44600,15.15
2014-11-26,15.45,15.46,15.29,15.40,95100,15.40
2014-11-25,15.46,15.59,15.30,15.40,108900,15.40
2014-11-24,15.18,15.45,15.08,15.40,173200,15.40
2014-11-21,15.53,15.63,15.14,15.19,135600,15.19
2014-11-20,15.13,15.39,15.06,15.38,83200,15.38
2014-11-19,15.43,15.43,15.10,15.21,79600,15.21
2014-11-18,15.47,15.59,15.42,15.43,138100,15.43
2014-11-17,15.60,15.66,15.47,15.52,79600,15.52
2014-11-14,15.83,15.83,15.59,15.60,130400,15.60
2014-11-13,15.95,15.95,15.65,15.80,126600,15.80
2014-11-12,15.48,15.91,15.48,15.88,109800,15.88
2014-11-11,15.45,15.59,15.41,15.57,185600,15.57
2014-11-10,15.45,15.51,15.35,15.47,114500,15.47
2014-11-07,15.45,15.52,15.30,15.44,155500,15.44
2014-11-06,15.35,15.60,15.32,15.48,164400,15.48
2014-11-05,15.58,15.60,15.29,15.37,133600,15.37
2014-11-04,15.45,15.60,15.20,15.44,119500,15.44
2014-11-03,15.72,15.79,15.52,15.58,166700,15.44
2014-10-31,15.70,15.85,15.43,15.75,261000,15.61
2014-10-30,15.34,15.55,15.08,15.51,179800,15.37
2014-10-29,15.38,15.50,15.26,15.36,198100,15.22
2014-10-28,15.20,15.37,15.05,15.34,172000,15.20
2014-10-27,15.03,15.25,14.96,15.10,132400,14.96
2014-10-24,14.87,15.50,14.74,15.03,141800,14.89
2014-10-23,14.66,14.86,14.54,14.63,94400,14.50
2014-10-22,14.40,14.78,14.40,14.50,77000,14.37
2014-10-21,14.61,14.97,14.59,14.63,60900,14.50
2014-10-20,14.30,14.51,14.25,14.51,117500,14.38
2014-10-17,14.80,14.81,14.30,14.31,90300,14.18
2014-10-16,14.35,14.71,14.23,14.61,99000,14.48
2014-10-15,14.59,14.60,14.06,14.44,183200,14.31
2014-10-14,14.71,14.94,14.62,14.70,110100,14.57
2014-10-13,14.27,14.75,14.21,14.57,98100,14.44
2014-10-10,14.09,14.50,14.09,14.25,91400,14.12
2014-10-09,14.45,14.53,14.10,14.17,165500,14.04
2014-10-08,14.05,14.48,14.02,14.46,154200,14.33
2014-10-07,14.20,14.20,14.03,14.05,89500,13.92
2014-10-06,14.36,14.40,14.21,14.22,68200,14.09
2014-10-03,14.52,14.56,14.36,14.37,68000,14.24
2014-10-02,14.30,14.45,14.30,14.39,85100,14.26
2014-10-01,14.37,14.50,14.25,14.25,111700,14.12
2014-09-30,14.40,14.60,14.30,14.40,227800,14.27
2014-09-29,14.30,14.51,14.29,14.34,100100,14.21
2014-09-26,14.54,14.66,14.23,14.43,82300,14.30
2014-09-25,14.55,14.68,14.47,14.53,213600,14.40
2014-09-24,14.66,14.66,14.41,14.60,229700,14.47
2014-09-23,14.81,14.83,14.56,14.59,93400,14.46
2014-09-22,14.87,14.88,14.77,14.81,93700,14.68
2014-09-19,15.05,15.19,14.86,14.93,256700,14.80
2014-09-18,15.11,15.18,15.03,15.04,172300,14.90
2014-09-17,15.10,15.21,15.04,15.09,126800,14.95
2014-09-16,15.24,15.33,15.09,15.10,74000,14.96
2014-09-15,15.40,15.40,15.19,15.23,64900,15.09
2014-09-12,15.50,15.54,15.19,15.34,77900,15.20
2014-09-11,15.19,15.46,15.19,15.45,70800,15.31
2014-09-10,15.13,15.32,15.01,15.30,63600,15.16
2014-09-09,15.33,15.38,15.09,15.15,92800,15.01
2014-09-08,15.37,15.42,15.23,15.40,36400,15.26
2014-09-05,15.24,15.37,15.20,15.35,52000,15.21
2014-09-04,15.51,15.58,15.30,15.32,36300,15.18
2014-09-03,15.71,15.71,15.37,15.43,70900,15.29
2014-09-02,15.52,15.67,15.29,15.61,67300,15.47
2014-08-29,15.38,15.54,15.29,15.44,57400,15.30
2014-08-28,15.42,15.46,15.30,15.36,65700,15.22
2014-08-27,15.57,15.57,15.43,15.47,59700,15.33
2014-08-26,15.44,15.61,15.39,15.54,131400,15.40
2014-08-25,15.41,15.42,15.19,15.37,119400,15.23
2014-08-22,15.40,15.45,15.29,15.34,74000,15.20
2014-08-21,15.23,15.45,15.12,15.38,155100,15.24
2014-08-20,15.26,15.35,15.18,15.25,110300,15.11
2014-08-19,15.15,15.29,15.15,15.28,137400,15.14
2014-08-18,15.08,15.19,15.03,15.12,96300,14.98
2014-08-15,15.21,15.23,14.81,14.98,145300,14.85
2014-08-14,15.15,15.15,15.03,15.06,54600,14.92
2014-08-13,15.14,15.21,15.02,15.13,58000,14.99
2014-08-12,15.02,15.25,14.95,15.05,64800,14.91
2014-08-11,15.10,15.20,15.05,15.11,73100,14.97
2014-08-08,14.96,15.16,14.93,15.03,171300,14.89
2014-08-07,15.14,15.20,14.93,14.97,71300,14.84
2014-08-06,14.92,15.20,14.92,15.09,83900,14.95
2014-08-05,14.92,15.07,14.88,14.99,78700,14.86
2014-08-04,14.94,15.05,14.81,14.97,176700,14.84
2014-08-01,15.18,15.25,14.95,15.01,123200,14.74
2014-07-31,15.35,15.52,15.12,15.12,118900,14.84
2014-07-30,15.47,15.67,15.37,15.45,96700,15.17
2014-07-29,15.41,15.52,15.33,15.37,60800,15.09
2014-07-28,15.45,15.55,15.33,15.36,154500,15.08
2014-07-25,15.31,15.78,15.31,15.42,134900,15.14
2014-07-24,15.45,15.58,15.20,15.49,142800,15.21
2014-07-23,15.25,15.41,15.25,15.36,80100,15.08
2014-07-22,15.40,15.41,15.18,15.25,72900,14.97
2014-07-21,15.23,15.40,15.15,15.25,56800,14.97
2014-07-18,15.17,15.41,15.16,15.36,113100,15.08
2014-07-17,15.50,15.52,15.19,15.21,109900,14.93
2014-07-16,15.75,15.75,15.41,15.60,152900,15.32
2014-07-15,15.58,15.79,15.57,15.64,173500,15.35
2014-07-14,15.63,15.80,15.58,15.66,130900,15.37
2014-07-11,15.49,15.60,15.46,15.56,149100,15.28
2014-07-10,15.36,15.70,15.30,15.55,243400,15.27
2014-07-09,15.75,15.79,15.51,15.54,77100,15.26
2014-07-08,15.80,15.80,15.61,15.68,112100,15.39
2014-07-07,15.87,15.87,15.72,15.81,86900,15.52
2014-07-03,15.73,15.96,15.73,15.89,42300,15.60
2014-07-02,15.84,15.90,15.65,15.70,119200,15.41
2014-07-01,15.80,16.22,15.80,15.88,235100,15.59
2014-06-30,15.99,15.99,15.73,15.79,120800,15.50
2014-06-27,15.65,16.05,15.65,15.98,298900,15.69
2014-06-26,15.74,15.87,15.61,15.75,58700,15.46
2014-06-25,15.66,15.77,15.60,15.75,71000,15.46
2014-06-24,15.70,16.01,15.69,15.69,207300,15.40
2014-06-23,15.65,15.76,15.57,15.71,154200,15.42
2014-06-20,15.41,15.66,15.31,15.63,365100,15.35
2014-06-19,15.50,15.50,15.29,15.32,42000,15.04
2014-06-18,15.55,15.55,15.30,15.48,73400,15.20
2014-06-17,15.30,15.66,15.30,15.51,100000,15.23
2014-06-16,15.37,15.43,15.25,15.35,72800,15.07
2014-06-13,15.39,15.49,15.29,15.40,102200,15.12
2014-06-12,15.42,15.50,15.26,15.30,71300,15.02
2014-06-11,15.44,15.48,15.23,15.42,116800,15.14
2014-06-10,15.59,15.70,15.51,15.54,45300,15.26
2014-06-09,15.64,15.76,15.38,15.72,113500,15.43
2014-06-06,15.51,15.71,15.49,15.66,131600,15.37
2014-06-05,15.06,15.51,14.99,15.46,92600,15.18
2014-06-04,14.93,15.09,14.91,15.06,79400,14.79
2014-06-03,15.03,15.15,14.85,14.96,133000,14.69
2014-06-02,15.15,15.30,14.89,15.07,93400,14.80
2014-05-30,15.33,15.42,15.10,15.12,135400,14.84
2014-05-29,15.30,15.32,15.16,15.28,66400,15.00
2014-05-28,15.11,15.25,15.00,15.19,112600,14.91
2014-05-27,15.13,15.25,14.95,15.09,289100,14.81
2014-05-23,15.00,15.08,14.98,15.05,189900,14.78
2014-05-22,15.15,15.15,15.01,15.03,206400,14.76
2014-05-21,15.05,15.20,14.92,15.05,338400,14.78
2014-05-20,15.21,15.21,14.99,15.05,214700,14.78
2014-05-19,15.05,15.31,15.03,15.18,220400,14.90
2014-05-16,14.96,15.07,14.90,15.03,191300,14.76
2014-05-15,15.14,15.17,14.77,15.00,215200,14.73
2014-05-14,15.71,15.71,15.24,15.27,355500,14.99
2014-05-13,16.05,16.05,15.70,15.74,124300,15.45
2014-05-12,15.85,16.08,15.74,16.04,164200,15.75
2014-05-09,15.39,15.82,15.35,15.80,97600,15.51
2014-05-08,15.56,15.81,15.45,15.50,90600,15.22
2014-05-07,15.67,15.71,15.53,15.62,131100,15.34
2014-05-06,15.67,15.92,15.57,15.63,213200,15.35
2014-05-05,15.73,15.85,15.57,15.77,137500,15.48
2014-05-02,15.87,16.15,15.78,15.91,129000,15.62
2014-05-01,16.30,16.30,15.90,16.03,346900,15.60
2014-04-30,16.11,16.50,15.99,16.30,172300,15.86
2014-04-29,16.23,16.44,16.13,16.21,213600,15.78
2014-04-28,16.29,16.44,16.04,16.18,186800,15.75
2014-04-25,16.38,16.50,16.15,16.28,210100,15.84
2014-04-24,16.79,16.82,16.41,16.48,88500,16.04
2014-04-23,16.72,16.81,16.63,16.71,104700,16.26
2014-04-22,16.55,16.78,16.50,16.72,61800,16.27
2014-04-21,16.64,16.68,16.47,16.53,45700,16.09
2014-04-17,16.51,16.71,16.50,16.68,65900,16.23
2014-04-16,16.69,16.69,16.46,16.59,57900,16.15
2014-04-15,16.62,16.65,16.33,16.53,101800,16.09
2014-04-14,16.68,16.82,16.44,16.59,91800,16.15
2014-04-11,16.49,16.62,16.34,16.51,145700,16.07
2014-04-10,16.88,16.88,16.52,16.52,92400,16.08
2014-04-09,17.02,17.02,16.84,16.95,74900,16.50
2014-04-08,16.81,17.13,16.81,16.95,94400,16.50
