Date,Open,High,Low,Close,Volume,Adj Close
2014-12-05,0.62,0.62,0.62,0.62,000,0.62
2014-12-04,0.62,0.62,0.62,0.62,000,0.62
2014-12-03,0.62,0.62,0.62,0.62,000,0.62
2014-12-02,0.62,0.62,0.62,0.62,000,0.62
2014-12-01,0.62,0.62,0.62,0.62,000,0.62
2014-11-28,0.62,0.62,0.62,0.62,000,0.62
2014-11-26,0.62,0.62,0.62,0.62,200,0.62
2014-11-25,0.63,0.63,0.63,0.63,000,0.63
2014-11-24,0.63,0.63,0.63,0.63,000,0.63
2014-11-21,0.69,0.69,0.63,0.63,1400,0.63
2014-11-20,0.70,0.70,0.57,0.57,4200,0.57
2014-11-19,0.70,0.70,0.70,0.70,000,0.70
2014-11-18,0.70,0.70,0.70,0.70,000,0.70
2014-11-17,0.70,0.70,0.70,0.70,000,0.70
2014-11-14,0.70,0.70,0.70,0.70,000,0.70
2014-11-13,0.70,0.70,0.70,0.70,000,0.70
