Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,1.61,1.65,1.57,1.62,10400,1.62
2014-12-05,1.76,1.78,1.75,1.75,1700,1.75
2014-12-04,1.80,1.80,1.74,1.77,8600,1.77
2014-12-03,1.83,1.88,1.79,1.84,11100,1.84
2014-12-02,1.86,1.98,1.82,1.85,5900,1.85
2014-12-01,1.94,2.00,1.90,1.91,11900,1.91
2014-11-28,1.99,2.02,1.84,2.02,27300,2.02
2014-11-26,2.06,2.07,2.00,2.00,45300,2.00
2014-11-25,1.96,2.27,1.96,2.09,61300,2.09
2014-11-24,1.99,2.04,1.74,1.95,51600,1.95
2014-11-21,2.01,2.07,2.01,2.02,21500,2.02
2014-11-20,2.01,2.07,2.00,2.00,27200,2.00
2014-11-19,2.10,2.13,2.00,2.09,32100,2.09
2014-11-18,2.14,2.15,1.97,2.14,74500,2.14
2014-11-17,2.24,2.27,2.11,2.22,61900,2.22
2014-11-14,2.29,2.40,2.27,2.31,7400,2.31
2014-11-13,2.45,2.45,2.30,2.32,8000,2.32
2014-11-12,2.42,2.48,2.40,2.46,12400,2.46
2014-11-11,2.40,2.50,2.40,2.48,12500,2.48
2014-11-10,2.50,2.53,2.40,2.40,16900,2.40
2014-11-07,2.59,2.61,2.52,2.57,2700,2.57
2014-11-06,2.53,2.63,2.51,2.60,15400,2.60
2014-11-05,2.47,2.55,2.29,2.53,88000,2.53
2014-11-04,2.48,2.51,2.48,2.50,2400,2.50
2014-11-03,2.53,2.55,2.49,2.50,18000,2.50
2014-10-31,2.51,2.65,2.50,2.56,27600,2.56
2014-10-30,2.58,2.66,2.58,2.63,9500,2.63
2014-10-29,2.63,2.68,2.52,2.65,51200,2.65
2014-10-28,2.53,2.70,2.53,2.64,59200,2.64
2014-10-27,2.61,2.61,2.48,2.60,15700,2.60
2014-10-24,2.70,2.70,2.58,2.60,6200,2.60
2014-10-23,2.59,2.71,2.54,2.67,12600,2.67
2014-10-22,2.56,2.74,2.50,2.54,25100,2.54
2014-10-21,2.53,2.59,2.47,2.58,59800,2.58
2014-10-20,2.64,2.68,2.62,2.64,13900,2.64
2014-10-17,2.73,2.76,2.70,2.76,53500,2.76
2014-10-16,2.64,2.76,2.59,2.75,11200,2.75
2014-10-15,2.65,2.76,2.60,2.69,8000,2.69
2014-10-14,2.72,2.76,2.61,2.76,9600,2.76
2014-10-13,2.82,2.88,2.58,2.76,40500,2.76
2014-10-10,2.90,2.90,2.73,2.89,7400,2.89
2014-10-09,2.84,2.94,2.84,2.90,3300,2.90
2014-10-08,2.91,2.98,2.84,2.98,22500,2.98
2014-10-07,2.76,3.02,2.75,2.94,25000,2.94
2014-10-06,2.86,2.86,2.75,2.75,51900,2.75
2014-10-03,2.87,3.13,2.87,3.00,14300,3.00
2014-10-02,2.89,2.92,2.75,2.91,13100,2.91
2014-10-01,2.96,2.97,2.86,2.93,6700,2.93
2014-09-30,2.91,2.98,2.91,2.97,4500,2.97
2014-09-29,3.04,3.04,2.91,3.00,33800,3.00
2014-09-26,3.08,3.20,3.03,3.16,12200,3.16
2014-09-25,3.08,3.13,3.03,3.10,14100,3.10
2014-09-24,3.06,3.19,3.06,3.17,3700,3.17
2014-09-23,3.08,3.17,3.05,3.17,15700,3.17
2014-09-22,3.25,3.25,3.10,3.12,13000,3.12
2014-09-19,3.16,3.43,3.06,3.35,10000,3.35
2014-09-18,3.18,3.22,3.13,3.22,22400,3.22
2014-09-17,3.13,3.36,3.04,3.25,68900,3.25
2014-09-16,3.20,3.24,3.02,3.14,91500,3.14
2014-09-15,3.40,3.40,3.19,3.25,47900,3.25
2014-09-12,3.39,3.48,3.35,3.37,17300,3.37
2014-09-11,3.45,3.50,3.45,3.49,11900,3.49
2014-09-10,3.53,3.53,3.41,3.45,17100,3.45
2014-09-09,3.61,3.64,3.51,3.56,25800,3.56
2014-09-08,3.65,3.68,3.52,3.64,22700,3.64
2014-09-05,3.53,3.73,3.53,3.69,28200,3.69
2014-09-04,3.72,3.79,3.58,3.60,29800,3.60
2014-09-03,3.83,3.83,3.71,3.74,5500,3.74
2014-09-02,3.89,3.96,3.70,3.82,129800,3.82
2014-08-29,3.68,4.03,3.55,3.96,69200,3.96
2014-08-28,3.70,3.89,3.69,3.84,23900,3.84
2014-08-27,3.73,3.92,3.68,3.77,85000,3.77
2014-08-26,3.78,3.80,3.61,3.70,73200,3.70
2014-08-25,3.84,3.84,3.63,3.63,71000,3.63
2014-08-22,3.32,3.90,3.28,3.77,47300,3.77
2014-08-21,0.20,0.20,0.18,0.18,29200,3.60
2014-08-20,0.20,0.20,0.18,0.18,27700,3.60
2014-08-19,0.20,0.21,0.18,0.19,312600,3.80
2014-08-18,0.18,0.20,0.18,0.19,32800,3.80
2014-08-15,0.20,0.20,0.19,0.19,23500,3.80
2014-08-14,0.20,0.20,0.19,0.20,19800,4.00
2014-08-13,0.19,0.20,0.19,0.20,18000,4.00
2014-08-12,0.19,0.20,0.18,0.20,11100,4.00
2014-08-11,0.20,0.20,0.19,0.20,10300,4.00
2014-08-08,0.19,0.20,0.19,0.20,10300,4.00
2014-08-07,0.19,0.20,0.19,0.20,5200,4.00
2014-08-06,0.19,0.20,0.19,0.20,11000,4.00
2014-08-05,0.19,0.20,0.19,0.20,18700,4.00
2014-08-04,0.19,0.20,0.19,0.20,3500,4.00
2014-08-01,0.20,0.20,0.18,0.19,54200,3.80
2014-07-31,0.19,0.20,0.19,0.20,5600,4.00
2014-07-30,0.19,0.20,0.19,0.20,9800,4.00
2014-07-29,0.19,0.20,0.19,0.20,6000,4.00
2014-07-28,0.20,0.20,0.19,0.20,11700,4.00
2014-07-25,0.20,0.20,0.19,0.20,11100,4.00
2014-07-24,0.20,0.21,0.19,0.20,69000,4.00
2014-07-23,0.21,0.21,0.21,0.21,13100,4.20
2014-07-22,0.22,0.22,0.21,0.21,44600,4.20
2014-07-21,0.22,0.23,0.21,0.22,135200,4.40
2014-07-18,0.22,0.22,0.20,0.21,43800,4.20
2014-07-17,0.22,0.22,0.20,0.21,78500,4.20
2014-07-16,0.20,0.22,0.20,0.22,260200,4.40
2014-07-15,0.20,0.21,0.20,0.21,142800,4.20
2014-07-14,0.19,0.20,0.19,0.19,66800,3.80
2014-07-11,0.20,0.20,0.19,0.20,46400,4.00
2014-07-10,0.19,0.22,0.18,0.20,56300,4.00
2014-07-09,0.18,0.19,0.18,0.19,38700,3.80
2014-07-08,0.18,0.19,0.18,0.18,62900,3.60
2014-07-07,0.18,0.20,0.18,0.19,54400,3.80
2014-07-03,0.19,0.19,0.18,0.19,7500,3.80
2014-07-02,0.18,0.19,0.18,0.19,22600,3.80
2014-07-01,0.18,0.19,0.18,0.18,21900,3.60
2014-06-30,0.18,0.19,0.18,0.18,51400,3.60
2014-06-27,0.19,0.20,0.18,0.18,55900,3.60
2014-06-26,0.18,0.19,0.18,0.19,32500,3.80
2014-06-25,0.17,0.18,0.17,0.18,41600,3.60
2014-06-24,0.16,0.18,0.16,0.17,36400,3.40
2014-06-23,0.17,0.17,0.17,0.17,35400,3.40
