Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,89.59,94.00,89.59,93.35,76600,93.35
2014-12-05,90.34,90.35,89.01,89.59,17400,89.59
2014-12-04,88.52,89.91,88.00,89.73,24000,89.73
2014-12-03,88.69,88.69,87.85,88.34,20900,88.34
2014-12-02,87.36,88.75,87.36,88.20,13200,88.20
2014-12-01,87.11,87.50,86.70,86.77,21300,86.77
2014-11-28,87.79,88.32,87.10,87.23,12700,87.23
2014-11-26,87.69,88.10,87.03,87.54,22800,87.54
2014-11-25,86.77,87.46,86.38,87.29,37000,87.29
2014-11-24,85.38,87.20,85.38,86.92,47300,86.92
2014-11-21,85.80,85.99,85.18,85.41,23400,85.41
2014-11-20,84.14,85.16,84.14,85.16,44900,85.16
2014-11-19,84.90,84.90,84.15,84.66,9000,84.66
2014-11-18,85.34,85.80,84.65,84.78,27200,84.78
2014-11-17,84.70,85.34,84.16,85.09,23500,85.09
2014-11-14,86.00,86.00,84.47,84.71,18500,84.71
2014-11-13,85.23,86.00,85.23,85.85,17700,85.85
2014-11-12,85.69,85.86,85.15,85.48,22700,85.48
2014-11-11,86.00,86.00,85.12,85.64,21800,85.64
2014-11-10,85.41,86.00,85.24,85.81,38200,85.81
2014-11-07,84.98,85.72,84.53,85.50,25200,85.50
2014-11-06,85.79,86.00,84.24,85.00,34500,85.00
2014-11-05,86.00,86.00,85.23,85.49,42900,85.49
2014-11-04,85.15,85.87,84.43,85.87,35900,85.87
2014-11-03,85.12,85.35,83.10,85.00,39100,85.00
2014-10-31,83.10,85.30,83.10,84.87,55500,84.87
2014-10-30,84.08,84.67,83.28,84.53,26700,84.53
2014-10-29,84.00,84.94,83.48,83.80,40600,83.80
2014-10-28,83.52,84.00,82.31,83.99,38500,83.99
2014-10-27,82.25,83.09,81.58,82.84,28600,82.84
2014-10-24,82.33,82.38,81.51,82.25,35400,82.25
2014-10-23,82.02,82.40,81.59,81.97,45900,81.97
2014-10-22,80.59,81.98,80.55,81.31,57400,81.31
2014-10-21,79.81,80.50,79.27,80.29,74500,80.29
2014-10-20,81.84,84.38,78.22,79.03,74700,79.03
2014-10-17,79.40,80.74,78.49,80.21,36600,80.21
2014-10-16,76.88,79.48,76.31,78.50,42600,78.50
2014-10-15,78.23,78.44,76.36,78.15,34300,78.15
2014-10-14,78.85,79.61,78.57,78.84,38000,78.84
2014-10-13,78.53,79.00,78.27,78.84,31400,78.84
2014-10-10,77.96,79.07,77.77,78.33,33500,78.33
2014-10-09,78.77,78.77,77.31,77.71,22700,77.71
2014-10-08,77.59,78.99,77.48,78.62,22400,78.62
2014-10-07,78.22,78.80,77.47,77.80,27300,77.80
2014-10-06,79.65,79.65,78.20,78.42,44500,78.42
2014-10-03,78.13,80.00,78.13,78.98,101200,78.98
2014-10-02,75.92,78.01,75.92,77.78,50400,77.78
2014-10-01,75.96,76.20,74.99,75.72,35200,75.72
2014-09-30,76.45,76.89,75.81,75.81,32700,75.81
2014-09-29,76.53,76.91,76.17,76.87,23000,76.24
2014-09-26,75.93,76.84,75.23,76.68,24400,76.05
2014-09-25,76.77,77.00,75.45,75.65,25600,75.03
2014-09-24,76.83,76.97,76.41,76.71,24400,76.08
2014-09-23,77.73,78.03,76.52,76.58,26400,75.95
2014-09-22,78.45,78.92,77.61,77.62,16600,76.98
2014-09-19,78.37,78.98,77.61,78.38,59900,77.73
2014-09-18,77.78,78.91,77.46,78.48,18600,77.83
2014-09-17,77.50,77.94,77.32,77.46,21500,76.82
2014-09-16,77.15,77.50,76.96,77.39,13700,76.75
2014-09-15,76.98,77.42,76.76,77.21,17600,76.57
2014-09-12,77.38,77.49,76.78,76.78,26000,76.15
2014-09-11,76.99,77.49,76.93,77.17,18400,76.53
2014-09-10,76.96,77.50,76.75,76.90,16600,76.26
2014-09-09,77.51,77.58,76.95,76.95,21100,76.31
2014-09-08,77.53,77.69,77.15,77.31,14800,76.67
2014-09-05,77.32,77.44,76.60,77.06,13400,76.42
2014-09-04,77.49,77.71,76.93,77.17,18100,76.53
2014-09-03,77.60,77.71,76.99,77.16,17400,76.52
2014-09-02,76.83,77.78,76.80,77.56,23400,76.92
2014-08-29,77.01,77.01,76.50,76.51,24900,75.88
2014-08-28,76.89,77.02,76.53,76.80,23200,76.17
2014-08-27,77.04,77.04,76.79,76.80,22600,76.17
2014-08-26,76.17,77.04,75.96,76.79,34100,76.16
2014-08-25,76.30,76.86,75.87,75.89,24400,75.26
2014-08-22,76.76,76.88,75.71,76.16,28900,75.53
2014-08-21,76.41,76.88,76.10,76.84,18100,76.21
2014-08-20,76.52,76.78,76.30,76.39,22500,75.76
2014-08-19,76.58,76.82,76.25,76.82,22300,76.19
2014-08-18,76.03,76.68,75.64,76.51,25300,75.88
2014-08-15,75.96,76.36,75.02,75.66,14800,75.03
2014-08-14,75.39,75.86,74.91,75.60,16800,74.98
2014-08-13,74.98,75.63,74.85,75.22,16800,74.60
2014-08-12,74.63,74.96,74.57,74.78,13600,74.16
2014-08-11,74.72,74.95,74.50,74.65,15500,74.03
