Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.16,25.17,22.44,22.77,577200,22.77
2014-12-05,25.74,26.31,25.14,25.51,388800,25.51
2014-12-04,26.99,27.07,25.69,25.74,354400,25.74
2014-12-03,27.41,27.96,27.00,27.19,485600,27.19
2014-12-02,25.08,28.08,24.78,27.31,620500,27.31
2014-12-01,28.22,28.33,24.21,24.75,994400,24.75
2014-11-28,30.02,30.35,27.72,28.33,451900,28.33
2014-11-26,31.51,31.51,30.63,31.45,412700,31.45
2014-11-25,31.01,31.90,30.36,31.42,208800,31.42
2014-11-24,32.38,32.47,30.65,30.92,208900,30.92
2014-11-21,32.50,32.98,31.69,32.25,583000,32.25
2014-11-20,30.90,32.36,30.68,31.93,458500,31.93
2014-11-19,29.17,31.00,29.02,30.94,406400,30.94
2014-11-18,29.56,29.89,29.04,29.27,276700,29.27
2014-11-17,30.14,30.14,29.23,29.57,247500,29.57
2014-11-14,30.16,30.28,29.10,30.12,217200,30.12
2014-11-13,31.00,31.00,29.04,29.47,423800,29.47
2014-11-12,29.90,30.47,29.56,30.15,209900,30.15
2014-11-11,30.30,30.48,28.91,29.90,320600,29.90
2014-11-10,30.78,30.89,29.38,30.19,335800,30.19
2014-11-07,28.98,29.90,28.68,29.83,337700,29.83
2014-11-06,29.40,29.43,28.50,29.03,289000,29.03
2014-11-05,30.23,30.26,29.10,29.60,557300,29.60
2014-11-04,31.78,32.05,30.25,31.11,337700,30.34
2014-11-03,32.63,33.64,32.01,32.23,341900,31.43
2014-10-31,32.94,33.57,32.34,32.45,247900,31.64
2014-10-30,32.23,32.81,31.56,32.80,269400,31.98
2014-10-29,31.61,32.62,31.45,32.20,233100,31.40
2014-10-28,30.60,31.37,30.08,31.31,201100,30.53
2014-10-27,31.47,32.28,29.90,30.46,342700,29.70
2014-10-24,33.16,33.16,31.50,31.79,209800,31.00
2014-10-23,32.96,33.38,32.45,33.14,292000,32.32
2014-10-22,32.87,33.68,32.10,32.54,262200,31.73
2014-10-21,32.87,33.73,32.16,32.99,408400,32.17
2014-10-20,33.00,33.71,31.03,32.38,355500,31.57
2014-10-17,34.11,35.20,32.37,33.03,498100,32.21
2014-10-16,28.51,33.25,28.51,33.12,766100,32.30
2014-10-15,28.69,29.66,27.10,29.48,704600,28.75
2014-10-14,31.43,32.07,29.19,29.60,669300,28.86
2014-10-13,32.34,32.99,30.98,31.43,267600,30.65
2014-10-10,32.96,34.02,30.01,32.24,497800,31.44
2014-10-09,33.00,33.87,31.96,32.96,253200,32.14
2014-10-08,33.18,33.37,31.51,33.24,389600,32.41
2014-10-07,33.71,34.48,33.08,33.30,232500,32.47
2014-10-06,34.00,34.23,33.00,33.63,181800,32.79
2014-10-03,34.44,35.71,33.50,34.16,245100,33.31
2014-10-02,34.00,34.56,32.95,34.21,326200,33.36
2014-10-01,35.44,35.91,33.27,34.19,433900,33.34
2014-09-30,36.64,36.68,35.30,35.47,251500,34.59
2014-09-29,36.75,37.14,36.40,36.70,285500,35.79
2014-09-26,37.06,37.86,36.75,37.55,178100,36.62
2014-09-25,37.69,37.69,37.00,37.10,147400,36.18
2014-09-24,37.20,37.92,36.72,37.83,187200,36.89
2014-09-23,37.72,37.90,36.85,36.96,168700,36.04
2014-09-22,38.89,38.89,37.62,37.72,135800,36.78
2014-09-19,38.99,38.99,38.46,38.95,362400,37.98
2014-09-18,38.35,38.86,37.86,38.80,242600,37.83
2014-09-17,38.15,38.39,37.93,38.22,194800,37.27
2014-09-16,37.41,38.35,37.36,38.25,173500,37.30
2014-09-15,37.45,37.45,37.01,37.40,153000,36.47
2014-09-12,38.59,38.64,37.20,37.68,218600,36.74
2014-09-11,39.04,39.33,38.02,38.68,187400,37.72
2014-09-10,39.84,39.84,39.09,39.30,231700,38.32
2014-09-09,39.70,40.31,39.27,39.82,117700,38.83
2014-09-08,39.89,40.13,39.38,39.72,129600,38.73
2014-09-05,39.33,39.99,39.29,39.90,122300,38.91
2014-09-04,40.82,41.00,39.25,39.45,259700,38.47
2014-09-03,41.50,41.74,40.77,40.84,160800,39.82
2014-09-02,41.69,41.97,41.27,41.42,198500,40.39
2014-08-29,41.47,41.86,41.27,41.80,106000,40.76
2014-08-28,40.81,41.71,40.46,41.64,300100,40.60
2014-08-27,40.64,41.34,40.34,41.32,244000,40.29
2014-08-26,40.80,41.23,40.21,40.49,252300,39.48
2014-08-25,40.59,40.77,40.07,40.67,171400,39.66
2014-08-22,40.00,40.49,39.85,40.44,183300,39.43
2014-08-21,39.54,40.15,39.21,40.03,237100,39.03
2014-08-20,39.32,40.25,39.10,39.40,436300,38.42
2014-08-19,39.27,39.68,38.75,39.06,748700,38.09
2014-08-18,37.08,37.65,36.81,37.63,130500,36.69
2014-08-15,37.04,37.35,36.19,36.75,97000,35.84
2014-08-14,37.58,37.78,36.70,36.85,150500,35.93
2014-08-13,37.78,38.07,37.34,37.38,185200,36.45
2014-08-12,37.75,38.13,37.62,37.82,187700,36.88
2014-08-11,37.99,38.25,36.44,37.67,228100,36.73
2014-08-08,36.07,37.28,35.56,36.86,144000,35.94
2014-08-07,35.89,35.93,35.40,35.76,130600,34.87
2014-08-06,36.21,36.25,35.60,35.71,246400,34.82
2014-08-05,37.50,37.78,36.80,36.99,222100,35.32
2014-08-04,36.50,37.60,36.41,37.55,159300,35.85
2014-08-01,36.66,36.86,36.25,36.53,151600,34.88
2014-07-31,36.37,36.91,36.10,36.66,218400,35.00
2014-07-30,37.38,37.48,36.52,36.71,189700,35.05
2014-07-29,37.74,37.99,37.05,37.15,223000,35.47
2014-07-28,38.02,38.22,37.78,37.93,112900,36.21
2014-07-25,38.04,38.13,37.81,38.03,139400,36.31
2014-07-24,38.46,38.50,37.69,37.90,395500,36.18
2014-07-23,38.05,38.42,37.89,38.25,206700,36.52
2014-07-22,38.33,38.47,37.93,38.19,200300,36.46
2014-07-21,38.10,38.48,37.90,38.00,168800,36.28
2014-07-18,38.00,38.09,37.90,37.99,91900,36.27
2014-07-17,38.23,38.48,37.80,37.95,132900,36.23
2014-07-16,38.66,38.82,38.12,38.20,237500,36.47
2014-07-15,38.60,38.82,38.18,38.42,118300,36.68
2014-07-14,38.49,39.08,38.30,38.47,135800,36.73
2014-07-11,38.89,39.04,38.27,38.30,178100,36.57
2014-07-10,38.86,39.31,38.35,38.98,138400,37.22
2014-07-09,39.57,39.75,38.82,39.25,225800,37.47
2014-07-08,40.08,40.24,39.20,39.65,216600,37.86
2014-07-07,39.00,40.22,38.73,39.91,283400,38.10
2014-07-03,39.00,39.41,38.63,39.01,71200,37.24
2014-07-02,39.31,39.35,38.65,39.03,179400,37.26
2014-07-01,39.61,39.61,38.75,39.38,174700,37.60
2014-06-30,39.61,39.99,39.42,39.62,132600,37.83
2014-06-27,38.65,39.71,38.29,39.40,119700,37.62
2014-06-26,38.81,38.90,38.29,38.76,153800,37.01
2014-06-25,38.61,39.31,38.48,38.88,245600,37.12
2014-06-24,39.48,39.93,38.46,39.40,453800,37.62
2014-06-23,38.29,39.94,37.87,39.70,540400,37.90
2014-06-20,38.59,38.71,38.03,38.05,140900,36.33
2014-06-19,38.42,38.76,37.76,38.40,261400,36.66
2014-06-18,38.65,38.77,37.74,38.47,131200,36.73
2014-06-17,38.45,38.89,38.01,38.60,162800,36.85
2014-06-16,38.49,38.52,38.01,38.27,84300,36.54
2014-06-13,38.14,38.70,37.87,38.45,189900,36.71
2014-06-12,37.36,38.11,37.27,38.01,154900,36.29
2014-06-11,37.25,37.45,36.86,37.33,114400,35.64
2014-06-10,37.76,37.76,37.02,37.34,112900,35.65
2014-06-09,37.94,38.19,37.64,37.86,155000,36.15
2014-06-06,37.01,38.00,36.71,37.94,295500,36.22
2014-06-05,37.08,37.10,36.66,37.01,111800,35.34
2014-06-04,36.60,37.10,36.25,36.88,113700,35.21
2014-06-03,37.00,37.00,35.87,36.60,228200,34.94
2014-06-02,37.12,37.48,36.65,37.28,261500,35.59
2014-05-30,36.54,37.05,36.26,36.93,291800,35.26
2014-05-29,36.25,36.76,36.08,36.40,187600,34.75
2014-05-28,35.99,36.13,35.61,36.06,159800,34.43
2014-05-27,35.90,36.30,35.43,35.93,138900,34.30
2014-05-23,36.16,36.30,35.31,35.46,137400,33.86
2014-05-22,36.12,36.26,35.61,35.98,153200,34.35
2014-05-21,35.83,36.33,35.47,35.92,185500,34.29
2014-05-20,35.22,35.86,35.20,35.54,136400,33.93
2014-05-19,35.48,35.61,35.10,35.33,180500,33.73
2014-05-16,35.11,35.73,34.89,35.38,192900,33.78
2014-05-15,35.38,35.39,34.50,34.92,148700,33.34
2014-05-14,34.44,35.41,34.24,35.11,236300,33.52
2014-05-13,33.74,34.69,33.74,34.25,276400,32.70
2014-05-12,33.95,34.75,32.76,33.69,396700,32.17
2014-05-09,32.25,33.49,31.62,33.26,308800,31.75
2014-05-08,33.47,33.57,32.14,32.25,444000,30.79
2014-05-07,34.06,34.34,33.15,33.25,441600,31.75
2014-05-06,36.23,36.59,34.64,34.80,389700,32.49
2014-05-05,35.51,36.13,35.49,35.72,244500,33.35
2014-05-02,35.56,35.80,35.08,35.39,186300,33.04
2014-05-01,36.12,36.30,34.74,35.44,367800,33.09
2014-04-30,36.95,37.11,35.78,36.07,217600,33.67
2014-04-29,36.73,37.47,36.02,36.85,338800,34.40
2014-04-28,36.59,37.23,36.43,36.62,275800,34.19
2014-04-25,36.53,36.89,36.14,36.52,258300,34.09
2014-04-24,36.82,36.98,36.22,36.68,343000,34.24
2014-04-23,36.56,36.90,36.43,36.77,127200,34.33
