Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,23.78,23.78,21.00,22.07,289100,22.07
2014-12-05,23.07,24.30,22.74,23.82,217200,23.82
2014-12-04,23.69,24.17,22.93,23.21,301100,23.21
2014-12-03,23.43,24.42,22.89,23.89,150400,23.89
2014-12-02,22.88,24.15,22.29,23.50,230300,23.50
2014-12-01,24.41,24.90,21.87,23.28,558300,23.28
2014-11-28,24.78,25.02,24.27,24.72,200800,24.72
2014-11-26,25.68,25.94,24.06,25.86,264000,25.86
2014-11-25,27.20,27.25,25.55,25.68,222600,25.68
2014-11-24,26.97,27.30,26.76,26.93,69400,26.93
2014-11-21,27.93,28.79,26.66,26.79,354000,26.79
2014-11-20,26.88,27.88,26.86,27.72,138800,27.72
2014-11-19,27.48,27.97,26.92,27.08,119500,27.08
2014-11-18,28.60,28.60,27.49,27.57,192700,27.57
2014-11-17,27.59,28.46,27.42,28.10,251300,28.10
2014-11-14,26.79,27.66,26.60,27.28,66200,27.28
2014-11-13,27.25,27.65,26.67,26.88,119200,26.88
2014-11-12,26.87,27.41,26.50,27.18,135400,27.18
2014-11-11,27.50,27.68,26.54,27.00,105600,27.00
2014-11-10,27.66,27.98,27.06,27.29,137200,27.29
2014-11-07,26.91,28.22,26.73,27.43,116100,27.43
2014-11-06,27.35,27.55,26.38,26.87,80900,26.87
2014-11-05,26.12,27.41,25.26,27.29,214100,27.29
2014-11-04,27.16,27.21,25.54,26.52,204000,25.97
2014-11-03,27.96,27.99,27.40,27.45,136400,26.88
2014-10-31,27.89,27.94,27.30,27.79,108200,27.21
2014-10-30,28.19,28.22,27.53,27.72,97300,27.14
2014-10-29,28.18,28.73,28.04,28.19,83800,27.60
2014-10-28,27.80,28.13,27.40,28.01,67000,27.43
2014-10-27,28.03,28.21,27.17,27.58,76300,27.00
2014-10-24,28.31,28.42,27.82,28.22,73200,27.63
2014-10-23,28.57,28.57,27.61,28.21,268400,27.62
2014-10-22,28.25,28.55,27.74,28.26,97400,27.67
2014-10-21,27.78,28.22,27.34,28.14,87900,27.55
2014-10-20,27.13,27.97,27.07,27.45,70700,26.88
2014-10-17,27.57,28.19,26.21,26.98,131100,26.42
2014-10-16,24.68,27.52,24.65,27.17,141400,26.60
2014-10-15,25.03,25.85,24.09,25.59,154700,25.06
2014-10-14,25.85,27.14,23.70,25.47,349700,24.94
2014-10-13,27.12,27.40,25.61,25.82,120700,25.28
2014-10-10,27.70,28.03,26.28,27.25,178500,26.68
2014-10-09,28.40,28.72,27.00,27.75,121200,27.17
2014-10-08,28.82,28.94,27.59,28.20,110100,27.61
2014-10-07,28.84,29.40,28.80,28.96,57200,28.36
2014-10-06,29.22,29.42,28.73,29.04,55800,28.43
2014-10-03,29.48,29.48,28.97,29.12,49900,28.51
2014-10-02,29.70,29.85,28.92,29.40,92000,28.79
2014-10-01,29.33,30.14,29.11,29.49,85900,28.88
2014-09-30,29.02,29.33,28.89,29.33,102000,28.72
2014-09-29,29.12,29.23,28.75,28.96,69300,28.36
2014-09-26,28.89,29.35,28.64,29.24,73700,28.63
2014-09-25,29.02,29.29,28.62,28.70,137300,28.10
2014-09-24,29.50,29.59,28.80,29.01,77100,28.41
2014-09-23,30.12,30.42,29.46,29.52,105700,28.90
2014-09-22,30.54,30.64,29.70,30.12,113100,29.49
2014-09-19,30.22,30.55,29.61,30.45,604700,29.82
2014-09-18,29.88,30.05,29.53,29.99,284400,29.36
2014-09-17,29.84,30.00,29.37,29.60,149900,28.98
2014-09-16,29.39,29.92,29.39,29.70,248800,29.08
2014-09-15,29.72,29.95,29.37,29.66,131100,29.04
2014-09-12,30.15,30.15,29.10,29.63,84000,29.01
2014-09-11,29.81,30.21,29.58,30.05,146700,29.42
2014-09-10,29.28,29.93,29.25,29.92,98200,29.30
2014-09-09,29.44,29.66,29.06,29.51,91800,28.89
2014-09-08,29.28,29.72,28.88,29.32,124400,28.71
2014-09-05,29.00,29.23,28.83,29.10,95900,28.49
2014-09-04,29.29,29.30,28.87,28.92,145600,28.32
2014-09-03,29.07,29.20,28.95,29.08,106100,28.47
2014-09-02,29.10,29.23,28.81,29.06,123700,28.45
2014-08-29,29.07,29.25,28.87,29.00,72000,28.40
2014-08-28,28.88,29.05,28.61,29.02,67800,28.41
2014-08-27,28.98,29.08,28.72,28.79,74900,28.19
2014-08-26,28.90,28.97,28.62,28.76,128300,28.16
2014-08-25,28.81,28.94,28.55,28.77,105100,28.17
2014-08-22,29.16,29.20,28.11,28.50,111300,27.91
2014-08-21,29.00,29.49,28.81,29.10,89600,28.49
2014-08-20,28.87,28.98,28.40,28.71,78800,28.11
2014-08-19,29.06,29.11,28.42,28.72,120800,28.12
