Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,14.12,15.59,13.52,14.74,432400,14.74
2014-12-05,14.45,14.45,13.01,14.10,247100,14.10
2014-12-04,14.45,14.90,13.74,14.06,246300,14.06
2014-12-03,15.77,16.58,14.60,14.71,531900,14.71
2014-12-02,13.75,15.90,13.50,15.70,993300,15.70
2014-12-01,15.20,15.20,13.50,13.70,589800,13.70
2014-11-28,17.30,17.64,15.26,15.32,419200,15.32
2014-11-26,17.98,18.80,16.95,17.30,619500,17.30
2014-11-25,20.20,20.20,17.43,17.91,737700,17.91
2014-11-24,20.42,21.10,19.07,19.55,703200,19.55
2014-11-21,23.75,23.75,19.78,21.14,1349900,21.14
2014-11-20,22.67,24.02,21.25,23.60,2884000,23.60
