Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,50.41,50.41,50.16,50.26,2300,50.26
2014-12-05,50.65,50.69,50.56,50.61,2200,50.61
2014-12-04,50.29,50.69,50.29,50.69,1600,50.69
2014-12-03,50.69,50.69,50.60,50.60,900,50.60
2014-12-02,50.49,50.52,50.25,50.52,1400,50.52
2014-12-01,50.35,50.35,50.29,50.32,1200,50.32
2014-11-28,51.00,51.00,51.00,51.00,000,51.00
2014-11-26,50.92,51.00,50.90,51.00,3600,51.00
2014-11-25,50.84,50.85,50.75,50.76,1200,50.76
2014-11-24,50.84,50.85,50.76,50.82,1400,50.82
2014-11-21,51.12,51.18,51.00,51.08,3300,51.08
2014-11-20,50.90,50.98,50.90,50.93,3300,50.77
2014-11-19,50.94,50.94,50.92,50.92,2100,50.76
2014-11-18,50.84,50.97,50.74,50.92,1700,50.76
2014-11-17,50.63,50.82,50.63,50.82,1800,50.66
2014-11-14,50.65,50.65,50.65,50.65,000,50.49
2014-11-13,50.61,50.65,50.60,50.65,400,50.49
2014-11-12,50.74,50.74,50.74,50.74,000,50.58
2014-11-11,50.74,50.74,50.74,50.74,000,50.58
2014-11-10,50.73,50.74,50.73,50.74,8600,50.58
2014-11-07,50.68,50.69,50.68,50.69,1300,50.53
2014-11-06,50.57,50.63,50.53,50.58,1500,50.42
2014-11-05,50.60,50.60,50.60,50.60,200,50.44
2014-11-04,50.57,50.57,50.57,50.57,300,50.41
2014-11-03,51.01,51.08,50.76,51.08,1700,50.92
2014-10-31,50.73,50.73,50.73,50.73,300,50.57
2014-10-30,50.40,50.40,50.40,50.40,600,50.24
2014-10-29,52.35,52.35,50.33,50.34,2000,50.18
2014-10-28,50.20,50.36,50.18,50.36,500,50.20
2014-10-27,50.05,50.16,50.05,50.16,2100,50.00
2014-10-24,50.04,50.04,50.03,50.03,600,49.87
2014-10-23,50.02,50.02,49.97,50.00,1800,49.84
2014-10-22,50.08,50.08,49.89,49.92,2100,49.76
2014-10-21,49.75,49.90,49.75,49.90,3500,49.74
2014-10-20,49.69,49.69,49.69,49.69,200,49.37
2014-10-17,49.47,49.47,49.47,49.47,200,49.16
2014-10-16,49.24,49.42,49.24,49.42,200,49.11
2014-10-15,48.51,48.79,48.50,48.79,1500,48.48
2014-10-14,48.90,48.94,48.84,48.90,4700,48.59
2014-10-13,49.17,49.17,49.04,49.04,600,48.73
2014-10-10,49.04,49.04,48.92,48.92,700,48.61
2014-10-09,50.03,50.03,49.73,49.73,700,49.41
2014-10-08,49.47,49.75,49.41,49.75,7800,49.43
2014-10-07,49.71,49.76,49.68,49.72,3500,49.40
2014-10-06,49.71,49.89,49.71,49.85,1600,49.53
2014-10-03,49.75,49.77,49.75,49.77,1400,49.45
2014-10-02,49.47,49.58,49.47,49.58,400,49.27
2014-10-01,49.75,49.85,49.75,49.77,1400,49.45
2014-09-30,49.56,49.75,49.56,49.71,4000,49.39
2014-09-29,49.66,49.66,49.66,49.66,300,49.34
2014-09-26,49.50,49.50,49.50,49.50,600,49.19
2014-09-25,49.71,49.71,49.65,49.65,500,49.34
2014-09-24,49.78,49.90,49.75,49.90,4000,49.58
2014-09-23,49.97,50.06,49.97,50.02,3600,49.70
2014-09-22,50.40,50.40,50.27,50.28,1900,49.83
2014-09-19,50.42,50.48,50.42,50.48,1100,50.03
2014-09-18,50.35,50.38,50.35,50.38,1500,49.93
2014-09-17,50.31,50.35,50.10,50.11,6500,49.66
2014-09-16,50.03,50.03,50.03,50.03,300,49.59
2014-09-15,50.15,50.20,50.10,50.19,1800,49.74
2014-09-12,50.50,50.50,50.50,50.50,200,50.05
2014-09-11,50.35,50.69,50.35,50.57,33300,50.12
2014-09-10,50.55,50.55,50.38,50.40,3300,49.95
2014-09-09,50.19,50.61,50.19,50.57,3200,50.12
2014-09-08,50.69,50.75,50.50,50.50,8400,50.05
2014-09-05,50.67,50.75,50.67,50.75,1200,50.30
2014-09-04,50.84,50.84,50.63,50.63,14600,50.18
2014-09-03,50.85,51.04,50.83,50.83,16300,50.37
2014-09-02,50.90,51.01,50.78,50.80,8600,50.34
2014-08-29,50.85,50.90,50.85,50.90,3000,50.44
2014-08-28,50.42,50.81,50.40,50.81,3100,50.36
2014-08-27,50.74,50.76,50.72,50.76,1000,50.31
2014-08-26,50.70,50.70,50.65,50.65,1700,50.20
2014-08-25,50.59,50.61,50.59,50.61,800,50.16
2014-08-22,50.48,50.48,50.47,50.47,800,50.02
2014-08-21,50.45,50.45,50.45,50.45,000,50.00
2014-08-20,50.50,50.50,50.45,50.45,5000,50.00
2014-08-19,50.40,50.48,50.40,50.48,2400,50.03
2014-08-18,50.31,50.36,50.15,50.16,5700,49.71
2014-08-15,50.37,50.37,50.18,50.25,4800,49.80
2014-08-14,50.05,50.15,50.05,50.15,2600,49.70
