Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,49.42,49.42,49.42,49.42,000,49.42
2014-12-05,49.43,49.43,49.42,49.42,300,49.42
2014-12-04,49.94,49.94,49.94,49.94,200,49.94
2014-12-03,50.00,50.00,50.00,50.00,000,50.00
2014-12-02,50.00,50.00,50.00,50.00,200,50.00
2014-12-01,50.65,50.65,50.65,50.65,000,50.65
2014-11-28,50.65,50.65,50.65,50.65,000,50.65
2014-11-26,50.65,50.65,50.65,50.65,000,50.65
2014-11-25,50.65,50.65,50.62,50.65,300,50.65
2014-11-24,50.55,50.55,50.55,50.55,000,50.55
2014-11-21,50.55,50.55,50.55,50.55,700,50.55
2014-11-20,50.23,50.23,50.23,50.23,000,50.14
2014-11-19,50.23,50.23,50.23,50.23,000,50.14
2014-11-18,50.23,50.23,50.23,50.23,100,50.14
2014-11-17,50.12,50.12,50.12,50.12,000,50.03
2014-11-14,50.12,50.12,50.12,50.12,000,50.03
2014-11-13,50.10,50.12,50.10,50.12,300,50.03
2014-11-12,49.77,49.77,49.77,49.77,000,49.68
2014-11-11,49.77,49.77,49.77,49.77,000,49.68
2014-11-10,49.77,49.77,49.77,49.77,000,49.68
2014-11-07,49.77,49.77,49.77,49.77,100,49.68
2014-11-06,50.16,50.16,50.16,50.16,000,50.07
2014-11-05,50.13,50.16,50.10,50.16,2200,50.07
