Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,32.85,32.85,32.44,32.46,183300,32.46
2014-12-05,32.72,32.86,32.69,32.72,44300,32.72
2014-12-04,32.62,32.78,32.42,32.56,33800,32.56
2014-12-03,34.28,34.28,32.42,32.52,87700,32.52
2014-12-02,32.72,32.73,32.56,32.60,48300,32.60
2014-12-01,32.75,32.84,32.72,32.72,9742900,32.72
2014-11-28,32.72,32.72,32.61,32.61,500,32.61
2014-11-26,32.71,32.88,32.71,32.71,2300,32.71
2014-11-25,32.83,32.84,32.69,32.70,3300,32.70
2014-11-24,32.43,32.53,32.40,32.53,1281600,32.53
2014-11-21,31.96,31.96,31.96,31.96,1400,31.96
2014-11-20,32.11,32.11,32.11,32.11,000,32.11
2014-11-19,32.11,32.11,32.11,32.11,400,32.11
2014-11-18,31.86,31.97,31.86,31.97,1200,31.97
2014-11-17,31.26,31.26,31.26,31.26,000,31.26
2014-11-14,31.26,31.26,31.26,31.26,000,31.26
2014-11-13,31.26,31.26,31.26,31.26,200,31.26
2014-11-12,31.42,31.42,31.42,31.42,000,31.42
2014-11-11,31.30,31.42,31.30,31.42,300,31.42
2014-11-10,31.29,31.29,31.26,31.26,300,31.26
2014-11-07,31.07,31.07,31.07,31.07,100,31.07
2014-11-06,31.22,31.27,31.20,31.25,4100,31.25
2014-11-05,31.30,31.30,31.30,31.30,000,31.30
2014-11-04,31.30,31.30,31.30,31.30,200,31.30
2014-11-03,31.34,31.37,31.33,31.33,2200,31.33
2014-10-31,30.88,30.88,30.88,30.88,000,30.88
2014-10-30,30.88,30.88,30.88,30.88,500,30.88
2014-10-29,30.84,30.84,30.84,30.84,000,30.84
2014-10-28,30.84,30.84,30.84,30.84,000,30.84
