Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,20.00,20.00,20.00,20.00,500,20.00
2014-12-05,19.53,20.00,19.50,20.00,2400,20.00
2014-12-04,20.15,20.15,20.15,20.15,000,20.15
2014-12-03,20.15,20.15,20.15,20.15,200,20.15
2014-12-02,19.50,19.50,19.50,19.50,000,19.50
2014-12-01,19.56,19.56,19.50,19.50,1000,19.50
2014-11-28,19.56,19.66,19.56,19.56,1900,19.56
2014-11-26,20.00,20.00,19.90,19.90,600,19.90
2014-11-25,20.00,20.00,20.00,20.00,000,20.00
2014-11-24,20.00,20.00,20.00,20.00,000,19.71
2014-11-21,20.00,20.00,20.00,20.00,600,19.71
2014-11-20,21.00,21.00,21.00,21.00,000,20.70
2014-11-19,20.75,21.10,20.75,21.00,2000,20.70
2014-11-18,19.95,19.95,19.95,19.95,100,19.66
2014-11-17,19.91,19.91,19.81,19.81,1900,19.52
2014-11-14,20.03,20.03,19.75,20.00,2000,19.71
2014-11-13,20.08,20.08,20.08,20.08,000,19.79
2014-11-12,19.26,20.08,19.26,20.08,300,19.79
2014-11-11,19.60,20.36,19.40,20.36,1000,20.06
2014-11-10,20.46,20.46,18.56,20.36,1300,20.06
2014-11-07,20.47,20.47,20.46,20.46,400,20.16
2014-11-06,20.50,20.50,20.50,20.50,000,20.20
2014-11-05,20.50,20.50,20.50,20.50,400,20.20
2014-11-04,21.04,21.04,21.04,21.04,000,20.73
2014-11-03,21.04,21.04,21.04,21.04,200,20.73
2014-10-31,21.06,21.06,21.04,21.04,200,20.73
2014-10-30,20.87,21.06,20.86,21.06,1700,20.75
2014-10-29,20.88,21.08,20.86,21.08,600,20.77
2014-10-28,21.10,21.10,21.10,21.10,000,20.79
2014-10-27,21.10,21.10,21.10,21.10,200,20.79
2014-10-24,21.10,21.10,21.10,21.10,000,20.79
2014-10-23,21.10,21.10,21.10,21.10,000,20.79
2014-10-22,21.10,21.10,21.10,21.10,400,20.79
2014-10-21,21.10,21.10,21.10,21.10,000,20.79
2014-10-20,21.10,21.10,21.10,21.10,000,20.79
2014-10-17,21.08,21.10,21.08,21.10,1800,20.79
2014-10-16,21.10,21.10,21.10,21.10,200,20.79
2014-10-15,21.10,21.10,20.85,21.09,500,20.78
2014-10-14,21.50,21.50,21.09,21.10,2200,20.79
2014-10-13,21.00,21.00,21.00,21.00,000,20.70
2014-10-10,21.00,21.00,21.00,21.00,300,20.70
2014-10-09,21.05,21.05,21.00,21.05,1600,20.74
2014-10-08,21.32,21.32,21.32,21.32,000,21.01
2014-10-07,21.32,21.32,21.32,21.32,200,21.01
2014-10-06,21.30,22.00,21.30,21.32,4400,21.01
2014-10-03,21.31,21.31,21.25,21.29,900,20.98
2014-10-02,21.00,21.00,21.00,21.00,1000,20.70
2014-10-01,21.25,21.25,21.00,21.00,2800,20.70
2014-09-30,21.63,21.63,21.63,21.63,400,21.32
2014-09-29,21.27,21.27,21.27,21.27,000,20.96
2014-09-26,21.27,21.27,21.27,21.27,000,20.96
2014-09-25,21.27,21.27,21.27,21.27,000,20.96
2014-09-24,21.27,21.27,21.27,21.27,000,20.96
2014-09-23,21.35,21.35,21.27,21.27,1100,20.96
2014-09-22,21.98,21.98,21.32,21.32,500,21.01
2014-09-19,21.35,21.35,21.27,21.27,300,20.96
2014-09-18,21.41,21.41,21.41,21.41,400,21.10
2014-09-17,21.34,21.74,21.34,21.35,400,21.04
2014-09-16,21.27,21.27,21.27,21.27,000,20.96
2014-09-15,20.87,21.27,20.87,21.27,1700,20.96
2014-09-12,20.86,20.86,20.86,20.86,200,20.56
2014-09-11,20.80,20.80,20.80,20.80,000,20.50
2014-09-10,20.80,20.80,20.80,20.80,000,20.50
2014-09-09,20.85,20.85,20.80,20.80,300,20.50
2014-09-08,20.81,20.81,20.81,20.81,000,20.51
2014-09-05,20.81,20.81,20.81,20.81,000,20.51
2014-09-04,20.80,20.81,20.80,20.81,600,20.51
2014-09-03,21.97,21.97,21.97,21.97,500,21.65
2014-09-02,21.89,21.89,21.89,21.89,000,21.57
2014-08-29,21.89,21.89,21.89,21.89,000,21.57
2014-08-28,21.89,21.89,21.89,21.89,100,21.57
2014-08-27,21.75,21.75,21.75,21.75,2000,21.43
2014-08-26,22.00,22.00,22.00,22.00,100,21.68
2014-08-25,20.89,20.89,20.89,20.89,000,20.59
2014-08-22,20.60,20.89,20.50,20.89,1200,20.59
2014-08-21,20.51,20.51,20.51,20.51,000,20.21
2014-08-20,20.51,20.51,20.51,20.51,000,20.21
2014-08-19,20.51,20.51,20.51,20.51,000,20.21
2014-08-18,20.50,20.51,20.50,20.51,600,20.21
2014-08-15,20.50,20.50,20.50,20.50,000,20.20
2014-08-14,20.30,20.50,20.30,20.50,200,20.20
2014-08-13,20.50,20.50,20.50,20.50,900,20.20
2014-08-12,20.36,20.36,20.30,20.30,800,20.01
2014-08-11,20.25,20.25,20.25,20.25,600,19.96
2014-08-08,20.55,20.98,20.50,20.98,700,20.68
2014-08-07,20.56,20.56,20.50,20.50,1600,20.20
2014-08-06,20.97,20.97,20.97,20.97,200,20.67
2014-08-05,20.50,20.50,20.50,20.50,1900,20.20
2014-08-04,21.00,21.00,21.00,21.00,000,20.70
2014-08-01,21.00,21.00,21.00,21.00,000,20.70
