Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,29.37,29.83,29.37,29.77,800,29.77
2014-12-05,30.16,30.16,30.16,30.16,100,30.16
2014-12-04,30.26,30.26,30.26,30.26,200,30.26
2014-12-03,30.15,30.15,30.13,30.14,7700,30.14
2014-12-02,30.25,30.25,30.25,30.25,400,30.25
2014-12-01,30.50,30.50,30.02,30.16,600,30.16
2014-11-28,30.63,30.63,30.63,30.63,000,30.63
2014-11-26,30.63,30.63,30.63,30.63,000,30.63
2014-11-25,30.63,30.63,30.63,30.63,500,30.63
2014-11-24,30.52,30.52,30.52,30.52,300,30.52
2014-11-21,30.47,30.47,30.33,30.33,1100,30.33
2014-11-20,30.04,30.04,30.01,30.01,600,30.01
2014-11-19,30.01,30.01,30.01,30.01,000,30.01
2014-11-18,30.01,30.01,30.01,30.01,900,30.01
2014-11-17,30.04,30.04,30.01,30.01,700,30.01
2014-11-14,30.10,30.10,30.10,30.10,300,30.10
2014-11-13,30.22,30.22,30.22,30.22,000,30.22
2014-11-12,30.22,30.22,30.22,30.22,000,30.22
2014-11-11,29.99,30.22,29.99,30.22,700,30.22
