Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,60.01,60.03,60.00,60.01,8524100,60.01
2014-12-05,60.01,60.04,60.01,60.04,58700,60.04
2014-12-04,60.04,60.04,60.02,60.02,63700,60.02
2014-12-03,60.02,60.06,60.01,60.06,81300,60.06
2014-12-02,60.06,60.06,60.02,60.05,95900,60.05
2014-12-01,60.03,60.05,59.98,60.03,5349000,60.03
2014-11-28,60.00,60.06,60.00,60.00,56100,60.00
2014-11-26,60.00,60.06,60.00,60.06,103000,60.06
2014-11-25,60.02,60.04,60.00,60.01,92500,60.01
2014-11-24,60.03,60.05,59.99,59.99,753400,59.99
2014-11-21,60.02,60.07,60.00,60.00,137500,60.00
2014-11-20,60.02,60.07,60.02,60.04,131000,60.02
2014-11-19,60.03,60.07,60.03,60.03,124800,60.01
2014-11-18,60.01,60.08,60.01,60.06,149200,60.04
2014-11-17,60.08,60.08,60.04,60.04,108700,60.02
2014-11-14,60.05,60.06,60.03,60.05,78700,60.03
2014-11-13,60.01,60.05,60.01,60.03,62200,60.01
2014-11-12,60.04,60.08,60.02,60.06,78600,60.04
2014-11-11,60.07,60.08,60.02,60.08,161600,60.06
2014-11-10,60.03,60.08,60.02,60.02,135700,60.00
2014-11-07,30.03,30.05,30.01,30.04,71600,60.06
2014-11-06,30.00,30.04,30.00,30.03,49300,60.04
2014-11-05,30.01,30.05,30.00,30.01,84500,60.00
2014-11-04,30.02,30.05,30.00,30.02,126000,60.02
2014-11-03,30.04,32.29,30.02,30.05,18074800,60.08
2014-10-31,30.01,30.05,28.72,28.72,50200,57.42
2014-10-30,30.00,30.03,29.97,30.03,65800,60.04
2014-10-29,30.02,30.03,30.00,30.02,40000,60.02
2014-10-28,30.04,30.04,30.01,30.01,9349000,60.00
2014-10-27,30.03,30.03,30.03,30.03,000,60.04
2014-10-24,30.03,30.03,30.03,30.03,000,60.04
2014-10-23,30.03,30.04,30.03,30.03,4800,60.04
2014-10-22,30.04,30.04,30.04,30.04,100,60.06
2014-10-21,30.05,30.05,30.05,30.05,000,60.08
2014-10-20,30.05,30.05,30.05,30.05,000,60.06
2014-10-17,30.05,30.05,30.05,30.05,000,60.06
2014-10-16,30.00,30.05,30.00,30.05,400,60.06
2014-10-15,30.00,30.02,30.00,30.02,2000,60.00
2014-10-14,30.04,30.04,30.04,30.04,000,60.04
2014-10-13,30.00,30.04,30.00,30.04,1100,60.04
2014-10-10,30.07,30.07,30.04,30.04,45300,60.04
2014-10-09,30.02,30.02,30.02,30.02,000,60.01
2014-10-08,30.02,30.02,30.02,30.02,000,60.01
2014-10-07,30.02,30.02,30.02,30.02,000,60.01
2014-10-06,30.03,30.03,30.02,30.02,800,60.01
2014-10-03,30.03,30.03,29.99,29.99,400,59.94
2014-10-02,29.98,29.98,29.98,29.98,000,59.92
2014-10-01,30.02,30.02,29.98,29.98,200,59.92
2014-09-30,30.03,30.03,30.01,30.01,100,59.98
2014-09-29,30.00,30.00,30.00,30.00,200,59.96
2014-09-26,30.04,30.04,30.02,30.02,200,60.00
2014-09-25,30.00,30.00,30.00,30.00,000,59.96
2014-09-24,30.00,30.00,30.00,30.00,000,59.96
2014-09-23,29.98,30.00,29.98,30.00,100,59.96
2014-09-22,30.04,30.04,30.04,30.04,1100,60.02
2014-09-19,30.03,30.03,30.03,30.03,700,60.00
2014-09-18,30.03,30.03,30.03,30.03,100,60.00
2014-09-17,30.03,30.03,30.03,30.03,000,60.00
2014-09-16,30.03,30.03,30.03,30.03,000,60.00
2014-09-15,30.03,30.03,30.03,30.03,200,60.00
2014-09-12,30.01,30.03,30.00,30.00,4400,59.95
2014-09-11,30.04,30.04,30.04,30.04,17000,60.02
2014-09-10,30.04,30.04,30.04,30.04,000,60.02
2014-09-09,30.04,30.04,30.04,30.04,000,60.02
2014-09-08,30.05,30.05,30.04,30.04,900,60.02
2014-09-05,30.05,30.05,30.05,30.05,100,60.04
2014-09-04,30.04,30.04,30.02,30.02,700,59.98
2014-09-03,30.02,30.04,30.02,30.04,700,60.02
2014-09-02,30.04,30.04,30.04,30.04,1200,60.02
2014-08-29,30.03,30.03,30.03,30.03,000,60.00
2014-08-28,30.03,30.03,30.03,30.03,200,60.00
2014-08-27,30.04,30.04,30.04,30.04,000,60.02
2014-08-26,30.04,30.04,30.04,30.04,600,60.02
2014-08-25,30.04,30.04,30.04,30.04,1200,60.02
2014-08-22,30.02,30.02,30.02,30.02,000,59.98
2014-08-21,30.02,30.02,30.02,30.02,000,59.98
2014-08-20,30.02,30.02,30.02,30.02,000,59.96
2014-08-19,30.02,30.02,30.02,30.02,000,59.96
2014-08-18,30.02,30.02,30.02,30.02,000,59.96
2014-08-15,30.02,30.02,30.02,30.02,000,59.96
2014-08-14,30.02,30.02,30.02,30.02,000,59.96
2014-08-13,30.02,30.02,30.02,30.02,000,59.96
2014-08-12,30.02,30.02,30.02,30.02,000,59.96
2014-08-11,30.02,30.02,30.02,30.02,000,59.96
2014-08-08,30.02,30.02,30.02,30.02,000,59.96
2014-08-07,30.02,30.02,30.02,30.02,000,59.96
2014-08-06,30.02,30.02,30.02,30.02,100,59.96
