Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.40,25.40,25.29,25.40,3600,25.40
2014-12-05,25.45,25.45,25.29,25.29,600,25.29
2014-12-04,25.35,25.45,25.35,25.45,3200,25.45
2014-12-03,25.45,25.45,25.34,25.45,9500,25.45
2014-12-02,25.40,25.45,25.40,25.45,3300,25.45
2014-12-01,25.43,25.49,25.32,25.40,12500,25.40
2014-11-28,25.45,25.59,25.42,25.59,2200,25.59
2014-11-26,25.59,25.59,25.48,25.50,2800,25.50
2014-11-25,25.49,25.50,25.38,25.40,8200,25.40
2014-11-24,25.49,25.50,25.40,25.40,900,25.40
2014-11-21,25.25,25.50,25.25,25.40,3600,25.40
2014-11-20,25.40,25.59,25.39,25.40,7900,25.40
2014-11-19,25.30,25.40,25.23,25.40,23700,25.40
2014-11-18,25.29,25.29,25.20,25.27,22300,25.27
2014-11-17,25.29,25.29,25.21,25.21,11700,25.21
2014-11-14,25.35,25.35,25.27,25.30,13300,25.30
2014-11-13,25.30,25.35,25.05,25.24,68400,25.24
2014-11-12,25.40,25.40,25.25,25.35,8400,25.35
2014-11-11,25.75,25.90,25.26,25.40,8400,25.40
