Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,104.95,104.95,104.95,104.95,300,104.95
2014-12-05,105.00,105.00,104.95,104.95,300,104.95
2014-12-04,105.06,105.06,105.06,105.06,000,105.06
2014-12-03,107.00,107.00,105.00,105.06,500,105.06
2014-12-02,107.49,107.49,106.98,107.00,3600,107.00
2014-12-01,107.50,107.50,107.50,107.50,100,107.50
2014-11-28,107.50,107.50,107.50,107.50,000,107.50
2014-11-26,107.50,107.50,107.50,107.50,100,107.50
2014-11-25,105.00,105.00,105.00,105.00,000,105.00
2014-11-24,105.00,105.00,105.00,105.00,300,105.00
2014-11-21,105.60,105.60,105.50,105.50,500,105.50
2014-11-20,107.08,107.08,107.00,107.00,2100,107.00
2014-11-19,106.80,106.80,106.80,106.80,000,106.80
2014-11-18,106.80,106.80,106.80,106.80,000,106.80
2014-11-17,106.75,125.00,106.75,106.80,700,106.80
2014-11-14,106.50,106.50,106.50,106.50,600,106.50
2014-11-13,106.75,106.75,106.75,106.75,000,106.75
2014-11-12,106.75,106.75,106.75,106.75,000,106.75
2014-11-11,106.75,106.75,106.75,106.75,000,106.75
2014-11-10,106.75,106.75,106.75,106.75,400,106.75
2014-11-07,106.50,106.50,106.50,106.50,300,106.50
2014-11-06,106.50,106.50,106.50,106.50,300,106.50
2014-11-05,106.50,106.50,106.50,106.50,000,106.50
2014-11-04,106.50,106.50,106.50,106.50,400,106.50
2014-11-03,106.50,106.50,106.50,106.50,200,106.50
2014-10-31,105.77,105.77,105.77,105.77,200,105.77
2014-10-30,105.75,105.75,105.75,105.75,300,105.75
2014-10-29,105.45,105.45,105.45,105.45,300,105.45
2014-10-28,103.50,103.50,102.71,102.71,600,102.71
2014-10-27,105.60,105.60,105.60,105.60,000,103.30
2014-10-24,105.60,105.60,105.60,105.60,000,103.30
2014-10-23,105.60,105.60,105.60,105.60,000,103.30
2014-10-22,107.50,107.50,105.60,105.60,1300,103.30
2014-10-21,106.00,106.00,106.00,106.00,000,103.69
2014-10-20,106.00,106.00,106.00,106.00,000,103.69
2014-10-17,106.00,106.00,106.00,106.00,200,103.69
2014-10-16,105.00,105.00,105.00,105.00,200,102.71
2014-10-15,104.00,104.00,104.00,104.00,200,101.73
2014-10-14,105.00,105.00,104.00,104.00,700,101.73
2014-10-13,105.50,105.50,105.50,105.50,000,103.20
2014-10-10,105.50,105.50,105.50,105.50,000,103.20
2014-10-09,105.50,105.50,105.50,105.50,000,103.20
2014-10-08,105.50,105.50,105.50,105.50,000,103.20
2014-10-07,105.50,105.50,105.50,105.50,200,103.20
2014-10-06,106.48,106.48,106.48,106.48,000,104.16
2014-10-03,106.48,106.48,106.48,106.48,000,104.16
2014-10-02,106.48,106.48,106.48,106.48,000,104.16
2014-10-01,106.48,106.48,106.48,106.48,200,104.16
2014-09-30,106.00,106.00,106.00,106.00,000,103.69
2014-09-29,106.00,106.00,106.00,106.00,000,103.69
2014-09-26,106.00,106.00,106.00,106.00,000,103.69
2014-09-25,106.00,106.00,106.00,106.00,000,103.69
2014-09-24,106.00,106.00,106.00,106.00,000,103.69
2014-09-23,106.00,106.00,106.00,106.00,000,103.69
2014-09-22,106.00,106.00,106.00,106.00,400,103.69
2014-09-19,106.00,106.00,106.00,106.00,000,103.69
2014-09-18,106.00,106.00,106.00,106.00,200,103.69
2014-09-17,105.10,106.75,105.10,106.75,300,104.42
2014-09-16,105.25,105.25,105.25,105.25,300,102.96
2014-09-15,105.50,105.50,105.32,105.32,1100,103.03
2014-09-12,106.50,106.50,105.60,105.60,1300,103.30
2014-09-11,106.50,106.50,106.50,106.50,000,104.18
2014-09-10,106.50,106.50,106.50,106.50,000,104.18
2014-09-09,106.50,106.50,106.50,106.50,100,104.18
2014-09-08,106.08,106.08,106.08,106.08,100,103.77
2014-09-05,106.28,106.28,106.28,106.28,000,103.97
2014-09-04,106.28,106.28,106.28,106.28,000,103.97
2014-09-03,106.25,106.28,106.25,106.28,300,103.97
2014-09-02,106.02,106.02,106.02,106.02,000,103.71
2014-08-29,106.02,106.02,106.02,106.02,000,103.71
2014-08-28,106.02,106.02,106.02,106.02,000,103.71
2014-08-27,106.02,106.02,106.02,106.02,000,103.71
2014-08-26,106.02,106.02,106.02,106.02,000,103.71
2014-08-25,106.06,106.06,106.02,106.02,300,103.71
2014-08-22,107.25,107.25,107.25,107.25,000,104.91
2014-08-21,107.25,107.25,107.25,107.25,000,104.91
2014-08-20,107.25,107.25,107.25,107.25,000,104.91
2014-08-19,107.25,107.25,107.25,107.25,000,104.91
2014-08-18,107.25,107.25,107.25,107.25,000,104.91
2014-08-15,107.25,107.25,107.25,107.25,000,104.91
2014-08-14,107.25,107.25,107.22,107.25,700,104.91
2014-08-13,107.25,107.25,107.00,107.00,1200,104.67
2014-08-12,106.26,106.26,106.26,106.26,000,103.95
2014-08-11,106.26,106.26,106.26,106.26,000,103.95
2014-08-08,106.26,106.26,106.26,106.26,000,103.95
2014-08-07,106.26,106.26,106.26,106.26,000,103.95
2014-08-06,106.26,106.26,106.26,106.26,000,103.95
2014-08-05,106.26,106.26,106.26,106.26,000,103.95
2014-08-04,106.04,106.26,106.04,106.26,600,103.95
2014-08-01,108.95,108.95,108.95,108.95,400,106.58
2014-07-31,106.61,106.61,106.61,106.61,300,104.29
2014-07-30,108.01,108.01,106.61,106.61,1700,104.29
2014-07-29,108.00,109.95,108.00,109.95,300,107.56
2014-07-28,106.69,108.74,106.69,108.01,800,105.66
2014-07-25,107.58,109.00,107.58,109.00,700,104.38
2014-07-24,107.75,107.75,107.75,107.75,000,103.18
2014-07-23,107.75,107.75,107.75,107.75,000,103.18
2014-07-22,109.00,109.00,107.75,107.75,2000,103.18
2014-07-21,108.88,109.00,108.88,108.98,500,104.36
2014-07-18,109.00,109.00,109.00,109.00,000,104.38
2014-07-17,109.00,109.00,109.00,109.00,200,104.38
2014-07-16,107.50,107.50,107.50,107.50,000,102.94
2014-07-15,106.21,107.75,106.21,107.50,1400,102.94
2014-07-14,108.00,108.00,106.08,106.08,400,101.58
2014-07-11,107.68,107.75,107.68,107.75,400,103.18
2014-07-10,105.75,105.75,105.75,105.75,000,101.26
2014-07-09,105.75,105.75,105.75,105.75,000,101.26
2014-07-08,106.00,106.00,105.75,105.75,2300,101.26
2014-07-07,109.00,109.00,109.00,109.00,000,104.38
2014-07-03,109.00,109.00,109.00,109.00,000,104.38
2014-07-02,108.00,109.00,108.00,109.00,500,104.38
2014-07-01,108.00,108.00,108.00,108.00,000,103.42
2014-06-30,108.00,108.00,108.00,108.00,4600,103.42
2014-06-27,105.06,105.69,105.06,105.69,300,101.21
2014-06-26,108.05,108.05,107.95,108.00,13500,103.42
2014-06-25,108.81,108.81,108.00,108.00,2400,103.42
2014-06-24,107.00,107.00,107.00,107.00,700,102.46
2014-06-23,106.97,106.99,106.97,106.99,1200,102.45
2014-06-20,106.99,106.99,106.99,106.99,000,102.45
2014-06-19,107.00,107.00,106.99,106.99,400,102.45
2014-06-18,107.95,107.95,107.95,107.95,200,103.37
2014-06-17,108.00,108.00,108.00,108.00,000,103.42
2014-06-16,108.00,108.00,108.00,108.00,2300,103.42
2014-06-13,105.01,105.01,105.01,105.01,000,100.56
2014-06-12,104.99,105.01,104.28,105.01,2200,100.56
2014-06-11,104.25,104.50,104.25,104.25,1400,99.83
2014-06-10,105.00,105.00,105.00,105.00,1800,100.55
2014-06-09,106.00,106.00,105.00,106.00,1400,101.50
2014-06-06,106.00,106.00,106.00,106.00,100,101.50
2014-06-05,108.50,108.50,107.50,107.51,5300,102.95
2014-06-04,107.00,107.50,107.00,107.50,1200,102.94
2014-06-03,108.25,108.25,108.25,108.25,000,103.66
2014-06-02,108.25,108.25,108.25,108.25,200,103.66
2014-05-30,108.25,108.25,108.25,108.25,000,103.66
2014-05-29,108.25,108.25,108.25,108.25,000,103.66
2014-05-28,108.25,108.25,108.25,108.25,000,103.66
2014-05-27,108.25,108.25,108.25,108.25,000,103.66
2014-05-23,108.25,108.25,108.25,108.25,200,103.66
2014-05-22,108.00,108.00,107.00,107.50,900,102.94
2014-05-21,107.00,107.00,107.00,107.00,700,102.46
2014-05-20,107.00,107.00,107.00,107.00,000,102.46
2014-05-19,106.00,107.00,106.00,107.00,400,102.46
2014-05-16,107.00,107.00,107.00,107.00,400,102.46
2014-05-15,107.50,107.50,107.50,107.50,13400,102.94
2014-05-14,109.00,109.00,109.00,109.00,000,104.38
2014-05-13,107.00,109.00,107.00,109.00,800,104.38
2014-05-12,107.00,107.00,107.00,107.00,100,102.46
2014-05-09,106.00,106.00,106.00,106.00,000,101.50
2014-05-08,106.00,106.00,106.00,106.00,000,101.50
2014-05-07,106.00,106.00,106.00,106.00,200,101.50
2014-05-06,107.85,109.00,107.85,109.00,500,104.38
2014-05-05,107.00,107.00,107.00,107.00,2100,102.46
2014-05-02,107.00,108.00,107.00,107.05,1900,102.51
2014-05-01,106.00,106.50,106.00,106.50,600,101.98
2014-04-30,106.50,106.50,106.50,106.50,300,101.98
2014-04-29,106.50,106.50,106.50,106.50,300,101.98
2014-04-28,107.03,107.03,107.03,107.03,100,102.49
2014-04-25,105.95,106.00,103.08,106.00,700,101.50
2014-04-24,106.00,108.00,106.00,107.03,700,100.36
2014-04-23,105.99,106.00,105.99,106.00,1600,99.39
2014-04-22,107.00,107.99,104.06,107.99,1600,101.26
2014-04-21,106.00,107.29,106.00,107.29,600,100.60
2014-04-17,104.60,106.67,104.60,106.67,500,100.02
2014-04-16,106.86,106.86,106.86,106.86,100,100.20
2014-04-15,106.50,106.50,106.35,106.35,1100,99.72
2014-04-14,106.50,106.50,106.50,106.50,600,99.86
2014-04-11,106.70,106.70,106.70,106.70,100,100.05
2014-04-10,105.00,105.00,105.00,105.00,000,98.46
2014-04-09,105.90,105.90,103.00,105.00,2500,98.46
2014-04-08,105.90,105.90,105.90,105.90,100,99.30
2014-04-07,108.00,108.00,108.00,108.00,000,101.27
2014-04-04,108.00,108.00,108.00,108.00,000,101.27
2014-04-03,108.00,108.00,108.00,108.00,500,101.27
2014-04-02,108.00,108.00,108.00,108.00,000,101.27
2014-04-01,108.00,108.00,108.00,108.00,000,101.27
2014-03-31,108.00,108.00,108.00,108.00,800,101.27
2014-03-28,106.50,108.83,106.50,108.00,3300,101.27
2014-03-27,108.00,108.00,108.00,108.00,2000,101.27
2014-03-26,108.83,108.83,108.83,108.83,200,102.05
2014-03-25,106.00,106.00,106.00,106.00,200,99.39
2014-03-24,106.00,106.00,106.00,106.00,500,99.39
2014-03-21,104.26,104.26,104.26,104.26,300,97.76
2014-03-20,106.50,106.50,106.49,106.50,3100,99.86
2014-03-19,106.50,106.50,106.50,106.50,300,99.86
2014-03-18,106.00,106.00,106.00,106.00,000,99.39
2014-03-17,106.00,106.00,106.00,106.00,000,99.39
2014-03-14,106.25,106.25,105.90,106.00,1700,99.39
2014-03-13,107.35,107.35,106.00,107.00,800,100.33
2014-03-12,105.00,105.00,105.00,105.00,000,98.46
2014-03-11,105.00,105.00,105.00,105.00,500,98.46
2014-03-10,105.00,105.03,105.00,105.03,400,98.48
2014-03-07,105.00,105.00,104.99,104.99,1100,98.45
2014-03-06,104.49,104.49,104.01,104.01,400,97.53
2014-03-05,104.50,109.84,104.50,105.00,3700,98.46
2014-03-04,104.50,104.50,104.49,104.49,1100,97.98
2014-03-03,103.50,104.12,103.00,104.07,1500,97.58
2014-02-28,104.09,104.09,103.50,104.09,1600,97.60
2014-02-27,104.08,104.09,104.00,104.09,2300,97.60
2014-02-26,103.00,103.00,103.00,103.00,600,96.58
2014-02-25,103.00,103.50,103.00,103.50,400,97.05
2014-02-24,101.50,104.09,100.25,103.00,2600,96.58
2014-02-21,104.00,104.04,104.00,104.04,800,97.56
