Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,34.45,36.49,34.00,35.75,543700,35.75
2014-12-05,34.00,34.60,33.70,34.21,316900,34.21
2014-12-04,34.88,35.49,32.86,33.49,500500,33.49
2014-12-03,36.75,37.74,34.55,34.74,631300,34.74
2014-12-02,35.75,37.48,35.01,36.62,1810400,36.62
2014-12-01,32.95,36.99,31.90,36.84,1620400,36.84
2014-11-28,30.93,32.53,30.66,32.42,565800,32.42
2014-11-26,30.95,32.50,30.39,30.53,1803500,30.53
2014-11-25,35.00,35.00,29.91,29.95,2316600,29.95
2014-11-24,37.14,37.95,33.75,34.49,1190600,34.49
2014-11-21,38.00,40.25,35.50,36.59,4097600,36.59
2014-11-20,30.00,39.70,30.00,39.54,11103000,39.54
