Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,1335.00,1349.22,1271.05,1340.00,500,1340.00
2014-12-05,1321.00,1345.01,1321.00,1340.00,200,1340.00
2014-12-04,1344.00,1344.00,1342.00,1342.00,100,1342.00
2014-12-03,1330.01,1345.00,1330.01,1345.00,100,1345.00
2014-12-02,1345.00,1345.00,1345.00,1345.00,000,1345.00
2014-12-01,1340.00,1345.00,1340.00,1345.00,600,1345.00
2014-11-28,1340.00,1340.00,1340.00,1340.00,100,1340.00
2014-11-26,1323.00,1329.75,1320.00,1329.75,100,1329.75
2014-11-25,1326.00,1330.00,1313.00,1330.00,100,1330.00
2014-11-24,1312.00,1336.70,1312.00,1336.70,000,1336.70
2014-11-21,1321.00,1321.00,1310.00,1316.00,100,1316.00
2014-11-20,1343.00,1343.00,1330.00,1330.00,100,1330.00
2014-11-19,1335.00,1335.00,1325.00,1335.00,100,1335.00
2014-11-18,1310.00,1330.00,1310.00,1330.00,100,1330.00
2014-11-17,1330.00,1335.00,1330.00,1335.00,000,1335.00
2014-11-14,1320.00,1330.00,1320.00,1330.00,000,1330.00
2014-11-13,1318.00,1318.00,1318.00,1318.00,000,1318.00
2014-11-12,1316.00,1316.50,1316.00,1316.50,000,1316.50
2014-11-11,1325.00,1333.00,1315.00,1316.00,100,1316.00
2014-11-10,1335.00,1335.00,1335.00,1335.00,000,1335.00
2014-11-07,1335.00,1335.00,1335.00,1335.00,000,1335.00
2014-11-06,1335.00,1335.00,1335.00,1335.00,000,1335.00
2014-11-05,1335.00,1335.00,1335.00,1335.00,000,1335.00
2014-11-04,1335.00,1335.00,1310.00,1323.09,3800,1323.09
2014-11-03,1315.00,1335.00,1315.00,1335.00,000,1335.00
2014-10-31,1310.00,1320.00,1310.00,1320.00,100,1320.00
2014-10-30,1316.11,1316.11,1305.02,1305.02,000,1305.02
2014-10-29,1315.00,1315.00,1315.00,1315.00,100,1315.00
2014-10-28,1335.00,1337.50,1335.00,1337.50,500,1337.50
2014-10-27,1312.00,1312.00,1312.00,1312.00,000,1312.00
2014-10-24,1318.00,1318.00,1318.00,1318.00,000,1318.00
2014-10-23,1320.00,1320.00,1318.00,1318.00,100,1318.00
2014-10-22,1325.00,1338.00,1325.00,1338.00,100,1338.00
2014-10-21,1330.00,1335.00,1305.00,1305.00,300,1305.00
2014-10-20,1345.00,1345.00,1345.00,1345.00,000,1345.00
2014-10-17,1345.00,1345.00,1345.00,1345.00,000,1345.00
