Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,2.21,3.00,2.21,2.40,5200,2.40
2014-12-05,2.20,3.12,2.20,2.83,7300,2.83
2014-12-04,3.02,3.02,3.02,3.02,000,3.02
2014-12-03,2.47,3.20,2.45,3.02,8800,3.02
2014-12-02,2.34,3.08,2.34,3.08,9200,3.08
2014-12-01,2.50,2.50,2.05,2.35,4600,2.35
2014-11-28,2.72,2.75,2.30,2.32,1600,2.32
2014-11-26,2.80,2.80,2.19,2.30,28300,2.30
2014-11-25,3.60,3.60,2.80,2.90,24700,2.90
2014-11-24,2.60,3.80,2.25,3.20,97600,3.20
2014-11-21,1.40,2.90,1.22,2.25,69500,2.25
2014-11-20,1.13,1.13,1.01,1.01,700,1.01
2014-11-19,1.02,1.02,1.02,1.02,200,1.02
2014-11-18,1.40,1.40,1.06,1.19,6900,1.19
2014-11-17,1.80,1.80,1.80,1.80,000,1.80
2014-11-14,1.65,1.80,1.57,1.80,3400,1.80
2014-11-13,1.20,1.60,1.20,1.56,16200,1.56
