Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,42.70,42.94,42.70,42.83,2100,42.83
2014-12-05,42.96,43.12,42.94,42.95,3500,42.95
2014-12-04,42.59,42.92,42.59,42.92,500,42.92
2014-12-03,42.84,42.86,42.63,42.68,1900,42.68
2014-12-02,42.56,42.56,42.55,42.56,1000,42.56
2014-12-01,42.68,42.78,42.59,42.67,2900,42.67
2014-11-28,42.81,42.81,42.81,42.81,100,42.81
2014-11-26,42.85,43.01,42.85,43.01,1400,43.01
2014-11-25,43.00,43.10,43.00,43.05,3100,43.05
2014-11-24,42.34,42.34,42.34,42.34,000,42.34
2014-11-21,42.64,42.64,42.34,42.34,1100,42.34
2014-11-20,42.19,42.19,42.19,42.19,700,42.19
2014-11-19,42.29,42.40,42.12,42.12,12400,42.12
2014-11-18,42.25,42.32,42.23,42.31,2600,42.31
2014-11-17,41.93,42.01,41.84,41.84,300,41.84
2014-11-14,41.74,41.80,41.74,41.76,1800,41.76
2014-11-13,41.89,41.89,41.78,41.78,2300,41.78
2014-11-12,42.01,42.01,41.73,41.73,1900,41.73
2014-11-11,41.94,42.30,41.94,42.11,6300,42.11
2014-11-10,41.73,41.73,41.73,41.73,400,41.73
2014-11-07,41.54,41.84,41.54,41.84,3000,41.84
2014-11-06,41.81,41.81,41.81,41.81,200,41.81
2014-11-05,41.88,41.88,41.88,41.88,000,41.88
2014-11-04,42.16,42.16,41.88,41.88,700,41.88
2014-11-03,42.12,42.25,41.99,41.99,9500,41.99
2014-10-31,42.11,42.35,42.11,42.31,900,42.31
2014-10-30,41.35,41.82,41.35,41.82,500,41.82
2014-10-29,42.00,42.21,41.56,41.57,4600,41.57
2014-10-28,41.72,41.81,41.72,41.81,1200,41.81
2014-10-27,41.07,41.48,41.07,41.35,3400,41.35
2014-10-24,41.51,41.71,41.51,41.57,1000,41.57
2014-10-23,41.68,41.68,41.41,41.43,5500,41.43
2014-10-22,41.35,41.39,41.10,41.14,2800,41.14
2014-10-21,41.02,41.33,41.02,41.25,7600,41.25
2014-10-20,40.33,40.52,40.33,40.49,600,40.49
2014-10-17,40.04,40.35,40.03,40.21,3900,40.21
2014-10-16,39.01,39.45,39.01,39.45,4900,39.45
2014-10-15,39.43,39.58,38.78,39.51,14900,39.51
2014-10-14,39.62,39.97,39.59,39.65,14300,39.65
2014-10-13,40.07,40.42,39.69,39.80,41000,39.80
2014-10-10,39.98,39.98,39.95,39.95,600,39.95
2014-10-09,41.31,41.31,40.47,40.49,1800,40.49
2014-10-08,41.16,41.72,40.84,41.72,6000,41.72
2014-10-07,41.79,41.79,41.48,41.48,1000,41.48
2014-10-06,42.00,42.03,41.98,42.02,1700,42.02
2014-10-03,42.26,42.27,42.26,42.26,3200,42.26
2014-10-02,41.98,42.10,41.98,42.10,900,42.10
2014-10-01,42.89,42.89,42.49,42.52,3000,42.52
2014-09-30,42.81,43.07,42.80,42.97,4400,42.97
2014-09-29,43.20,43.20,43.04,43.15,400,43.15
2014-09-26,43.13,43.22,43.13,43.22,1300,43.22
2014-09-25,43.91,43.91,43.27,43.38,18400,43.38
2014-09-24,43.78,43.86,43.62,43.85,5000,43.85
2014-09-23,44.21,44.21,44.03,44.03,800,44.03
2014-09-22,44.66,44.66,44.66,44.66,000,44.66
2014-09-19,44.58,44.66,44.58,44.66,31000,44.66
2014-09-18,44.82,44.84,44.72,44.82,6500,44.82
2014-09-17,44.56,44.73,44.55,44.73,6000,44.73
2014-09-16,44.28,44.44,44.28,44.44,1600,44.44
2014-09-15,44.70,44.70,44.70,44.70,300,44.70
2014-09-12,44.51,44.72,44.51,44.67,700,44.67
2014-09-11,44.47,44.62,44.42,44.49,3900,44.49
2014-09-10,44.59,44.75,44.41,44.75,1700,44.75
2014-09-09,44.76,44.80,44.55,44.62,2100,44.62
2014-09-08,45.01,45.01,44.67,44.75,6200,44.75
2014-09-05,45.42,45.42,45.42,45.42,400,45.42
2014-09-04,45.37,45.47,45.37,45.41,6100,45.41
2014-09-03,45.95,45.95,45.66,45.82,17500,45.82
2014-09-02,45.58,45.60,45.34,45.58,5200,45.58
2014-08-29,45.82,45.82,45.58,45.62,23600,45.62
2014-08-28,45.96,45.96,45.75,45.84,1300,45.84
2014-08-27,46.10,46.11,46.10,46.10,600,46.10
2014-08-26,45.80,45.86,45.77,45.82,800,45.82
2014-08-25,45.54,45.83,45.54,45.83,500,45.83
2014-08-22,45.36,45.59,45.36,45.45,8500,45.45
2014-08-21,45.56,45.56,45.54,45.54,4100,45.54
2014-08-20,46.03,46.03,45.35,45.37,2300,45.37
2014-08-19,45.33,45.70,45.33,45.60,9700,45.60
2014-08-18,45.58,45.58,45.48,45.55,700,45.55
2014-08-15,45.45,45.45,44.91,45.26,15500,45.26
2014-08-14,44.46,45.21,44.46,45.09,4500,45.09
2014-08-13,44.91,44.91,44.75,44.75,1600,44.75
2014-08-12,44.61,44.64,44.57,44.60,1500,44.60
2014-08-11,44.06,44.66,44.06,44.58,5600,44.58
2014-08-08,43.57,44.11,43.57,44.11,1800,44.11
2014-08-07,43.97,44.23,43.82,44.00,7300,44.00
2014-08-06,44.13,44.29,44.05,44.29,5900,44.29
2014-08-05,44.78,44.78,44.50,44.53,24500,44.53
2014-08-04,44.85,45.15,44.62,45.11,33400,45.11
2014-08-01,44.87,45.01,44.76,44.79,81700,44.79
2014-07-31,44.90,45.44,44.90,45.00,10400,45.00
2014-07-30,46.03,46.03,45.81,45.83,1900,45.83
2014-07-29,46.04,46.29,46.03,46.03,2200,46.03
2014-07-28,46.79,46.79,46.03,46.29,1900,46.29
2014-07-25,46.60,46.60,46.04,46.05,1300,46.05
2014-07-24,46.09,46.45,46.09,46.19,2000,46.19
2014-07-23,46.04,46.38,46.04,46.34,93600,46.34
2014-07-22,45.86,46.13,45.85,45.85,3800,45.85
2014-07-21,45.55,46.07,45.50,45.92,5800,45.92
2014-07-18,45.29,46.21,45.29,45.89,4400,45.89
2014-07-17,46.26,46.26,45.90,45.90,1200,45.90
2014-07-16,46.22,46.30,46.04,46.04,4900,46.04
2014-07-15,45.97,46.00,45.97,46.00,600,46.00
2014-07-14,46.21,46.21,45.98,45.98,83500,45.98
2014-07-11,45.55,46.02,45.55,45.85,14100,45.85
2014-07-10,45.95,46.00,45.86,46.00,15700,46.00
2014-07-09,46.92,46.92,46.44,46.44,14200,46.44
2014-07-08,46.85,46.96,46.47,46.68,13900,46.68
2014-07-07,47.44,47.44,47.10,47.26,92300,47.26
2014-07-03,47.49,47.98,47.43,47.95,3000,47.95
2014-07-02,48.97,48.97,47.34,47.35,3300,47.35
2014-07-01,47.14,47.14,47.14,47.14,000,47.14
2014-06-30,46.69,47.20,46.69,47.14,3600,47.14
2014-06-27,46.94,46.94,46.38,46.56,3700,46.56
2014-06-26,46.98,46.98,46.32,46.55,5100,46.55
2014-06-25,46.64,46.65,46.49,46.49,1600,46.49
2014-06-24,47.45,47.45,46.41,46.62,5200,46.62
2014-06-23,47.44,47.47,47.03,47.47,2400,47.04
2014-06-20,47.68,47.68,47.15,47.21,2600,46.78
2014-06-19,48.15,48.15,47.39,47.39,1400,46.96
2014-06-18,47.64,47.64,46.94,47.48,3700,47.05
2014-06-17,47.02,47.02,46.88,46.98,4500,46.56
