Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,54.74,55.19,54.18,54.35,275400,54.35
2014-12-05,54.39,55.29,54.39,54.75,289200,54.75
2014-12-04,54.45,55.96,54.23,54.37,233000,54.37
2014-12-03,54.63,55.23,54.02,54.37,239100,54.37
2014-12-02,53.68,55.17,53.68,54.72,281200,54.72
2014-12-01,54.00,54.78,53.37,53.68,227500,53.68
2014-11-28,54.91,54.97,54.06,54.08,56400,54.08
2014-11-26,55.62,56.14,54.84,54.95,125900,54.95
2014-11-25,55.56,56.07,55.50,55.74,153600,55.74
2014-11-24,55.85,55.92,55.03,55.25,150600,55.25
2014-11-21,56.75,56.75,55.40,55.55,107600,55.55
2014-11-20,54.70,56.06,54.63,55.87,188300,55.87
2014-11-19,55.93,56.00,54.70,54.80,89500,54.80
2014-11-18,55.47,56.54,54.62,55.86,88700,55.86
2014-11-17,56.41,56.59,55.20,55.28,132800,55.28
2014-11-14,56.93,57.11,56.37,56.40,124900,56.40
2014-11-13,57.01,57.42,56.58,56.83,99400,56.83
2014-11-12,56.60,57.43,56.08,56.87,285500,56.87
2014-11-11,56.80,57.46,56.55,57.08,329500,56.60
2014-11-10,57.20,57.68,56.61,56.80,105000,56.32
2014-11-07,57.00,57.22,56.76,57.02,165800,56.54
2014-11-06,57.12,57.40,56.58,56.88,207300,56.40
2014-11-05,57.07,57.37,56.46,56.99,171000,56.51
2014-11-04,56.46,57.04,56.05,56.64,92500,56.16
2014-11-03,57.00,57.58,56.49,56.76,158800,56.28
2014-10-31,56.98,57.70,56.71,57.00,219200,56.52
2014-10-30,56.39,56.93,55.76,56.17,143900,55.70
2014-10-29,57.22,57.67,56.30,56.68,166400,56.20
2014-10-28,57.33,58.88,56.56,56.99,276100,56.51
2014-10-27,58.03,58.28,57.03,57.33,95400,56.85
2014-10-24,58.20,58.20,57.39,58.10,83500,57.61
2014-10-23,57.63,58.49,56.95,58.05,110800,57.56
2014-10-22,57.97,58.92,56.86,56.98,93400,56.50
2014-10-21,56.49,57.96,56.31,57.80,100800,57.31
2014-10-20,55.79,56.47,55.17,56.38,167200,55.91
2014-10-17,58.10,58.10,55.64,55.89,113600,55.42
2014-10-16,56.98,57.77,56.46,57.31,114300,56.83
2014-10-15,55.39,57.63,54.33,57.52,174300,57.04
2014-10-14,55.64,56.93,55.53,56.43,132100,55.96
2014-10-13,54.27,56.15,53.85,55.19,171700,54.73
2014-10-10,53.97,55.21,53.41,54.07,107500,53.62
2014-10-09,54.61,54.61,53.24,54.25,208900,53.79
2014-10-08,54.67,54.79,53.69,54.65,184800,54.19
2014-10-07,55.22,55.75,54.59,54.64,144800,54.18
2014-10-06,55.81,55.89,55.31,55.45,142600,54.98
2014-10-03,56.09,56.14,55.35,55.76,91500,55.29
2014-10-02,54.82,55.79,54.06,55.58,138200,55.11
2014-10-01,55.22,55.56,53.95,54.92,178200,54.46
2014-09-30,57.51,57.51,55.09,55.09,280400,54.63
2014-09-29,57.38,58.38,57.13,57.71,86700,57.22
2014-09-26,57.47,58.17,56.92,57.91,72800,57.42
2014-09-25,58.45,59.04,56.54,57.11,104400,56.63
2014-09-24,55.97,58.49,55.95,58.37,118000,57.88
2014-09-23,56.80,56.80,55.60,55.65,115000,55.18
2014-09-22,57.04,57.15,56.26,56.83,119700,56.35
2014-09-19,58.68,59.27,57.10,57.18,188700,56.70
2014-09-18,59.00,59.04,57.95,58.62,107000,58.13
2014-09-17,58.99,59.18,58.60,58.74,59700,58.25
2014-09-16,58.90,59.46,58.55,58.81,67000,58.32
2014-09-15,58.87,59.15,58.13,58.87,106000,58.37
2014-09-12,58.70,59.05,58.35,58.70,101400,58.21
2014-09-11,57.74,59.04,57.68,58.67,79600,58.18
2014-09-10,57.77,58.13,57.17,58.03,61000,57.54
2014-09-09,58.96,58.96,57.65,57.82,93700,57.33
2014-09-08,59.33,59.33,58.71,58.96,78900,58.46
2014-09-05,59.02,59.53,58.94,59.36,72100,58.86
2014-09-04,59.50,59.87,59.12,59.18,73300,58.68
2014-09-03,59.38,59.80,58.87,59.33,129200,58.83
2014-09-02,58.45,59.39,58.32,59.05,145300,58.55
2014-08-29,58.62,58.62,57.84,58.15,81600,57.66
2014-08-28,58.60,58.88,58.02,58.33,84900,57.84
2014-08-27,58.90,59.00,58.13,58.66,98500,58.17
2014-08-26,58.83,58.99,58.33,58.69,96700,58.20
2014-08-25,59.69,59.69,58.28,58.53,93700,58.04
2014-08-22,59.13,59.50,58.53,59.20,92900,58.70
2014-08-21,58.41,59.18,57.74,59.04,110700,58.54
2014-08-20,59.07,59.58,57.93,58.28,144700,57.79
2014-08-19,59.26,59.87,59.13,59.35,78500,58.85
2014-08-18,58.31,59.62,58.31,59.23,78100,58.73
2014-08-15,59.18,59.18,57.73,58.27,108300,57.78
2014-08-14,59.15,59.23,58.65,58.78,63000,58.29
2014-08-13,58.18,59.41,58.13,59.16,104800,58.66
2014-08-12,58.71,59.00,58.25,58.52,88000,57.55
2014-08-11,59.50,59.69,58.83,58.93,118800,57.96
2014-08-08,59.65,60.00,59.00,59.24,179500,58.26
2014-08-07,60.25,60.25,59.25,59.37,181500,58.39
2014-08-06,60.15,60.79,59.73,59.92,135600,58.93
2014-08-05,60.45,61.28,60.08,60.39,128500,59.39
2014-08-04,60.31,61.14,59.62,60.77,170000,59.76
2014-08-01,60.55,60.68,59.72,59.96,170500,58.97
2014-07-31,60.95,61.28,60.39,60.43,170900,59.43
2014-07-30,60.99,61.54,59.00,61.48,192100,60.46
2014-07-29,60.00,61.48,58.15,60.38,421000,59.38
2014-07-28,58.09,58.15,57.49,57.86,164200,56.90
2014-07-25,57.74,58.25,57.30,57.80,117100,56.84
2014-07-24,57.79,58.19,57.48,57.78,109300,56.82
2014-07-23,57.65,58.07,57.29,57.56,113400,56.61
2014-07-22,54.69,58.27,54.04,57.52,231300,56.57
2014-07-21,54.37,54.63,53.71,54.29,64600,53.39
2014-07-18,53.48,54.82,53.45,54.63,110300,53.73
2014-07-17,54.04,54.29,53.56,53.61,64300,52.72
2014-07-16,55.05,55.05,54.00,54.22,80800,53.32
2014-07-15,55.02,55.07,54.22,54.68,98500,53.78
2014-07-14,55.61,55.61,54.68,54.79,62700,53.88
2014-07-11,55.32,55.50,54.63,55.01,65800,54.10
2014-07-10,55.59,56.35,54.91,55.41,50800,54.49
2014-07-09,57.51,57.51,56.24,56.56,100000,55.62
2014-07-08,57.46,57.80,56.99,57.21,142800,56.26
2014-07-07,57.74,58.33,56.73,57.42,202600,56.47
2014-07-03,57.36,57.96,56.91,57.87,56400,56.91
2014-07-02,57.87,58.22,56.99,57.08,93100,56.14
2014-07-01,57.64,58.51,57.62,57.80,142700,56.84
2014-06-30,57.59,57.73,57.22,57.57,106200,56.62
2014-06-27,56.52,57.90,56.52,57.82,400600,56.86
2014-06-26,56.94,57.30,56.13,56.97,68800,56.03
2014-06-25,55.87,57.08,55.87,56.77,59700,55.83
2014-06-24,56.34,57.23,56.14,56.18,86200,55.25
2014-06-23,56.82,56.82,56.19,56.57,57500,55.63
2014-06-20,56.68,57.25,56.11,56.72,223000,55.78
2014-06-19,56.35,56.63,56.15,56.35,53800,55.42
2014-06-18,55.94,56.42,55.90,56.29,55100,55.36
2014-06-17,55.97,56.68,55.78,56.09,73800,55.16
2014-06-16,56.07,56.44,55.65,56.08,77400,55.15
2014-06-13,56.08,56.23,55.54,56.03,58600,55.10
2014-06-12,55.65,56.26,55.42,55.83,71600,54.91
2014-06-11,55.53,56.39,55.41,55.91,77000,54.99
2014-06-10,55.38,56.07,54.90,55.78,71000,54.86
2014-06-09,55.19,56.11,55.11,55.64,98200,54.72
2014-06-06,55.25,55.68,54.95,55.44,82500,54.52
2014-06-05,53.47,55.00,53.18,54.92,125800,54.01
2014-06-04,52.31,53.64,52.31,53.47,97300,52.59
2014-06-03,51.95,52.80,51.87,52.39,467000,51.52
2014-06-02,52.67,52.73,51.83,52.30,93400,51.43
2014-05-30,52.31,52.95,52.04,52.50,106600,51.63
2014-05-29,53.01,53.01,51.73,52.08,75500,51.22
2014-05-28,53.50,53.50,51.77,52.66,161000,51.79
2014-05-27,53.86,54.15,53.18,53.79,73300,52.90
2014-05-23,53.37,53.75,52.19,53.48,82000,52.60
2014-05-22,53.08,53.96,52.73,53.19,71400,52.31
2014-05-21,53.85,54.32,52.50,52.79,125300,51.92
2014-05-20,54.16,54.89,53.19,53.56,105600,52.67
2014-05-19,54.32,54.83,53.93,54.42,44000,53.52
2014-05-16,53.52,54.51,53.33,54.51,55300,53.61
2014-05-15,54.31,54.38,53.53,54.04,60700,52.75
2014-05-14,54.47,55.76,53.56,54.71,114000,53.41
2014-05-13,55.55,55.55,54.41,54.47,93700,53.17
2014-05-12,54.35,55.81,54.35,55.63,101200,54.30
2014-05-09,53.63,54.34,52.41,54.11,95800,52.82
2014-05-08,55.94,56.08,53.82,53.96,98400,52.67
2014-05-07,55.22,56.12,54.92,55.89,68800,54.56
2014-05-06,55.65,56.52,54.65,55.05,76800,53.74
2014-05-05,55.82,57.35,55.32,55.94,96500,54.61
2014-05-02,56.13,57.22,56.12,56.20,82600,54.86
2014-05-01,56.12,56.70,55.50,55.92,123100,54.59
2014-04-30,56.00,56.63,55.27,56.44,132600,55.10
2014-04-29,50.96,58.40,50.96,56.28,513600,54.94
2014-04-28,51.65,52.90,51.12,51.69,119500,50.46
2014-04-25,51.39,52.09,51.13,51.33,120400,50.11
2014-04-24,52.33,52.70,51.04,51.71,139300,50.48
2014-04-23,52.37,52.62,51.84,51.94,192500,50.70
2014-04-22,52.86,52.86,52.09,52.34,206100,51.09
2014-04-21,52.86,52.90,51.95,52.72,119300,51.46
2014-04-17,52.25,53.26,52.13,52.93,129800,51.67
2014-04-16,53.06,53.27,52.18,52.24,94700,51.00
2014-04-15,52.90,53.20,51.90,52.75,64300,51.49
