Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,13.61,13.67,13.30,13.43,1339300,13.43
2014-12-05,13.60,13.74,13.48,13.70,681500,13.70
2014-12-04,13.47,13.58,13.38,13.57,1416100,13.57
2014-12-03,13.15,13.50,13.08,13.45,973000,13.45
2014-12-02,13.13,13.19,12.94,13.15,1079100,13.15
2014-12-01,13.08,13.31,12.98,13.08,785000,13.08
2014-11-28,13.48,13.48,13.09,13.11,298700,13.11
2014-11-26,13.01,13.46,12.91,13.43,577300,13.43
2014-11-25,13.08,13.18,12.87,12.98,676200,12.98
2014-11-24,13.02,13.28,12.92,13.07,818400,13.07
2014-11-21,12.72,13.11,12.57,12.99,1018400,12.99
2014-11-20,12.62,12.83,12.47,12.51,1094900,12.51
2014-11-19,12.79,12.95,12.61,12.73,794800,12.73
2014-11-18,12.71,13.35,12.53,12.86,2222600,12.86
2014-11-17,12.63,12.76,12.46,12.52,880800,12.52
2014-11-14,12.72,12.77,12.43,12.65,1031000,12.65
2014-11-13,13.07,13.21,12.78,12.83,757900,12.71
2014-11-12,13.09,13.21,12.85,13.03,746200,12.91
2014-11-11,12.83,13.19,12.65,13.14,954400,13.02
2014-11-10,12.87,13.05,12.68,12.84,1826800,12.72
2014-11-07,12.99,13.15,12.70,12.87,1906200,12.75
2014-11-06,13.32,13.51,13.01,13.03,1874100,12.91
2014-11-05,13.26,13.46,13.04,13.31,1103200,13.19
2014-11-04,13.18,13.50,12.96,13.16,1130800,13.04
2014-11-03,13.36,13.63,13.13,13.21,1318300,13.09
2014-10-31,13.02,13.48,12.84,13.29,1518000,13.17
2014-10-30,12.15,12.74,11.52,12.60,7657500,12.48
2014-10-29,14.12,14.27,13.75,14.08,1262500,13.95
2014-10-28,13.54,14.12,13.43,14.12,759600,13.99
2014-10-27,13.44,13.56,13.21,13.45,894400,13.32
2014-10-24,13.46,13.69,13.32,13.55,1010300,13.42
2014-10-23,13.07,13.50,12.99,13.41,1222400,13.28
2014-10-22,12.87,13.03,12.64,12.90,1527300,12.78
2014-10-21,12.45,12.82,12.35,12.80,873800,12.68
2014-10-20,12.22,12.51,12.14,12.34,1298000,12.22
2014-10-17,12.39,12.43,12.15,12.32,1270900,12.20
2014-10-16,11.44,12.19,11.44,12.16,1853400,12.05
2014-10-15,11.22,11.84,11.09,11.67,1944500,11.56
2014-10-14,11.78,11.92,11.45,11.49,1539000,11.38
2014-10-13,12.03,12.22,11.65,11.65,2000600,11.54
2014-10-10,12.93,12.95,11.72,12.00,4299500,11.89
2014-10-09,13.52,13.59,13.06,13.08,979800,12.96
2014-10-08,13.11,13.61,12.96,13.61,1330700,13.48
2014-10-07,13.36,13.55,13.13,13.14,1137500,13.02
2014-10-06,13.96,14.06,13.44,13.50,758900,13.37
2014-10-03,13.98,14.03,13.80,13.90,728200,13.77
2014-10-02,13.65,13.91,13.47,13.85,851200,13.72
2014-10-01,14.15,14.15,13.59,13.68,1304000,13.55
2014-09-30,14.65,14.65,14.21,14.21,975700,14.08
2014-09-29,14.48,14.78,14.40,14.67,821700,14.53
2014-09-26,14.62,14.70,14.45,14.66,793100,14.52
2014-09-25,14.96,15.02,14.44,14.56,1388900,14.42
2014-09-24,15.06,15.14,14.88,15.01,738800,14.87
2014-09-23,15.07,15.25,15.02,15.05,596100,14.91
2014-09-22,15.35,15.47,15.09,15.11,711200,14.97
2014-09-19,15.75,15.79,15.35,15.43,1057400,15.29
2014-09-18,15.69,15.85,15.56,15.71,1032300,15.56
2014-09-17,15.57,15.79,15.56,15.58,1124500,15.43
2014-09-16,15.44,15.69,15.44,15.60,1509300,15.45
2014-09-15,15.83,15.83,15.41,15.45,1046400,15.31
2014-09-12,15.89,15.89,15.63,15.75,1018700,15.60
2014-09-11,15.58,15.95,15.56,15.94,907800,15.79
2014-09-10,15.57,15.71,15.37,15.64,861000,15.49
2014-09-09,15.57,15.74,15.39,15.61,1084300,15.46
2014-09-08,15.83,15.86,15.47,15.62,1200100,15.47
2014-09-05,15.34,15.82,15.30,15.82,1184400,15.67
2014-09-04,15.49,15.65,15.31,15.46,1295200,15.32
2014-09-03,15.38,15.60,15.27,15.54,1793800,15.39
2014-09-02,15.00,15.42,14.91,15.39,1625600,15.25
2014-08-29,14.66,15.07,14.66,15.05,1149800,14.91
2014-08-28,14.27,14.67,14.13,14.60,1087200,14.46
2014-08-27,14.47,14.49,14.22,14.30,486400,14.17
2014-08-26,14.40,14.57,14.25,14.42,921100,14.29
2014-08-25,14.36,14.45,14.22,14.37,1163400,14.24
2014-08-22,14.06,14.37,13.80,14.29,950200,14.16
2014-08-21,13.90,14.09,13.82,14.05,753500,13.92
2014-08-20,13.39,14.13,13.39,13.93,2266700,13.80
2014-08-19,13.45,13.56,13.34,13.39,708700,13.26
2014-08-18,13.34,13.45,13.18,13.45,534600,13.32
2014-08-15,13.25,13.31,12.99,13.23,678200,13.11
2014-08-14,13.60,13.69,13.20,13.24,636000,13.00
2014-08-13,13.43,13.65,13.37,13.58,507200,13.33
2014-08-12,13.46,13.59,13.26,13.40,889300,13.15
2014-08-11,13.35,13.62,13.21,13.51,429400,13.26
2014-08-08,13.23,13.37,13.11,13.29,623800,13.05
2014-08-07,13.53,13.67,13.13,13.22,855300,12.98
2014-08-06,13.31,13.59,13.24,13.47,735400,13.22
2014-08-05,13.30,13.57,13.18,13.40,1013800,13.15
2014-08-04,13.58,13.58,12.90,13.40,1529000,13.15
2014-08-01,12.86,13.68,12.86,13.49,1968000,13.24
2014-07-31,13.10,13.43,12.63,12.83,2394500,12.59
2014-07-30,13.71,14.05,13.63,14.04,1388500,13.78
2014-07-29,13.69,13.95,13.62,13.63,897800,13.38
2014-07-28,13.66,13.79,13.47,13.69,672000,13.44
