Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,50.85,50.85,50.85,50.85,100,50.85
2014-12-05,50.86,50.87,50.80,50.87,2400,50.87
2014-12-04,50.36,50.51,50.36,50.49,700,50.49
2014-12-03,50.66,50.66,50.45,50.55,700,50.55
2014-12-02,50.52,50.52,50.52,50.52,000,50.52
2014-12-01,50.50,50.62,50.50,50.52,1500,50.52
2014-11-28,50.55,50.64,50.54,50.64,500,50.64
2014-11-26,50.08,50.49,50.08,50.49,800,50.49
2014-11-25,50.60,50.60,50.15,50.25,1700,50.25
2014-11-24,50.66,50.66,50.66,50.66,100,50.66
2014-11-21,50.60,50.60,50.60,50.60,200,50.60
2014-11-20,50.64,50.64,50.64,50.64,100,50.64
2014-11-19,50.65,50.65,50.56,50.65,900,50.65
2014-11-18,50.53,50.53,50.53,50.53,000,50.53
2014-11-17,50.53,50.53,50.53,50.53,100,50.53
2014-11-14,50.47,50.49,50.47,50.49,1900,50.49
2014-11-13,50.40,50.40,50.39,50.39,900,50.39
2014-11-12,50.00,50.00,50.00,50.00,400,50.00
2014-11-11,50.00,50.00,50.00,50.00,300,50.00
2014-11-10,50.22,50.22,50.22,50.22,000,50.22
2014-11-07,50.22,50.22,50.22,50.22,100,50.22
2014-11-06,50.18,50.22,50.18,50.22,200,50.22
2014-11-05,50.23,50.23,50.23,50.23,100,50.23
2014-11-04,49.98,49.98,49.94,49.94,300,49.94
2014-11-03,50.04,50.04,50.04,50.04,100,50.04
2014-10-31,49.77,49.77,49.77,49.77,100,49.77
2014-10-30,49.26,49.26,49.25,49.26,1000,49.26
2014-10-29,49.10,49.10,49.10,49.10,000,49.10
2014-10-28,49.10,49.10,49.10,49.10,000,49.10
2014-10-27,49.31,49.31,49.10,49.10,400,49.10
2014-10-24,48.90,48.90,48.90,48.90,000,48.90
2014-10-23,48.90,48.90,48.90,48.90,000,48.90
2014-10-22,48.90,48.90,48.90,48.90,000,48.90
2014-10-21,48.90,48.90,48.90,48.90,000,48.90
2014-10-20,48.90,48.90,48.90,48.90,100,48.90
2014-10-17,48.80,48.80,48.80,48.80,000,48.80
2014-10-16,48.80,48.80,48.80,48.80,100,48.80
2014-10-15,48.91,48.93,48.62,48.72,26600,48.72
2014-10-14,49.29,49.29,49.29,49.29,300,49.29
2014-10-13,49.48,49.48,49.48,49.48,000,49.48
2014-10-10,49.48,49.48,49.48,49.48,000,49.48
2014-10-09,49.48,49.48,49.48,49.48,000,49.48
2014-10-08,49.48,49.48,49.48,49.48,000,49.48
