Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,9.30,9.40,9.10,9.11,198000,9.11
2014-12-05,9.19,9.48,9.06,9.27,132200,9.27
2014-12-04,8.98,9.39,8.84,9.21,185300,9.21
2014-12-03,9.03,9.20,8.92,8.96,328800,8.96
2014-12-02,9.10,9.27,9.04,9.10,121400,9.10
2014-12-01,9.33,9.39,9.07,9.16,175700,9.16
2014-11-28,9.58,9.83,9.34,9.39,74800,9.39
2014-11-26,9.65,9.81,9.57,9.58,88900,9.58
2014-11-25,9.90,9.98,9.71,9.72,106900,9.72
2014-11-24,9.80,9.99,9.75,9.85,144400,9.85
2014-11-21,9.98,10.06,9.64,9.71,109400,9.71
2014-11-20,9.75,9.93,9.67,9.78,94500,9.78
2014-11-19,9.98,10.18,9.70,9.80,148400,9.80
2014-11-18,10.05,10.48,10.01,10.13,240400,10.13
2014-11-17,9.61,10.03,9.61,9.94,256500,9.94
2014-11-14,9.82,9.95,9.60,9.66,182100,9.66
2014-11-13,9.65,9.89,9.65,9.76,122900,9.76
2014-11-12,9.51,9.67,9.35,9.62,221000,9.62
2014-11-11,10.00,10.05,9.70,9.77,184300,9.77
2014-11-10,10.08,10.46,9.75,10.00,255000,10.00
2014-11-07,10.55,11.37,9.91,10.00,297500,10.00
2014-11-06,11.50,11.50,10.35,10.42,328700,10.42
2014-11-05,12.77,12.90,11.47,11.50,281300,11.50
2014-11-04,12.93,13.28,12.53,12.62,174200,12.62
2014-11-03,13.60,13.85,12.85,12.89,173200,12.89
2014-10-31,18.70,18.70,17.90,17.98,218300,14.04
2014-10-30,18.29,18.39,17.64,18.28,164000,14.27
2014-10-29,17.99,18.45,17.85,18.30,186300,14.29
2014-10-28,17.09,17.90,17.08,17.86,221500,13.94
2014-10-27,16.51,16.89,16.45,16.87,82500,13.17
2014-10-24,16.58,16.77,16.10,16.52,67000,12.90
2014-10-23,16.60,16.87,16.52,16.62,126400,12.97
2014-10-22,16.68,16.72,16.44,16.47,110400,12.86
2014-10-21,16.40,16.66,16.34,16.48,148200,12.86
2014-10-20,16.23,16.50,16.06,16.31,176500,12.73
2014-10-17,16.63,16.63,16.01,16.14,161000,12.60
2014-10-16,16.00,16.70,16.00,16.38,182400,12.79
2014-10-15,16.40,16.71,16.00,16.35,222000,12.76
2014-10-14,15.98,16.90,15.91,16.34,203400,12.76
2014-10-13,15.50,16.07,15.50,15.75,138100,12.30
2014-10-10,15.23,15.75,15.23,15.32,140700,11.96
2014-10-09,15.77,15.85,15.11,15.15,263800,11.83
2014-10-08,15.07,15.75,15.07,15.73,162900,12.28
2014-10-07,14.76,15.21,14.75,15.11,79900,11.80
2014-10-06,14.95,15.19,14.80,14.89,110900,11.62
2014-10-03,15.06,15.27,14.93,14.96,106200,11.68
2014-10-02,14.71,15.05,14.63,14.90,104500,11.63
2014-10-01,15.06,15.08,14.56,14.74,189700,11.51
2014-09-30,15.51,15.55,15.04,15.05,358400,11.75
2014-09-29,15.16,15.72,15.16,15.46,121600,12.07
2014-09-26,14.88,15.43,14.88,15.37,136600,12.00
2014-09-25,14.71,14.98,14.51,14.78,116300,11.54
2014-09-24,14.89,15.12,14.42,14.71,94000,11.48
2014-09-23,15.18,15.27,14.75,14.80,126100,11.55
2014-09-22,15.68,15.68,15.20,15.21,112100,11.83
2014-09-19,15.46,15.78,15.32,15.69,265600,12.21
2014-09-18,15.47,15.61,15.26,15.41,83500,11.99
2014-09-17,15.83,15.91,15.30,15.45,82100,12.02
2014-09-16,15.19,15.84,15.16,15.78,101500,12.28
2014-09-15,15.65,15.82,15.16,15.20,99700,11.83
2014-09-12,16.25,16.26,15.56,15.72,138200,12.23
