Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,53.64,54.19,53.24,53.81,498700,53.81
2014-12-05,53.55,53.87,53.22,53.62,460800,53.62
2014-12-04,53.49,53.74,53.16,53.35,590400,53.35
2014-12-03,53.29,53.71,53.16,53.55,473400,53.55
2014-12-02,52.84,53.70,52.84,53.18,560200,53.18
2014-12-01,53.00,53.22,52.80,52.80,420900,52.80
2014-11-28,53.24,53.48,53.14,53.29,217500,53.29
2014-11-26,53.00,53.45,52.82,53.29,399800,53.29
2014-11-25,53.37,53.79,52.80,52.90,1484800,52.90
2014-11-24,53.62,53.74,53.18,53.26,708400,53.26
2014-11-21,53.75,54.00,53.05,53.41,809700,53.41
2014-11-20,52.91,53.44,52.91,53.21,447600,53.21
2014-11-19,53.02,53.50,52.51,53.16,542300,53.16
2014-11-18,52.72,53.27,52.67,52.99,1793800,52.99
2014-11-17,52.61,53.00,52.43,52.76,821000,52.76
2014-11-14,52.56,52.96,52.43,52.55,602100,52.55
2014-11-13,52.68,52.96,52.41,52.56,753600,52.56
2014-11-12,51.98,52.75,51.94,52.62,789400,52.62
2014-11-11,52.05,52.35,51.76,52.32,566200,52.32
2014-11-10,51.77,52.25,51.37,52.05,554000,52.05
2014-11-07,51.40,51.98,51.15,51.80,614300,51.80
2014-11-06,51.29,51.98,50.71,51.35,880000,51.35
2014-11-05,50.50,51.67,50.31,51.38,1195400,51.38
2014-11-04,51.77,51.94,50.23,50.29,1723300,50.29
2014-11-03,51.79,52.11,51.62,51.98,836200,51.98
2014-10-31,51.90,51.92,51.30,51.65,584200,51.65
2014-10-30,50.79,51.31,50.69,51.27,356100,51.27
2014-10-29,51.15,51.46,50.77,51.03,997100,51.03
2014-10-28,50.38,51.16,50.23,51.15,1298500,51.15
2014-10-27,49.91,50.62,49.87,50.26,723000,50.26
2014-10-24,50.01,50.28,49.79,50.14,427300,50.14
2014-10-23,49.74,50.30,49.31,50.04,480000,50.04
2014-10-22,49.77,50.14,49.24,49.34,841500,49.34
2014-10-21,49.25,50.16,49.19,49.77,1273000,49.77
2014-10-20,48.44,49.00,47.99,48.98,980600,48.98
2014-10-17,48.90,49.45,48.32,48.60,1305600,48.60
2014-10-16,46.89,48.48,46.83,48.39,2426100,48.39
2014-10-15,45.20,47.89,43.39,47.55,3897600,47.55
2014-10-14,46.44,46.70,45.57,45.71,967100,45.71
2014-10-13,46.71,46.97,45.98,46.15,910400,46.15
2014-10-10,47.52,47.88,46.63,46.65,560300,46.65
2014-10-09,48.39,48.63,47.17,47.42,632800,47.42
2014-10-08,48.21,48.69,47.57,48.61,751900,48.61
2014-10-07,48.86,48.89,48.15,48.15,701500,48.15
2014-10-06,49.33,49.57,48.99,49.22,533700,49.22
2014-10-03,48.54,49.43,48.44,49.15,553500,49.15
2014-10-02,48.38,48.58,47.45,48.29,704900,48.29
2014-10-01,49.24,49.24,48.45,48.47,965600,48.47
2014-09-30,49.51,49.61,48.99,49.25,998900,49.25
2014-09-29,49.01,49.34,48.73,49.30,698700,49.30
2014-09-26,48.92,49.47,48.78,49.30,951500,49.30
2014-09-25,49.10,49.15,48.37,48.77,800800,48.77
2014-09-24,49.07,49.17,48.54,49.14,942000,49.14
2014-09-23,49.69,49.89,49.01,49.01,1896600,49.01
2014-09-22,50.15,50.35,49.70,49.81,1148700,49.81
2014-09-19,50.74,50.79,50.09,50.30,3354000,50.30
2014-09-18,50.50,50.78,50.26,50.47,698800,50.47
2014-09-17,51.22,51.57,51.22,51.30,883500,50.47
2014-09-16,51.27,51.28,50.99,51.25,742800,50.42
2014-09-15,51.37,51.79,50.98,51.20,906800,50.37
2014-09-12,52.07,52.11,51.16,51.44,904700,50.61
2014-09-11,51.56,52.40,51.56,52.00,841000,51.16
2014-09-10,52.28,52.50,51.36,51.60,1416700,50.77
2014-09-09,52.84,53.01,52.45,52.61,668100,51.76
2014-09-08,52.78,53.16,52.70,53.00,1167600,52.14
2014-09-05,52.19,52.86,51.89,52.82,1597500,51.97
2014-09-04,52.73,52.90,52.18,52.23,972500,51.38
2014-09-03,52.98,52.98,52.26,52.62,944400,51.77
2014-09-02,52.53,52.75,52.08,52.71,1204600,51.86
2014-08-29,52.38,52.53,51.96,52.48,459500,51.63
2014-08-28,52.05,52.40,51.99,52.20,460700,51.36
2014-08-27,52.39,52.51,52.23,52.37,944700,51.52
2014-08-26,52.03,52.40,51.97,52.25,880800,51.40
2014-08-25,52.05,52.06,51.74,52.02,918800,51.18
2014-08-22,51.76,52.06,51.54,51.75,1451100,50.91
2014-08-21,51.41,51.76,51.21,51.70,1680100,50.86
2014-08-20,51.33,51.61,51.00,51.45,3237300,50.62
2014-08-19,51.37,51.56,51.24,51.38,1445700,50.55
2014-08-18,51.29,51.50,51.19,51.25,943800,50.42
2014-08-15,51.33,51.39,50.49,51.01,1013000,50.18
2014-08-14,50.98,51.22,50.72,51.05,1545700,50.22
2014-08-13,51.06,51.39,50.61,50.87,1165100,50.05
2014-08-12,50.86,51.12,50.58,50.74,726900,49.92
2014-08-11,50.60,51.14,50.60,50.95,1566400,50.13
2014-08-08,49.75,50.56,49.67,50.49,2756300,49.67
2014-08-07,50.35,50.56,49.34,49.70,3251600,48.90
2014-08-06,50.53,50.58,49.99,50.07,1683000,49.26
2014-08-05,50.84,50.94,50.56,50.72,1228300,49.90
2014-08-04,50.42,50.92,50.33,50.91,1256400,50.09
2014-08-01,50.14,50.38,50.01,50.31,1799100,49.50
2014-07-31,50.99,51.02,50.10,50.15,1344300,49.34
2014-07-30,51.32,51.54,50.82,51.14,1727400,50.31
