Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,53.75,54.04,53.64,53.90,291500,53.90
2014-12-05,53.62,54.47,53.48,53.90,621600,53.90
2014-12-04,53.10,53.76,53.06,53.71,611700,53.71
2014-12-03,53.75,54.36,53.39,53.46,405400,53.46
2014-12-02,54.05,54.41,53.51,54.16,627600,54.16
2014-12-01,54.42,54.72,53.77,53.78,559300,53.78
2014-11-28,54.02,54.74,53.94,54.40,170400,54.40
2014-11-26,54.74,54.74,53.31,54.01,292800,54.01
2014-11-25,52.78,54.04,51.73,53.74,731100,53.74
2014-11-24,51.85,52.74,51.44,52.67,307500,52.67
2014-11-21,51.79,52.02,51.10,51.54,501200,51.54
2014-11-20,49.70,51.71,49.70,51.14,477400,51.14
2014-11-19,48.46,50.72,48.46,50.63,266700,50.63
2014-11-18,47.90,49.27,47.59,48.92,327900,48.92
2014-11-17,48.45,48.87,47.32,48.47,383000,48.47
2014-11-14,48.31,48.76,47.15,47.88,1149200,47.88
2014-11-13,46.49,48.58,45.64,48.15,1324400,48.15
2014-11-12,44.19,47.01,44.08,46.71,1710300,46.71
2014-11-11,45.44,46.35,44.56,45.15,2278100,45.15
2014-11-10,49.19,49.54,46.49,46.66,1163800,46.66
2014-11-07,49.50,50.08,48.99,49.38,1176500,49.38
2014-11-06,51.49,51.49,48.76,49.47,1415100,49.47
2014-11-05,47.03,51.89,47.03,50.96,4654200,50.96
