Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.00,25.00,25.00,25.00,000,25.00
2014-12-05,25.00,25.00,25.00,25.00,1000,25.00
2014-12-04,25.05,25.05,25.05,25.05,700,25.05
2014-12-03,25.09,25.09,25.09,25.09,000,25.09
2014-12-02,25.09,25.09,25.09,25.09,000,25.09
2014-12-01,25.09,25.09,25.09,25.09,100,25.09
2014-11-28,25.09,25.09,25.09,25.09,000,25.09
2014-11-26,25.09,25.09,25.09,25.09,000,25.09
2014-11-25,25.09,25.09,25.09,25.09,000,25.09
2014-11-24,25.09,25.09,25.09,25.09,000,25.09
2014-11-21,25.09,25.09,25.09,25.09,000,25.09
2014-11-20,25.09,25.09,25.09,25.09,000,25.09
2014-11-19,25.09,25.09,25.09,25.09,000,25.09
2014-11-18,25.09,25.09,25.09,25.09,200,25.09
2014-11-17,25.09,25.09,25.09,25.09,000,25.09
2014-11-14,25.09,25.09,25.09,25.09,000,25.09
2014-11-13,25.09,25.09,25.09,25.09,000,25.07
2014-11-12,25.09,25.09,25.09,25.09,1100,25.07
2014-11-11,25.10,25.10,25.09,25.09,900,25.06
2014-11-10,25.08,25.08,25.08,25.08,000,25.06
2014-11-07,25.09,25.09,25.08,25.08,1500,25.06
2014-11-06,25.07,25.07,25.07,25.07,000,25.05
2014-11-05,25.10,25.10,25.07,25.07,300,25.05
2014-11-04,25.08,25.11,25.05,25.10,1000,25.08
2014-11-03,25.09,25.09,25.09,25.09,200,25.07
2014-10-31,25.08,25.08,25.07,25.07,1100,25.05
2014-10-30,25.10,25.10,25.10,25.10,2000,25.08
2014-10-29,25.12,25.13,25.12,25.13,1500,25.11
2014-10-28,25.08,25.08,25.08,25.08,000,25.05
2014-10-27,25.08,25.08,25.08,25.08,000,25.05
2014-10-24,25.08,25.08,25.08,25.08,000,25.05
2014-10-23,25.08,25.08,25.08,25.08,000,25.05
2014-10-22,25.14,25.14,25.08,25.08,1100,25.05
2014-10-21,25.15,25.15,25.01,25.01,900,24.99
2014-10-20,25.22,25.22,25.22,25.22,300,25.20
2014-10-17,24.00,25.18,24.00,25.18,7800,25.16
2014-10-16,25.20,25.24,25.15,25.21,3500,25.19
2014-10-15,25.22,25.22,25.21,25.21,500,25.19
2014-10-14,25.43,25.43,25.20,25.20,20500,25.15
2014-10-13,25.25,25.40,25.25,25.39,2500,25.34
2014-10-10,25.23,25.23,25.14,25.19,10500,25.14
2014-10-09,25.51,25.51,25.30,25.30,200,25.25
2014-10-08,25.20,25.21,25.20,25.21,8200,25.16
2014-10-07,25.19,25.19,25.19,25.19,000,25.14
2014-10-06,25.19,25.19,25.19,25.19,2100,25.14
2014-10-03,25.20,25.20,25.15,25.15,2100,25.10
2014-10-02,25.21,25.21,25.10,25.10,2100,25.05
2014-10-01,25.08,25.08,25.08,25.08,1700,25.03
2014-09-30,25.05,25.05,25.05,25.05,300,25.00
2014-09-29,25.16,25.16,25.08,25.08,8900,25.03
2014-09-26,25.10,25.10,25.07,25.07,300,25.02
2014-09-25,25.00,25.09,25.00,25.09,4100,25.04
2014-09-24,25.30,25.30,25.06,25.06,9000,25.01
2014-09-23,25.28,25.28,25.28,25.28,100,25.23
2014-09-22,25.27,25.27,25.27,25.27,700,25.22
2014-09-19,25.27,25.27,25.21,25.26,2000,25.21
2014-09-18,25.09,25.22,25.02,25.22,1800,25.17
2014-09-17,25.10,25.10,25.10,25.10,1300,25.05
2014-09-16,25.10,25.10,25.10,25.10,200,25.05
2014-09-15,25.05,25.05,25.05,25.05,000,25.00
2014-09-12,25.05,25.05,25.05,25.05,600,25.00
2014-09-11,25.08,25.08,25.03,25.03,1100,24.98
2014-09-10,24.98,25.03,24.98,25.03,500,24.98
