Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,18.54,18.56,15.53,16.64,242700,16.64
2014-12-05,18.95,18.95,18.54,18.86,80100,18.86
2014-12-04,18.78,19.23,18.78,18.95,80000,18.95
2014-12-03,19.00,19.66,18.63,18.81,132900,18.81
2014-12-02,19.10,19.49,18.48,19.08,189400,19.08
2014-12-01,19.94,19.99,19.05,19.10,131100,19.10
2014-11-28,20.88,21.29,20.04,20.21,86200,20.21
2014-11-26,21.92,22.15,21.57,21.61,48300,21.61
2014-11-25,22.38,22.39,21.91,22.05,131200,21.88
2014-11-24,22.25,22.70,22.15,22.25,149300,22.08
2014-11-21,21.96,22.39,21.95,22.05,50400,21.88
2014-11-20,21.63,22.29,21.63,21.95,52900,21.78
2014-11-19,21.80,22.28,21.65,21.65,73700,21.49
2014-11-18,21.91,21.95,21.55,21.77,62000,21.61
2014-11-17,21.95,22.32,21.90,21.90,59100,21.73
2014-11-14,21.90,22.19,21.72,21.90,59900,21.73
2014-11-13,22.36,22.55,21.79,21.80,35800,21.63
2014-11-12,22.78,22.79,22.17,22.27,38000,22.10
2014-11-11,22.80,23.10,22.47,22.59,17100,22.42
2014-11-10,23.15,23.18,22.72,22.82,21900,22.65
2014-11-07,22.80,23.18,22.80,23.06,24600,22.89
2014-11-06,22.91,23.04,22.53,22.72,30800,22.55
2014-11-05,22.84,23.16,22.34,23.16,38200,22.98
2014-11-04,23.16,23.16,22.75,22.75,28100,22.58
2014-11-03,23.32,23.49,23.16,23.16,71800,22.98
2014-10-31,23.50,23.51,22.88,23.05,40400,22.88
2014-10-30,23.68,23.91,23.29,23.34,23100,23.16
2014-10-29,23.60,23.90,23.56,23.56,78500,23.22
2014-10-28,23.75,23.99,23.58,23.63,15700,23.28
2014-10-27,23.90,24.05,23.60,23.70,25700,23.35
2014-10-24,24.04,24.07,23.83,23.99,21900,23.64
2014-10-23,23.99,24.11,23.96,24.04,41400,23.69
2014-10-22,23.87,24.15,23.80,23.87,49100,23.52
2014-10-21,23.77,23.88,23.69,23.87,40500,23.52
2014-10-20,23.58,23.71,23.45,23.65,30600,23.30
2014-10-17,23.20,23.69,23.10,23.29,68300,22.95
2014-10-16,22.16,23.39,21.95,22.91,60100,22.58
2014-10-15,22.50,22.50,21.83,22.32,68000,21.99
2014-10-14,23.15,23.44,22.04,22.56,62500,22.23
2014-10-13,23.83,23.92,23.11,23.15,59700,22.81
2014-10-10,24.48,24.48,23.57,23.61,111000,23.27
2014-10-09,24.46,24.53,24.31,24.31,56700,23.95
2014-10-08,24.58,24.58,24.36,24.55,60400,24.19
2014-10-07,24.54,24.61,24.53,24.53,33600,24.17
2014-10-06,24.69,24.73,24.54,24.56,31000,24.20
2014-10-03,24.76,24.77,24.60,24.61,143900,24.25
2014-10-02,24.69,24.74,24.61,24.68,25000,24.32
2014-10-01,24.65,24.75,24.61,24.70,35600,24.34
2014-09-30,24.68,24.68,24.60,24.66,28300,24.30
2014-09-29,24.71,24.78,24.54,24.70,45800,24.34
2014-09-26,24.67,24.87,24.67,24.83,35600,24.30
2014-09-25,24.74,24.75,24.68,24.74,16200,24.21
2014-09-24,24.75,24.75,24.53,24.74,80300,24.21
2014-09-23,24.72,24.80,24.50,24.74,34400,24.22
2014-09-22,24.87,24.87,24.65,24.67,12900,24.15
2014-09-19,24.79,24.85,24.74,24.76,39200,24.23
2014-09-18,24.89,24.89,24.70,24.79,28700,24.26
2014-09-17,24.75,24.86,24.64,24.72,53200,24.20
2014-09-16,24.60,24.74,24.47,24.62,43700,24.10
2014-09-15,24.75,24.75,24.48,24.59,33800,24.07
2014-09-12,24.75,24.84,24.53,24.60,44900,24.08
2014-09-11,24.60,24.89,24.60,24.76,29700,24.23
2014-09-10,24.80,24.86,24.66,24.74,35500,24.21
2014-09-09,24.80,24.93,24.80,24.83,15800,24.30
2014-09-08,24.86,24.93,24.73,24.78,14200,24.25
2014-09-05,24.73,24.94,24.73,24.87,30800,24.34
2014-09-04,24.94,24.94,24.75,24.78,34000,24.25
2014-09-03,25.00,25.00,24.90,24.93,37300,24.40
2014-09-02,25.08,25.08,24.88,24.88,38200,24.35
2014-08-29,25.05,25.08,25.02,25.07,24200,24.54
2014-08-28,25.01,25.04,24.90,24.99,84500,24.46
2014-08-27,25.04,25.08,25.01,25.04,69600,24.34
2014-08-26,25.07,25.07,24.98,25.01,44600,24.32
2014-08-25,24.98,25.07,24.97,25.00,53500,24.31
2014-08-22,24.99,25.02,24.95,24.95,38800,24.26
2014-08-21,24.96,24.98,24.91,24.98,52900,24.29
2014-08-20,24.98,24.98,24.90,24.94,37000,24.25
2014-08-19,24.90,24.97,24.88,24.93,51800,24.24
2014-08-18,24.90,24.95,24.84,24.91,30300,24.21
2014-08-15,24.83,24.87,24.77,24.83,18000,24.14
2014-08-14,24.90,24.90,24.82,24.86,28900,24.17
2014-08-13,24.84,24.89,24.80,24.87,26000,24.18
2014-08-12,24.77,24.83,24.70,24.81,57000,24.12
2014-08-11,24.84,24.84,24.70,24.77,24800,24.08
2014-08-08,24.68,24.75,24.63,24.74,57800,24.05
2014-08-07,24.62,24.69,24.60,24.67,55300,23.99
2014-08-06,24.57,24.60,24.46,24.59,112700,23.91
2014-08-05,24.50,24.58,24.42,24.53,94500,23.85
2014-08-04,24.65,24.67,24.33,24.49,70000,23.81
2014-08-01,24.62,24.67,24.33,24.63,56900,23.95
2014-07-31,24.78,24.78,24.41,24.56,108800,23.88
2014-07-30,24.87,24.87,24.76,24.80,61900,24.11
2014-07-29,24.85,24.97,24.85,24.97,68800,24.11
2014-07-28,24.90,24.90,24.80,24.88,60200,24.03
2014-07-25,24.87,24.89,24.83,24.85,44700,24.00
2014-07-24,24.83,24.89,24.82,24.86,83200,24.01
2014-07-23,24.86,24.91,24.83,24.87,114100,24.02
2014-07-22,24.94,24.94,24.84,24.85,175900,24.00
2014-07-21,24.91,24.94,24.91,24.92,23600,24.07
2014-07-18,24.98,24.99,24.85,24.89,459300,24.04
2014-07-17,24.98,25.04,24.88,24.94,94000,24.09
2014-07-16,25.03,25.03,24.94,24.98,186000,24.12
2014-07-15,25.01,25.01,24.93,24.98,67000,24.12
2014-07-14,25.05,25.07,24.98,24.98,79000,24.12
2014-07-11,25.04,25.05,24.99,25.02,104100,24.16
2014-07-10,25.07,25.10,25.00,25.03,84500,24.17
2014-07-09,25.05,25.08,25.00,25.08,173300,24.22
2014-07-08,25.04,25.09,25.02,25.05,110000,24.19
2014-07-07,24.97,25.04,24.95,25.04,263100,24.18
2014-07-03,24.96,24.96,23.07,24.90,46200,24.05
2014-07-02,24.93,24.96,24.78,24.95,186500,24.10
2014-07-01,24.81,24.95,24.80,24.93,153400,24.08
2014-06-30,24.95,24.95,24.80,24.80,132800,23.95
2014-06-27,24.95,24.95,24.85,24.93,203800,24.08
2014-06-26,24.95,24.97,24.90,24.95,254100,23.95
2014-06-25,24.95,24.99,24.88,24.88,357600,23.88
2014-06-24,24.95,25.00,24.75,24.95,367800,23.95
2014-06-23,24.88,24.95,24.85,24.90,141300,23.90
2014-06-20,24.85,24.90,24.75,24.85,129100,23.85
2014-06-19,24.85,24.87,24.70,24.85,110000,23.85
2014-06-18,24.77,24.84,24.70,24.80,393200,23.80
2014-06-17,24.70,24.79,24.60,24.76,594400,23.76
2014-06-16,24.80,24.81,24.58,24.75,645900,23.75
2014-06-13,24.76,24.87,24.61,24.75,640900,23.75
2014-06-12,24.80,24.80,24.53,24.75,770400,23.75
