Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,19.57,19.57,16.91,17.52,89300,17.52
2014-12-05,19.75,19.75,19.30,19.37,7700,19.37
2014-12-04,19.55,19.95,19.50,19.91,16100,19.91
2014-12-03,19.58,19.96,19.48,19.70,25600,19.70
2014-12-02,19.66,20.38,18.77,19.31,73600,19.31
2014-12-01,24.38,24.38,19.11,19.11,30200,19.11
2014-11-28,21.81,21.81,20.88,20.96,12400,20.96
2014-11-26,22.30,22.37,21.90,22.00,15900,22.00
2014-11-25,22.74,22.74,22.25,22.25,4900,22.08
2014-11-24,22.56,22.60,22.36,22.41,6200,22.24
2014-11-21,22.70,22.70,22.15,22.25,11900,22.08
2014-11-20,22.03,22.39,21.95,22.39,22900,22.22
2014-11-19,22.50,22.50,21.98,21.98,10600,21.82
2014-11-18,22.47,22.56,22.10,22.26,13900,22.09
2014-11-17,22.42,22.90,22.40,22.40,10300,22.23
2014-11-14,22.55,22.84,22.24,22.24,9600,22.07
2014-11-13,23.00,23.00,22.28,22.40,10100,22.23
2014-11-12,23.39,23.47,23.10,23.10,8900,22.93
2014-11-11,23.38,23.60,23.38,23.39,4400,23.21
2014-11-10,23.75,23.75,23.42,23.55,4500,23.37
2014-11-07,23.75,23.77,23.51,23.51,2300,23.33
2014-11-06,23.41,23.73,23.35,23.50,5100,23.32
2014-11-05,23.52,23.75,23.40,23.48,6500,23.30
2014-11-04,23.86,23.92,23.12,23.36,17400,23.18
2014-11-03,23.81,23.86,23.62,23.86,4200,23.68
2014-10-31,23.95,23.95,23.07,23.30,4200,23.13
2014-10-30,23.89,23.89,23.63,23.63,5100,23.45
2014-10-29,24.20,24.20,23.94,24.14,4000,23.79
2014-10-28,24.20,24.20,24.00,24.00,10100,23.66
2014-10-27,24.38,24.38,23.92,24.08,7500,23.73
2014-10-24,24.32,24.38,24.25,24.32,5000,23.97
2014-10-23,24.37,24.38,24.18,24.25,4100,23.90
2014-10-22,24.40,24.50,24.15,24.21,4200,23.86
2014-10-21,24.30,24.35,23.95,24.35,9200,24.00
2014-10-20,23.12,24.35,23.11,23.76,9700,23.42
2014-10-17,23.40,23.92,23.40,23.63,18900,23.29
2014-10-16,22.51,23.57,22.25,22.98,21600,22.65
2014-10-15,22.40,22.54,21.66,22.54,20500,22.21
2014-10-14,23.11,23.33,22.07,22.50,33000,22.18
2014-10-13,23.48,23.89,23.12,23.12,17800,22.79
2014-10-10,24.32,24.50,23.55,23.86,34800,23.52
2014-10-09,24.98,24.98,24.24,24.39,69300,24.04
2014-10-08,25.01,25.01,24.90,25.00,3900,24.64
2014-10-07,24.88,24.95,24.82,24.90,12700,24.54
2014-10-06,25.16,25.16,24.94,24.95,15600,24.59
2014-10-03,25.11,25.28,25.01,25.03,15000,24.67
2014-10-02,25.16,25.38,25.10,25.30,33800,24.94
2014-10-01,25.13,25.47,25.13,25.21,22100,24.85
2014-09-30,25.19,25.20,25.14,25.14,5200,24.78
2014-09-29,25.39,25.40,25.06,25.06,3700,24.70
2014-09-26,25.23,25.47,25.21,25.21,3800,24.68
2014-09-25,25.04,25.50,25.04,25.50,4700,24.97
2014-09-24,25.25,25.25,25.02,25.20,10100,24.67
2014-09-23,25.09,25.29,25.09,25.22,28900,24.69
2014-09-22,25.39,25.39,25.12,25.12,2200,24.59
2014-09-19,25.35,25.40,25.20,25.40,32700,24.87
2014-09-18,25.40,25.40,25.40,25.40,700,24.87
2014-09-17,25.20,25.36,25.20,25.36,2500,24.83
2014-09-16,25.53,25.53,25.09,25.20,5300,24.67
2014-09-15,25.03,25.58,25.03,25.47,2200,24.94
2014-09-12,25.44,25.44,25.20,25.20,4300,24.67
2014-09-11,25.30,25.30,25.17,25.18,7500,24.65
2014-09-10,25.35,25.36,25.29,25.30,15800,24.77
2014-09-09,25.35,25.43,25.27,25.35,5800,24.82
2014-09-08,25.51,25.51,25.32,25.32,1400,24.79
2014-09-05,25.47,25.48,25.31,25.48,1700,24.94
2014-09-04,25.41,25.43,25.31,25.31,14200,24.78
2014-09-03,25.55,25.55,25.52,25.52,200,24.99
2014-09-02,27.00,27.00,25.55,25.59,4800,25.06
2014-08-29,25.63,25.63,25.32,25.55,2200,25.02
2014-08-28,25.63,25.63,25.24,25.62,2800,25.08
2014-08-27,25.60,25.60,25.44,25.60,7100,24.90
2014-08-26,25.60,25.60,25.37,25.38,4400,24.69
2014-08-25,25.60,25.60,25.39,25.50,8500,24.80
