Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,16.20,16.30,14.09,14.74,7445900,14.74
2014-12-05,17.00,17.20,16.45,16.52,2870700,16.52
2014-12-04,18.10,18.20,17.00,17.05,3364800,17.05
2014-12-03,17.15,18.65,17.14,18.25,3386300,18.25
2014-12-02,17.04,17.55,16.71,17.27,4591400,17.27
2014-12-01,18.05,18.15,15.89,16.69,10127400,16.69
2014-11-28,20.51,20.86,18.10,18.25,5905700,18.25
2014-11-26,22.64,22.70,21.55,21.95,3166900,21.95
2014-11-25,23.00,23.31,22.51,22.73,2219800,22.73
2014-11-24,23.58,23.60,22.77,23.03,1998100,23.03
2014-11-21,23.80,24.23,23.18,23.54,2444900,23.54
2014-11-20,22.59,23.53,22.59,23.40,2135100,23.40
2014-11-19,22.90,23.12,22.59,22.61,1720400,22.61
2014-11-18,22.75,22.99,22.18,22.95,2385300,22.95
2014-11-17,22.63,22.69,22.13,22.22,2193200,22.22
2014-11-14,22.02,22.74,22.01,22.65,1587700,22.65
2014-11-13,23.43,23.43,22.07,22.18,2667600,22.18
2014-11-12,23.10,23.73,23.00,23.23,1703300,23.23
2014-11-11,23.61,23.80,23.10,23.35,1345200,23.35
2014-11-10,24.50,24.50,23.61,23.72,1598500,23.72
2014-11-07,24.00,24.49,23.90,24.20,1541200,24.20
2014-11-06,23.87,23.92,23.36,23.92,1398400,23.92
2014-11-05,23.06,24.25,22.22,24.14,2883800,23.90
2014-11-04,25.03,25.15,23.10,23.11,3636000,22.88
2014-11-03,25.00,25.53,24.75,24.90,1773300,24.65
2014-10-31,24.95,25.05,24.27,24.94,1529500,24.69
2014-10-30,25.00,25.32,24.57,24.75,1224600,24.50
2014-10-29,25.00,25.69,24.72,25.35,1619600,25.10
2014-10-28,24.00,24.70,23.62,24.67,1449500,24.42
2014-10-27,25.00,25.19,24.00,24.10,1709600,23.86
2014-10-24,25.49,25.50,24.90,25.35,998400,25.10
2014-10-23,25.59,25.89,25.01,25.51,1764200,25.25
2014-10-22,26.53,27.00,25.14,25.19,2073800,24.94
2014-10-21,25.15,26.37,25.14,26.34,1802600,26.08
2014-10-20,24.77,25.45,24.55,25.21,1876400,24.96
2014-10-17,25.00,26.03,24.10,24.77,3443600,24.52
2014-10-16,22.32,25.24,22.00,24.10,4946200,23.86
