Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,50.26,50.26,50.26,50.26,000,50.26
2014-12-05,50.26,50.26,50.26,50.26,200,50.26
2014-12-04,50.75,50.75,50.75,50.75,200,50.75
2014-12-03,50.43,50.43,50.43,50.43,000,50.43
2014-12-02,50.43,50.43,50.43,50.43,200,50.43
2014-12-01,50.68,50.68,50.68,50.68,000,50.68
2014-11-28,50.68,50.68,50.68,50.68,000,50.68
2014-11-26,50.68,50.68,50.68,50.68,000,50.68
2014-11-25,50.68,50.68,50.68,50.68,100,50.68
2014-11-24,50.55,50.60,50.55,50.60,400,50.60
2014-11-21,50.28,50.28,50.28,50.28,000,50.28
2014-11-20,50.28,50.28,50.28,50.28,000,50.22
2014-11-19,50.28,50.28,50.28,50.28,000,50.22
2014-11-18,50.28,50.28,50.28,50.28,000,50.22
2014-11-17,50.28,50.28,50.28,50.28,000,50.22
2014-11-14,50.28,50.28,50.28,50.28,400,50.22
2014-11-13,50.40,50.45,50.40,50.45,300,50.39
2014-11-12,50.25,50.25,50.25,50.25,000,50.19
2014-11-11,50.25,50.25,50.25,50.25,000,50.19
2014-11-10,50.25,50.25,50.25,50.25,000,50.19
2014-11-07,50.25,50.25,50.25,50.25,1000,50.19
2014-11-06,50.08,50.08,50.08,50.08,000,50.02
2014-11-05,50.08,50.08,50.08,50.08,100,50.02
