Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,9.75,9.85,9.70,9.81,15000,9.81
2014-12-05,9.90,9.90,9.70,9.80,11800,9.80
2014-12-04,9.75,9.80,9.70,9.70,2900,9.70
2014-12-03,9.73,9.79,9.69,9.69,7200,9.69
2014-12-02,9.70,9.77,9.69,9.73,8100,9.73
2014-12-01,9.68,9.74,9.67,9.70,5300,9.70
2014-11-28,9.69,9.87,9.69,9.80,3500,9.80
2014-11-26,9.60,9.80,9.60,9.80,3600,9.80
2014-11-25,9.79,9.79,9.54,9.70,14700,9.70
2014-11-24,9.80,9.80,9.65,9.73,11500,9.73
2014-11-21,9.65,9.80,9.65,9.79,8700,9.79
2014-11-20,9.50,9.71,9.50,9.71,10300,9.71
2014-11-19,9.88,10.05,9.50,9.52,96000,9.52
2014-11-18,9.92,10.05,9.90,9.95,8600,9.95
2014-11-17,9.98,10.05,9.77,10.04,28200,10.04
2014-11-14,9.30,9.91,9.30,9.89,23300,9.89
2014-11-13,9.10,9.31,9.10,9.27,16300,9.27
2014-11-12,9.10,9.10,9.07,9.09,8900,9.09
2014-11-11,9.02,9.13,9.00,9.10,13100,9.10
2014-11-10,8.32,9.19,8.32,8.99,67800,8.99
2014-11-07,8.32,8.35,8.32,8.34,9100,8.34
2014-11-06,8.26,8.33,8.26,8.32,8300,8.32
2014-11-05,8.23,8.25,8.20,8.25,2000,8.25
2014-11-04,8.31,8.34,8.25,8.25,8500,8.25
2014-11-03,8.20,8.39,8.20,8.31,15800,8.31
2014-10-31,8.20,8.25,8.20,8.20,6000,8.20
2014-10-30,8.30,8.30,8.20,8.22,12500,8.22
2014-10-29,8.28,8.30,8.21,8.25,30500,8.25
2014-10-28,8.29,8.31,8.25,8.27,7800,8.27
2014-10-27,8.30,8.33,8.27,8.32,10200,8.32
2014-10-24,8.32,8.32,8.32,8.32,1500,8.32
2014-10-23,8.35,8.45,8.30,8.32,36900,8.32
2014-10-22,8.40,8.42,8.35,8.35,2100,8.35
2014-10-21,8.49,8.50,8.30,8.35,15700,8.35
2014-10-20,8.41,8.41,8.35,8.35,7000,8.35
2014-10-17,8.36,8.43,8.31,8.41,5700,8.41
2014-10-16,8.50,8.50,8.36,8.36,700,8.36
2014-10-15,8.38,8.50,8.25,8.50,36300,8.50
2014-10-14,8.55,8.55,8.24,8.41,18500,8.41
2014-10-13,8.60,8.60,8.46,8.55,10100,8.55
2014-10-10,8.57,8.62,8.57,8.60,2600,8.60
2014-10-09,8.70,8.75,8.53,8.60,7900,8.60
2014-10-08,8.75,8.95,8.50,8.95,12100,8.95
2014-10-07,8.30,9.00,8.25,8.99,12200,8.99
2014-10-06,8.26,8.55,8.26,8.36,12400,8.36
2014-10-03,8.56,8.75,8.50,8.50,38000,8.50
2014-10-02,9.00,9.00,8.80,8.81,2200,8.81
2014-10-01,9.10,9.25,8.76,9.19,11100,9.19
2014-09-30,9.25,9.34,9.25,9.30,5400,9.30
2014-09-29,9.20,9.20,9.20,9.20,200,9.20
2014-09-26,1.79,1.84,1.76,1.84,7400,9.20
2014-09-25,1.81,1.81,1.72,1.75,6100,8.75
2014-09-24,1.80,1.81,1.78,1.79,13000,8.95
2014-09-23,1.80,1.82,1.80,1.81,2900,9.05
2014-09-22,1.81,1.82,1.81,1.81,1600,9.05
2014-09-19,1.81,1.81,1.80,1.81,1900,9.05
2014-09-18,1.81,1.82,1.80,1.80,3200,9.00
2014-09-17,1.81,1.84,1.80,1.81,3900,9.05
2014-09-16,1.81,1.83,1.81,1.83,1100,9.15
2014-09-15,1.80,1.82,1.80,1.80,6100,9.00
2014-09-12,1.82,1.82,1.80,1.82,1600,9.10
2014-09-11,1.81,1.81,1.80,1.81,2600,9.05
2014-09-10,1.82,1.83,1.80,1.81,1300,9.05
2014-09-09,1.80,1.84,1.80,1.83,2500,9.15
2014-09-08,1.80,1.82,1.80,1.80,5600,9.00
2014-09-05,1.81,1.82,1.80,1.82,6300,9.10
