Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,24.78,24.78,24.78,24.78,000,24.78
2014-12-05,24.80,24.80,24.78,24.78,300,24.78
2014-12-04,24.66,24.66,24.66,24.66,000,24.66
2014-12-03,24.63,24.70,24.62,24.66,1200,24.66
2014-12-02,24.49,24.50,24.49,24.50,300,24.50
2014-12-01,24.66,24.66,24.66,24.66,200,24.66
2014-11-28,24.44,24.44,24.44,24.44,000,24.44
2014-11-26,24.44,24.44,24.44,24.44,000,24.44
2014-11-25,24.44,24.44,24.44,24.44,000,24.44
2014-11-24,24.44,24.44,24.44,24.44,000,24.44
2014-11-21,24.44,24.44,24.44,24.44,1200,24.44
2014-11-20,24.01,24.01,24.01,24.01,000,24.01
2014-11-19,24.01,24.01,24.01,24.01,000,24.01
2014-11-18,24.01,24.01,24.01,24.01,000,24.01
2014-11-17,23.95,24.01,23.95,24.01,1800,24.01
2014-11-14,24.23,24.23,24.23,24.23,000,24.23
2014-11-13,24.23,24.23,24.23,24.23,000,24.23
2014-11-12,24.23,24.23,24.23,24.23,000,24.23
2014-11-11,24.23,24.23,24.23,24.23,000,24.23
2014-11-10,24.23,24.23,24.23,24.23,1000,24.23
2014-11-07,23.40,23.40,23.40,23.40,000,23.40
2014-11-06,23.40,23.40,23.40,23.40,000,23.40
2014-11-05,23.40,23.40,23.40,23.40,000,23.40
2014-11-04,23.40,23.40,23.40,23.40,000,23.40
2014-11-03,23.40,23.40,23.40,23.40,000,23.40
2014-10-31,23.40,23.40,23.40,23.40,000,23.40
2014-10-30,23.40,23.40,23.40,23.40,000,23.40
2014-10-29,23.40,23.40,23.40,23.40,000,23.40
2014-10-28,23.40,23.40,23.40,23.40,000,23.40
2014-10-27,23.40,23.40,23.40,23.40,000,23.40
2014-10-24,23.40,23.40,23.40,23.40,300,23.40
2014-10-23,23.39,23.39,23.39,23.39,000,23.39
2014-10-22,23.10,23.39,23.10,23.39,4300,23.39
2014-10-21,23.56,23.56,23.56,23.56,300,23.56
2014-10-20,22.91,22.91,22.91,22.91,000,22.91
2014-10-17,22.91,22.91,22.91,22.91,000,22.91
2014-10-16,22.91,22.91,22.91,22.91,000,22.91
2014-10-15,22.90,22.91,22.71,22.91,1800,22.91
2014-10-14,23.93,23.93,23.93,23.93,000,23.93
2014-10-13,23.93,23.93,23.93,23.93,000,23.93
2014-10-10,23.93,23.93,23.93,23.93,100,23.93
2014-10-09,24.27,24.27,24.27,24.27,000,24.27
2014-10-08,24.27,24.27,24.27,24.27,000,24.27
2014-10-07,24.27,24.27,24.27,24.27,1400,24.27
2014-10-06,24.58,24.58,24.58,24.58,000,24.58
2014-10-03,24.58,24.58,24.58,24.58,1500,24.58
2014-10-02,24.25,24.25,24.23,24.24,1200,24.24
2014-10-01,24.30,24.30,24.30,24.30,100,24.30
2014-09-30,24.88,24.88,24.88,24.88,100,24.88
2014-09-29,25.03,25.03,25.03,25.03,000,25.03
2014-09-26,25.03,25.03,25.03,25.03,000,25.03
2014-09-25,25.03,25.03,25.03,25.03,000,25.03
2014-09-24,25.03,25.03,25.03,25.03,200,25.03
2014-09-23,24.84,24.84,24.84,24.84,000,24.84
2014-09-22,24.78,24.92,24.78,24.84,6500,24.84
2014-09-19,24.79,25.00,24.79,24.84,12100,24.84
2014-09-18,24.71,24.99,24.71,24.88,19800,24.88
2014-09-17,24.93,24.93,24.93,24.93,000,24.93
2014-09-16,24.70,24.93,24.70,24.93,7300,24.93
2014-09-15,24.36,24.36,24.36,24.36,700,24.36
2014-09-12,24.90,24.90,24.90,24.90,000,24.90
2014-09-11,24.94,24.94,24.90,24.90,500,24.90
2014-09-10,24.93,24.93,24.92,24.92,56000,24.92
2014-09-09,25.16,25.17,25.16,25.17,400,25.17
2014-09-08,25.24,25.24,25.24,25.24,000,25.24
2014-09-05,25.24,25.24,25.24,25.24,000,25.24
2014-09-04,25.24,25.24,25.24,25.24,000,25.24
2014-09-03,25.24,25.24,25.24,25.24,100,25.24
2014-09-02,25.11,25.11,25.11,25.11,000,25.11
2014-08-29,25.11,25.11,25.11,25.11,000,25.11
2014-08-28,25.11,25.11,25.11,25.11,000,25.11
2014-08-27,25.11,25.11,25.11,25.11,100,25.11
2014-08-26,25.24,25.24,25.23,25.23,200,25.23
2014-08-25,25.18,25.18,25.17,25.17,400,25.17
2014-08-22,24.56,24.56,24.56,24.56,000,24.56
2014-08-21,24.56,24.56,24.56,24.56,000,24.56
2014-08-20,24.56,24.56,24.56,24.56,000,24.56
2014-08-19,24.56,24.56,24.56,24.56,000,24.56
2014-08-18,24.56,24.56,24.56,24.56,000,24.56
2014-08-15,24.56,24.56,24.56,24.56,000,24.56
2014-08-14,24.56,24.56,24.56,24.56,000,24.56
2014-08-13,24.56,24.56,24.56,24.56,000,24.56
2014-08-12,24.56,24.56,24.56,24.56,000,24.56
2014-08-11,24.57,24.57,24.56,24.56,400,24.56
2014-08-08,24.42,24.42,24.42,24.42,100,24.42
2014-08-07,24.34,24.34,24.34,24.34,100,24.34
2014-08-06,24.44,24.44,24.44,24.44,000,24.44
2014-08-05,24.42,24.44,24.42,24.44,400,24.44
2014-08-04,24.92,24.92,24.92,24.92,000,24.92
2014-08-01,24.92,24.92,24.92,24.92,000,24.92
2014-07-31,24.92,24.92,24.92,24.92,000,24.92
2014-07-30,25.09,25.09,24.92,24.92,600,24.92
2014-07-29,25.15,25.15,25.15,25.15,000,25.15
2014-07-28,25.10,25.17,25.10,25.15,1100,25.15
2014-07-25,25.24,25.24,25.24,25.24,000,25.24
2014-07-24,25.25,25.25,25.21,25.24,4200,25.24
