Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,8.04,8.15,7.40,7.70,90800,7.70
2014-12-05,8.50,8.50,8.00,8.38,95700,8.38
2014-12-04,8.68,9.25,8.00,8.70,152700,8.70
2014-12-03,9.83,9.83,8.55,8.75,121300,8.75
2014-12-02,10.50,10.50,9.27,9.60,70600,9.60
2014-12-01,10.65,10.83,10.00,10.17,114700,10.17
2014-11-28,10.78,10.97,10.55,10.78,6300,10.78
2014-11-26,11.09,11.13,10.50,10.59,76500,10.59
2014-11-25,11.00,11.26,11.00,11.13,5800,11.13
2014-11-24,11.10,11.17,10.63,11.00,35400,11.00
2014-11-21,11.82,12.00,11.17,11.25,212500,11.25
2014-11-20,14.00,14.10,11.27,12.00,3113600,12.00
