Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,14.30,14.30,13.91,13.91,35300,13.91
2014-12-05,14.07,14.20,13.95,14.18,21300,14.18
2014-12-04,14.01,14.19,13.96,14.09,21400,14.09
2014-12-03,14.25,14.32,13.98,14.19,60600,14.19
2014-12-02,14.21,14.26,13.96,14.15,34200,14.15
2014-12-01,14.14,14.30,14.05,14.22,44100,14.22
2014-11-28,14.24,14.30,13.99,14.28,37000,14.28
2014-11-26,14.03,14.35,13.95,14.25,35500,14.25
2014-11-25,14.07,14.12,13.91,13.96,34200,13.96
2014-11-24,14.03,14.27,13.91,14.07,37500,14.07
2014-11-21,14.53,14.53,13.92,14.01,131700,14.01
2014-11-20,13.57,14.52,13.54,14.40,104200,14.40
2014-11-19,13.17,13.59,13.10,13.40,57100,13.40
2014-11-18,13.35,13.62,13.07,13.12,36000,13.12
2014-11-17,13.50,13.50,13.20,13.47,46500,13.47
2014-11-14,13.00,13.66,12.77,13.33,102800,13.33
2014-11-13,12.75,13.06,12.65,12.91,569300,12.91
2014-11-12,12.79,13.35,12.61,12.65,157700,12.65
2014-11-11,13.49,13.55,13.01,13.05,95800,13.05
2014-11-10,12.97,13.86,12.82,13.69,123600,13.69
2014-11-07,13.26,13.26,12.96,12.98,41400,12.98
2014-11-06,13.90,13.94,13.09,13.26,57000,13.26
2014-11-05,14.26,14.42,13.95,14.05,11400,14.05
2014-11-04,14.15,14.39,13.81,13.83,16900,13.83
2014-11-03,14.40,14.51,14.12,14.15,25500,14.15
2014-10-31,14.09,14.24,13.81,13.94,7900,13.94
2014-10-30,14.31,14.32,13.81,14.12,12400,14.12
2014-10-29,14.05,14.50,14.05,14.24,16600,14.24
2014-10-28,14.28,14.51,14.12,14.12,37000,14.12
2014-10-27,14.43,14.60,14.37,14.39,42300,14.39
2014-10-24,14.24,14.51,13.82,14.47,31200,14.47
2014-10-23,13.98,14.42,13.34,14.25,19200,14.25
2014-10-22,2.71,2.87,2.60,2.86,27900,14.30
2014-10-21,2.72,2.78,2.63,2.74,9600,13.70
2014-10-20,2.72,2.75,2.65,2.75,4400,13.75
2014-10-17,2.74,2.75,2.69,2.73,6800,13.65
2014-10-16,2.56,2.75,2.56,2.72,4200,13.60
2014-10-15,2.61,2.67,2.59,2.59,5800,12.95
2014-10-14,2.75,2.75,2.62,2.63,6700,13.15
2014-10-13,2.66,2.74,2.63,2.65,7200,13.25
2014-10-10,2.64,2.70,2.64,2.64,8300,13.20
2014-10-09,2.65,2.70,2.65,2.66,9300,13.30
2014-10-08,2.64,2.71,2.64,2.68,7200,13.40
