Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.22,25.22,25.16,25.17,12200,25.17
2014-12-05,25.15,25.22,25.15,25.22,1800,25.22
2014-12-04,25.19,25.19,25.18,25.18,3900,25.18
2014-12-03,25.14,25.20,25.13,25.13,3100,25.13
2014-12-02,25.19,25.22,25.18,25.21,13200,25.21
2014-12-01,25.22,25.22,25.11,25.19,2300,25.19
2014-11-28,25.21,25.21,25.21,25.21,000,25.21
2014-11-26,25.22,25.22,25.18,25.21,2000,25.21
2014-11-25,25.12,25.21,25.10,25.21,5000,25.21
2014-11-24,25.25,25.28,25.05,25.21,4300,25.21
2014-11-21,25.10,25.22,24.92,25.15,12500,25.15
2014-11-20,25.15,25.29,25.15,25.17,9900,25.17
2014-11-19,25.16,25.29,25.15,25.29,2500,25.29
2014-11-18,25.11,25.16,25.11,25.15,4800,25.15
2014-11-17,25.17,25.17,25.17,25.17,500,25.17
2014-11-14,25.16,25.17,25.00,25.17,11800,25.17
2014-11-13,25.05,25.14,25.04,25.12,4100,25.12
2014-11-12,25.08,25.14,25.05,25.05,5300,25.05
2014-11-11,24.97,25.05,24.95,25.00,8600,25.00
2014-11-10,24.91,25.05,24.91,24.92,3500,24.92
2014-11-07,24.80,24.94,24.79,24.90,10300,24.90
2014-11-06,24.80,24.81,24.66,24.80,9600,24.80
2014-11-05,24.59,24.83,24.59,24.83,4300,24.83
2014-11-04,24.47,24.71,24.47,24.71,6600,24.71
2014-11-03,24.67,24.71,24.45,24.56,11000,24.56
2014-10-31,24.20,24.71,24.20,24.53,7500,24.53
2014-10-30,24.50,24.50,24.21,24.39,4600,24.39
2014-10-29,24.41,24.50,24.40,24.50,15100,24.50
2014-10-28,24.25,24.65,24.25,24.53,13200,24.53
2014-10-27,24.50,24.51,24.40,24.45,5900,24.45
2014-10-24,24.18,24.30,24.18,24.30,6100,24.30
2014-10-23,24.25,24.25,23.99,24.25,18000,24.25
2014-10-22,24.32,24.32,24.14,24.25,3700,24.25
2014-10-21,24.25,24.34,24.25,24.27,10500,24.27
2014-10-20,23.86,24.43,23.86,24.36,6200,24.36
2014-10-17,24.45,24.45,24.30,24.38,1600,24.38
2014-10-16,24.52,24.52,23.79,24.12,7700,24.12
2014-10-15,24.20,24.57,23.76,24.57,22700,24.57
2014-10-14,24.17,24.35,23.94,23.99,9500,23.99
2014-10-13,24.50,24.50,24.35,24.35,7700,24.35
2014-10-10,24.45,24.53,24.45,24.49,2800,24.49
2014-10-09,24.29,24.56,24.24,24.56,4600,24.56
2014-10-08,24.30,24.59,24.30,24.49,12500,24.49
2014-10-07,24.56,24.60,24.35,24.54,4500,24.54
2014-10-06,24.51,24.53,24.33,24.51,8800,24.51
2014-10-03,24.48,24.67,24.43,24.50,19500,24.50
2014-10-02,24.23,24.70,24.23,24.59,6000,24.59
2014-10-01,24.69,24.75,24.69,24.75,2800,24.75
2014-09-30,24.54,24.69,24.54,24.68,5900,24.68
2014-09-29,24.64,24.69,24.51,24.68,21500,24.68
2014-09-26,25.09,25.09,24.83,24.98,13800,24.41
2014-09-25,24.85,25.08,24.81,25.08,7900,24.50
2014-09-24,25.06,25.10,24.93,25.07,28300,24.49
2014-09-23,25.16,25.22,25.07,25.20,11100,24.62
2014-09-22,25.11,25.23,25.11,25.15,9300,24.57
2014-09-19,25.18,25.39,25.11,25.20,4400,24.62
2014-09-18,25.15,25.22,25.14,25.22,4800,24.64
2014-09-17,25.12,25.20,25.12,25.20,34700,24.62
2014-09-16,25.03,25.50,25.02,25.20,123600,24.62
2014-09-15,25.29,25.35,24.95,25.03,33300,24.46
2014-09-12,25.01,25.38,24.91,25.22,59800,24.64
2014-09-11,25.05,25.19,25.00,25.05,58000,24.48
2014-09-10,25.02,25.04,25.00,25.01,14400,24.44
2014-09-09,25.15,25.19,24.83,24.92,14200,24.34
2014-09-08,25.20,25.20,25.05,25.06,14900,24.49
2014-09-05,25.17,25.17,25.13,25.13,2000,24.55
2014-09-04,25.15,25.20,25.05,25.14,14100,24.56
2014-09-03,25.15,25.25,25.15,25.23,3700,24.65
2014-09-02,25.15,25.28,25.02,25.20,17500,24.62
2014-08-29,25.15,25.20,25.15,25.20,3900,24.62
2014-08-28,25.17,25.20,25.15,25.15,3300,24.57
2014-08-27,25.43,25.43,25.15,25.15,7500,24.57
2014-08-26,25.12,25.25,25.12,25.21,7500,24.63
2014-08-25,25.10,25.16,25.10,25.16,1200,24.58
2014-08-22,25.13,25.15,25.13,25.15,14000,24.57
