Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,9.97,9.97,9.92,9.93,16700,9.93
2014-12-05,9.96,9.97,9.95,9.97,10000,9.97
2014-12-04,9.97,9.97,9.97,9.97,2200,9.97
2014-12-03,9.97,9.97,9.96,9.96,1000,9.96
2014-12-02,9.90,9.98,9.90,9.98,7500,9.98
2014-12-01,9.96,9.98,9.96,9.97,8200,9.97
2014-11-28,10.00,10.00,9.96,9.96,1600,9.96
2014-11-26,10.00,10.00,9.96,9.98,15100,9.98
2014-11-25,10.10,10.10,9.97,10.00,10300,10.00
2014-11-24,10.01,10.05,10.00,10.00,4300,10.00
2014-11-21,9.96,10.00,9.96,10.00,27300,10.00
2014-11-20,9.97,10.00,9.97,10.00,12100,10.00
2014-11-19,10.00,10.00,9.98,9.99,19700,9.99
2014-11-18,9.97,10.07,9.96,10.07,3100,10.07
2014-11-17,10.00,10.00,10.00,10.00,1500,10.00
2014-11-14,9.99,10.00,9.99,10.00,12200,10.00
2014-11-13,10.00,10.00,9.99,10.00,3100,10.00
2014-11-12,10.00,10.00,9.97,10.00,5500,10.00
2014-11-11,10.05,10.05,9.99,10.00,1400,10.00
2014-11-10,10.00,10.00,9.99,10.00,1600,10.00
2014-11-07,9.95,10.00,9.90,10.00,16700,10.00
2014-11-06,10.00,10.00,10.00,10.00,2600,10.00
2014-11-05,9.94,10.00,9.94,10.00,700,10.00
2014-11-04,9.98,9.98,9.98,9.98,000,9.98
2014-11-03,9.96,10.00,9.92,9.98,3800,9.98
2014-10-31,9.98,10.00,9.93,10.00,34700,10.00
2014-10-30,10.00,10.00,9.97,10.00,45800,10.00
2014-10-29,10.00,10.00,9.99,10.00,56600,10.00
2014-10-28,10.00,10.00,10.00,10.00,000,10.00
2014-10-27,10.00,10.00,10.00,10.00,4200,10.00
2014-10-24,10.03,10.03,10.03,10.03,000,10.03
2014-10-23,9.90,10.03,9.90,10.03,500,10.03
2014-10-22,10.04,10.04,9.99,10.02,7700,10.02
2014-10-21,10.05,10.05,9.96,9.98,10900,9.98
2014-10-20,10.05,10.10,10.00,10.00,45700,10.00
2014-10-17,10.05,10.05,9.95,9.95,8900,9.95
2014-10-16,10.07,10.07,9.96,10.00,35800,10.00
2014-10-15,10.00,10.00,9.99,10.00,30600,10.00
2014-10-14,9.93,10.05,9.93,10.05,1100,10.05
2014-10-13,10.15,10.19,10.08,10.08,1200,10.08
