Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,23.80,23.80,23.80,23.80,000,23.80
2014-12-05,23.80,23.80,23.80,23.80,200,23.80
2014-12-04,24.14,24.19,24.09,24.09,500,24.09
2014-12-03,24.00,24.05,24.00,24.05,1100,24.05
2014-12-02,24.00,24.05,24.00,24.05,1600,24.05
2014-12-01,24.04,24.04,24.04,24.04,000,24.04
2014-11-28,24.04,24.04,24.04,24.04,1400,24.04
2014-11-26,23.83,24.17,23.80,24.17,800,24.17
2014-11-25,24.00,24.00,23.88,23.88,700,23.88
2014-11-24,24.21,24.21,24.21,24.21,000,24.21
2014-11-21,24.15,24.24,24.15,24.21,1900,24.21
2014-11-20,23.82,23.82,23.82,23.82,000,23.82
2014-11-19,23.82,23.82,23.82,23.82,300,23.82
2014-11-18,24.24,24.24,24.24,24.24,200,24.24
2014-11-17,23.97,24.25,23.97,24.25,3600,24.25
2014-11-14,23.94,23.98,23.94,23.98,300,23.98
2014-11-13,23.97,23.98,23.94,23.94,1000,23.94
2014-11-12,23.54,23.90,23.54,23.90,9000,23.90
2014-11-11,23.90,23.90,23.52,23.90,400,23.90
2014-11-10,23.90,23.90,23.46,23.50,900,23.50
2014-11-07,23.30,23.30,23.30,23.30,300,23.30
2014-11-06,23.85,23.85,23.85,23.85,000,23.85
2014-11-05,23.85,23.85,23.85,23.85,300,23.85
2014-11-04,23.21,23.26,23.21,23.26,1000,23.26
2014-11-03,23.30,23.30,23.30,23.30,000,23.30
2014-10-31,23.27,23.30,23.21,23.30,900,23.30
2014-10-30,23.21,23.27,23.21,23.27,3300,23.27
2014-10-29,23.26,23.26,23.26,23.26,100,23.26
2014-10-28,23.78,23.95,23.22,23.77,4600,23.56
2014-10-27,23.21,23.21,23.21,23.21,300,23.00
2014-10-24,23.26,23.26,23.26,23.26,000,23.05
2014-10-23,23.11,23.80,23.11,23.26,5700,23.05
2014-10-22,23.70,23.75,23.21,23.74,5300,23.53
2014-10-21,23.00,23.00,23.00,23.00,000,22.80
2014-10-20,23.00,23.00,23.00,23.00,100,22.80
2014-10-17,23.64,23.70,23.56,23.56,600,23.35
2014-10-16,23.37,23.37,23.05,23.05,2600,22.85
2014-10-15,22.76,23.37,22.64,23.30,1200,23.09
2014-10-14,23.26,23.26,23.26,23.26,100,23.05
2014-10-13,23.03,23.03,23.03,23.03,000,22.83
2014-10-10,23.32,23.37,23.03,23.03,700,22.83
2014-10-09,22.64,22.74,22.64,22.74,300,22.54
2014-10-08,23.10,23.10,23.10,23.10,000,22.90
2014-10-07,23.10,23.10,23.10,23.10,900,22.90
2014-10-06,22.71,22.71,22.71,22.71,400,22.51
2014-10-03,23.09,23.09,23.09,23.09,000,22.89
2014-10-02,23.09,23.09,23.09,23.09,000,22.89
2014-10-01,23.09,23.09,23.09,23.09,000,22.89
2014-09-30,23.09,23.09,23.09,23.09,400,22.89
2014-09-29,22.50,22.50,22.50,22.50,1100,22.30
2014-09-26,23.09,23.09,23.05,23.05,600,22.85
2014-09-25,23.10,23.10,22.55,22.99,2200,22.79
2014-09-24,23.10,23.10,22.57,22.57,1000,22.37
2014-09-23,22.99,22.99,22.68,22.68,700,22.48
2014-09-22,23.10,23.10,22.92,22.92,600,22.72
2014-09-19,22.95,23.09,22.95,23.09,1600,22.89
2014-09-18,22.99,22.99,22.99,22.99,200,22.79
