Date,Open,High,Low,Close,Volume,Adj Close
2014-12-08,25.27,25.30,25.27,25.30,900,25.30
2014-12-05,25.39,25.39,25.26,25.26,1000,25.26
2014-12-04,25.35,25.38,25.35,25.38,200,25.38
2014-12-03,25.31,25.38,25.26,25.35,1600,25.35
2014-12-02,25.25,25.39,25.18,25.18,1300,25.18
2014-12-01,25.33,25.39,25.27,25.39,2200,25.39
2014-11-28,25.35,25.35,25.34,25.34,1100,25.34
2014-11-26,25.34,25.34,25.33,25.34,2300,25.34
2014-11-25,25.33,25.33,25.26,25.29,9600,25.29
2014-11-24,25.30,25.32,25.27,25.29,26000,25.29
2014-11-21,25.30,25.33,25.14,25.25,42200,25.25
2014-11-20,25.45,25.52,25.26,25.31,62800,25.31
2014-11-19,25.50,25.54,25.50,25.54,600,25.54
2014-11-18,25.62,25.62,25.43,25.43,900,25.43
2014-11-17,25.61,25.61,25.61,25.61,100,25.61
2014-11-14,25.45,25.58,25.45,25.57,2600,25.57
2014-11-13,25.56,25.56,25.38,25.45,3200,25.45
2014-11-12,25.62,25.63,25.62,25.63,700,25.45
2014-11-11,25.62,25.64,25.58,25.61,5100,25.43
2014-11-10,25.57,25.62,25.57,25.62,3800,25.44
2014-11-07,25.60,25.67,25.60,25.60,4100,25.42
2014-11-06,25.62,25.62,25.62,25.62,300,25.44
2014-11-05,25.62,25.62,25.61,25.62,1600,25.44
2014-11-04,25.62,25.64,25.54,25.62,3800,25.44
2014-11-03,25.62,25.62,25.60,25.60,4100,25.42
2014-10-31,25.60,25.60,25.60,25.60,1500,25.42
2014-10-30,25.60,25.65,25.50,25.65,900,25.47
2014-10-29,25.50,25.50,25.50,25.50,000,25.32
2014-10-28,25.65,25.66,25.50,25.50,700,25.32
2014-10-27,25.46,25.46,25.46,25.46,200,25.28
2014-10-24,25.62,25.67,25.58,25.63,2200,25.45
2014-10-23,25.62,25.62,25.62,25.62,100,25.44
2014-10-22,25.41,25.63,25.41,25.63,1100,25.45
2014-10-21,25.64,25.64,25.58,25.58,2000,25.40
2014-10-20,25.45,25.48,25.40,25.48,1200,25.30
2014-10-17,25.63,25.63,25.63,25.63,600,25.45
2014-10-16,25.28,25.28,25.28,25.28,100,25.11
2014-10-15,25.58,25.58,25.25,25.25,2600,24.90
2014-10-14,25.68,25.68,25.57,25.59,6200,25.24
2014-10-13,25.63,25.73,25.57,25.68,1300,25.32
2014-10-10,25.60,25.73,25.57,25.64,2900,25.28
2014-10-09,25.65,25.74,25.60,25.60,16400,25.24
2014-10-08,25.70,25.70,25.67,25.70,1900,25.34
2014-10-07,25.65,25.65,25.65,25.65,300,25.29
2014-10-06,25.62,25.62,25.62,25.62,200,25.26
2014-10-03,25.71,25.78,25.55,25.61,62000,25.25
2014-10-02,25.77,25.78,25.56,25.60,12500,25.24
2014-10-01,25.64,25.66,25.50,25.66,11500,25.30
2014-09-30,25.59,25.75,25.59,25.75,3300,25.39
2014-09-29,25.66,25.66,25.66,25.66,100,25.30
2014-09-26,25.57,25.78,25.56,25.66,49200,25.30
2014-09-25,25.47,25.73,25.47,25.60,24200,25.24
2014-09-24,25.69,25.81,25.45,25.70,25400,25.34
2014-09-23,25.75,25.83,25.69,25.79,18100,25.43
2014-09-22,25.75,25.78,25.71,25.76,13600,25.40
2014-09-19,25.86,25.86,25.70,25.75,25300,25.39
2014-09-18,25.77,25.80,25.70,25.70,63800,25.34
2014-09-17,25.70,25.70,25.70,25.70,200,25.34
2014-09-16,25.88,25.88,25.88,25.88,000,25.35
2014-09-15,25.88,25.88,25.88,25.88,000,25.35
2014-09-12,25.88,25.88,25.62,25.88,4500,25.35
2014-09-11,25.88,25.88,25.78,25.86,1600,25.33
2014-09-10,25.89,25.89,25.88,25.88,700,25.35
2014-09-09,25.84,25.88,25.84,25.88,1000,25.35
2014-09-08,25.84,25.84,25.84,25.84,000,25.31
2014-09-05,25.88,25.88,25.83,25.84,2700,25.31
2014-09-04,25.78,25.78,25.78,25.78,000,25.25
2014-09-03,25.81,25.81,25.77,25.78,2400,25.25
2014-09-02,25.79,25.79,25.79,25.79,000,25.26
2014-08-29,25.79,25.79,25.79,25.79,000,25.26
2014-08-28,25.79,25.79,25.79,25.79,000,25.26
2014-08-27,25.79,25.79,25.79,25.79,1300,25.26
2014-08-26,25.78,25.85,25.78,25.79,800,25.26
2014-08-25,25.90,25.90,25.89,25.89,600,25.36
2014-08-22,25.81,25.81,25.81,25.81,000,25.28
2014-08-21,25.81,25.81,25.81,25.81,1100,25.28
2014-08-20,25.84,25.84,25.84,25.84,000,25.31
2014-08-19,25.84,25.84,25.84,25.84,500,25.31
2014-08-18,25.80,25.80,25.77,25.77,900,25.24
2014-08-15,25.77,25.77,25.77,25.77,100,25.24
2014-08-14,25.85,25.90,25.74,25.74,2500,25.21
2014-08-13,25.87,25.94,25.83,25.90,6500,25.19
2014-08-12,25.84,25.84,25.82,25.82,300,25.11
2014-08-11,25.89,25.89,25.89,25.89,000,25.18
2014-08-08,25.89,25.91,25.89,25.89,900,25.18
2014-08-07,25.77,25.77,25.77,25.77,000,25.07
2014-08-06,25.72,25.77,25.72,25.77,1100,25.07
2014-08-05,25.77,25.77,25.77,25.77,1600,25.07
2014-08-04,25.88,25.88,25.72,25.72,1700,25.02
2014-08-01,25.76,25.88,25.76,25.88,300,25.17
2014-07-31,25.89,25.89,25.78,25.78,600,25.08
2014-07-30,25.75,25.75,25.75,25.75,300,25.05
2014-07-29,25.90,25.90,25.90,25.90,1100,25.19
2014-07-28,25.85,25.85,25.85,25.85,1200,25.14
2014-07-25,25.88,25.88,25.86,25.88,3000,25.17
2014-07-24,25.78,25.88,25.71,25.88,2300,25.17
2014-07-23,25.90,25.90,25.76,25.81,500,25.11
2014-07-22,25.70,25.89,25.70,25.85,1200,25.14
2014-07-21,25.89,25.89,25.75,25.75,1300,25.05
2014-07-18,25.88,25.88,25.79,25.82,500,25.11
2014-07-17,25.86,25.86,25.63,25.63,2200,24.93
2014-07-16,25.77,25.89,25.77,25.87,2900,25.16
2014-07-15,25.90,25.90,25.90,25.90,100,25.02
2014-07-14,25.90,25.90,25.83,25.90,1400,25.02
2014-07-11,25.88,25.88,25.88,25.88,1000,25.00
